androidx/appcompat: {androidx/appcompat, 62d305dd0773ed4d281b32dc1c033d6b}
anki/collection: {anki/collection, e6a635c8acfffee9a798c844a8a4c678}
androidx/arch/core: {androidx/arch/core, a9e2be3eaf518512a83ffd5b540986a4}
android/view: {android/view, a3083d0c09b67a6da6e517ba9989f796}
androidx/activity: {androidx/activity, b06970383ff12af1d8c8eebc80892197}
anki/ankidroid: {anki/ankidroid, d544ae8f0081dcbfdb07e9fdb6b7e5e3}
androidx/profileinstaller: {androidx/profileinstaller, 3947330a6dd59e284c49add0a8a996af}
anki/notetypes: {anki/notetypes, f4080fd996b3e56045b19420de3db455}
androidx/core: {androidx/core, 39be981a7eeeaedb733c9ea7d8c370c1}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 06eb835e94dc68e2acb5bbd5caa5d17d}
androidx/preference: {androidx/preference, 0749448303df54b7c940aee24403e3c3}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, d245b1ccfb2dcf1ac222f35db3226fe3}
androidx/lifecycle: {androidx/lifecycle, 21546312b7a5bede7169323a3b838a72}
androidx/fragment: {androidx/fragment, 43d626d77327602a0a5e4e8ef5829ce7}
androidx/savedstate: {androidx/savedstate, 363768db632d9a7c0ade350f3d5c59f7}
androidx/loader: {androidx/loader, 56e18c27d2eef54ecb9380752225226a}
androidx/vectordrawable: {androidx/vectordrawable, 392d5238a405001990dd50c8d8cbe6dd}
androidx/recyclerview: {androidx/recyclerview, 04bb24543f19f8d7436b737390431b2d}
androidx/viewpager: {androidx/viewpager, fcd4394e60786e8ba58746494e6142b4}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
android/graphics: {android/graphics, c4e9eeb25e17c46354752ac4239a9772}
android/os: {android/os, c4e9eeb25e17c46354752ac4239a9772}
anki/links: {anki/links, 541aa7f18160006d0f9a4e6d7434b2de}
androidx/versionedparcelable: {androidx/versionedparcelable, 80006d1d7cce5feabde2e3b743aa5f86}
android/webkit: {android/webkit, e079f4fb8febf5b63effbb6583d13a90}
f: {f, 7212718f762e0235efe6b6311c4b8ade}
d: {d, 0d8fc2c685ddfd5a5df6beb73a08c980}
androidx/coordinatorlayout: {androidx/coordinatorlayout, a7ccaeb82986747577e69c1ed68220cc}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 7552b01203eef7f8f3403b2e3e41ded0}
androidx/collection: {androidx/collection, ce55b64e0556922a728217466f96844e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, d3068c12cf224ed27a2cb1bbde737969}
androidx/sqlite/util: {androidx/sqlite/util, 52c70d619f9254e5774e488e4cb30781}
androidx/transition: {androidx/transition, 2687c6cb707547f59aa3825848c246e1}
anki/i18n: {anki/i18n, 9cecde04db7e67f279557205d8cc01ab}
android/content/pm: {android/content/pm, 2cd43c11470faaaf53b4cd0389e65535}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
androidx/cursoradapter: {androidx/cursoradapter, eb08aa80ed04901d16ec008f70798379}
androidx/slidingpanelayout: {androidx/slidingpanelayout, d38a21ece653ddc077653c3600f26c11}
androidx/cardview: {androidx/cardview, afc91c8c03a2638c0168fb0790aa3875}
b: {b, 1f41dfbc7b57aeba933d1bc2270bac39}
