androidx/appcompat: {androidx/appcompat, 6de03273f60858017a279c3886a79e8a}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/activity: {androidx/activity, 282a6e6925e9bdc8b11390b2928adbe6}
androidx/profileinstaller: {androidx/profileinstaller, f3fa7a3cb3a0c827ddac10bc383845d8}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 826eb4396fdd5b08dfb1ea3d6242cc2d}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/preference: {androidx/preference, 55f4f35bade9ab6ae9fdb94df689faee}
androidx/lifecycle: {androidx/lifecycle, 8d5e3ea46ed844e07ba0e7b26677e465}
androidx/fragment: {androidx/fragment, b2aba481ddaa11997fda99f1a6bbbee7}
androidx/loader: {androidx/loader, aed5822d68f924b6a47f292a9b7977e9}
androidx/vectordrawable: {androidx/vectordrawable, 912031bc2b6c94802587504a882ffa11}
androidx/recyclerview: {androidx/recyclerview, f88d8e3f60565fbc2e55abe1f4093c30}
androidx/viewpager: {androidx/viewpager, a1d6087f80f18c5dccbbd233d05bd4f2}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 1471491a59f2af3cc21701e791fbabd3}
androidx/constraintlayout/core: {androidx/constraintlayout/core, d5ec7d0801c6afcf4953ffd450ebc9d5}
androidx/core: {androidx/core, 6d31a108eb03681e1d6594696457cae8}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 38493c7c1e28e4f84b05285a4ca3a2ba}
androidx/collection: {androidx/collection, cd648389b6965078c352db5968abf416}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 713093c09aef9e7f8351fed22582db05}
androidx/transition: {androidx/transition, 5328d89b55ad4c57edb5e38806ef8921}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, e4b6904182097e12ad2b34a05994d750}
androidx/slidingpanelayout: {androidx/slidingpanelayout, b282431fb7e7d2d323dd8625c8817131}
androidx/cardview: {androidx/cardview, 7b1821b8a0bd47873e961bc80ec4efd5}
com/airbnb/lottie: {com/airbnb/lottie, 95b6be4d843e162317d3ea58bfc0a3e0}
androidx/drawerlayout: {androidx/drawerlayout, d4acad24cf36aa1489e08b004b25cbbe}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media: {androidx/media, 9f74eb243ad6a00bbb3cbc4be0a0e63c}
androidx/emoji2: {androidx/emoji2, 2de9f93e3ac7341ffc78a8388f3f64ba}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/legacy/app: {androidx/legacy/app, 181e1722064f84032cda2c6fa939f581}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 252f8673d4e2783fdb9c3951dd97017e}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/viewpager2: {androidx/viewpager2, 001dea12a4a28abdf182d0f6ec962783}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, a4416d427892ffa942cadc1ea18c7cea}
androidx/documentfile: {androidx/documentfile, 405e864284a52aa0ff49fac74ee2910d}
androidx/print: {androidx/print, f1e3706763f8eb7a7311b229b6d69a41}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, f04207e4ddd2209682a669641bd52c35}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/tracing: {androidx/tracing, 948681e50734d02e2327a4df0c87f29d}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, e0942df141e5bf9d1064732b009b82e0}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/customview: {androidx/customview, ace6f17b40282d7a044b6a3aa78b0b13}
androidx/window: {androidx/window, 9aee098405bee5e909a6cab51db97288}
androidx/annotation: {androidx/annotation, 61f4fd3434041025438ffb18a8f361de}
com/google/common: {[com/google/android, com/google/common, ], 83fbfb3d7fe4e8a9d45248887582c980}
androidx/dynamicanimation: {androidx/dynamicanimation, c088dee57aaa297b903272698d7ed6ca}
