androidx/appcompat: {androidx/appcompat, f5e4f0a30ab025f8a15661f9420b97a9}
androidx/camera/view: {androidx/camera/view, b7fb2841d34e20487101d78feb78a29f}
androidx/activity: {androidx/activity, 66c6ea613f76fefaf24a5ae836f0d9c0}
androidx/compose/foundation: {androidx/compose/foundation, ceb98ba4ba7648425bcc81b258b1d8b3}
androidx/compose/material3: {androidx/compose/material3, 8f6391d8cb07cb081537ed4d01aab837}
androidx/compose/animation: {androidx/compose/animation, f98b5cc4d99e1eaffda38d46b1960ef9}
androidx/autofill: {androidx/autofill, 725a706aea14f5e6d3752de8e475db35}
androidx/compose/runtime: {androidx/compose/runtime, 8978ee65d4fdd0e066c7bf2f0ca98cf6}
androidx/collection: {androidx/collection, d5a91bc03d86f2b1405917e083ff1b56}
androidx/camera/lifecycle: {androidx/camera/lifecycle, 17cc7d867003eec7e77c19f6fc68f590}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cardview: {androidx/cardview, 85c890156a0bee6a3de2c26008e22c5b}
androidx/camera/extensions: {androidx/camera/extensions, 0c553288db8245a7bb0e17962638cc32}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/compose/material: {androidx/compose/material, 2bc48c68df39b9be2ddc9231c22da289}
androidx/arch/core: {androidx/arch/core, c45109435860333e3fb9a1df7b9f72b4}
_COROUTINE: {_COROUTINE, cda218f6ca68fa7c07a4065e0df7787b}
androidx/camera/camera2: {androidx/camera/camera2, 617b9df6f86bf16b354a669d222bfe1b}
androidx/concurrent/futures: {androidx/concurrent/futures, 77cd0518b07fcef1aa61b6ffd82e7d96}
androidx/compose/ui: {androidx/compose/ui, f4cefa71afe51a3ba7751daa7e60c530}
androidx/annotation: {androidx/annotation, c0fce04979ed66e39ebb3a3868016a75}
com/google/common: {com/google/common, 2f98f4fd60829d2567feda6a980af495}
androidx/camera/core: {androidx/camera/core, 8f97cefde87f38149012a7abe8500d6c}
