org/b/e: {[org/b/e, org/b/a, ], e07c039e06e80e5ff9bf6278baf0072b}
com/a/b: {com/a/b, d63b344a4eeabb14ddb5a560fc890683}
a/b: {a/b, e4fb45bee3ded41e5e391e6fb00ca9e9}
a/k: {a/k, b8767df9ced2362347cd0716b78fc415}
net/syncthing/lite: {[net/syncthing/lite, net/syncthing/a, ], 1303a243c19137a5b0e24cd269a7c5c0}
org/d: {org/d, d5778e5bd7f829ea1780be6545f11fb4}
android/arch/b: {android/arch/b, 63ecb79c4b604de0ed7327235afb77a1}
a/c: {a/c, 70aa3dffb3eeabe2b2192f1fa6b73718}
a/e: {a/e, 068235ba7960a043cc4e802363107870}
android/support/b: {android/support/b, 46a7e5deb3357f25a5c6835846c3c9a2}
a/a: {a/a, 39eb039f0aff69267d802eaa2ad11c54}
net/syncthing/repository: {[net/syncthing/a, net/syncthing/repository, ], ea2f32ff168e4a4d8ab65726997a6b9f}
a/i: {a/i, b26fbcab3818329aafbfba30034a1439}
android/support/transition: {android/support/transition, 121d665611b033b4719822d57b63b34e}
org/c/a: {org/c/a, d85f464a609b0be41ad9a3f91440d3ce}
android/arch/lifecycle: {android/arch/lifecycle, 7df81364f333bcd5787b55f91b6f50a4}
org/a/a: {org/a/a, f88c9800d21ce3d3f41218248c8ea5da}
android/databinding: {android/databinding, 3b1c86a891e66545ea53e55eb70aca4f}
android/support/v7: {android/support/v7, 8c4a57fcf749b9cd036d4d6593b4f6b8}
com/a/c: {com/a/c, 4f90445dc56f5ea90af737d1fcc1957c}
org/b/h: {org/b/h, f77b8161f80973e0ad5ee1b5dd93618a}
net/jpountz/lz4: {net/jpountz/lz4, f3b0a78c582c4a8b8db5d00db6825a04}
com/github/paolorotolo: {com/github/paolorotolo, b3b7bdf87c14fa577779c551d57868f2}
com/a/a: {com/a/a, 871069c34c90479f7a1049ddcc6f24b6}
android/support/v14: {android/support/v14, bb96e5820c6fee776fbf874e0ea7a3d8}
org/b/g: {[org/b/g, org/b/a, org/b/c, ], f7d90e91d653604cb4040ab31c60d7d4}
org/b/b: {[org/b/b, org/b/d, org/b/f, org/b/a, ], 6e7675db19f26bac2522c20edf66f567}
com/android/databinding: {com/android/databinding, 6806bf2de9d1dd5b54763d1e194048be}
net/jpountz/b: {net/jpountz/b, 58e6313ebc82320a01811475a5e933bb}
android/support/c: {android/support/c, be79e7cab340c8d5e7958e6fdab1b57f}
net/jpountz/a: {net/jpountz/a, 89d831155aea3939c6f8a785c8a5a937}
a: {a, 009612253576a50d734e98dd412e84f2}
android/support/design: {android/support/design, 00b81d9fb0c16d1c394761f53003a24a}
a/d: {a/d, ca3a8484d19eb143437e81ec731dced9}
android/arch/a: {android/arch/a, e47cf75fb3a8d4b434f6808c9048e090}
android/support/a: {android/support/a, 04eb03a4073a46a7c777b8b1cdd1fa4e}
kotlinx/coroutines: {kotlinx/coroutines, 57fd493b5d46d43514ae1c887c03716d}
a/h: {a/h, ad7f675a78c8134f2be6d554b93aff86}
a/j: {a/j, 961ca49f2028b24738b1a70e50d8cd67}
a/f: {a/f, f4ce238d481af3ac62a1402c4bbbef6c}
a/g: {a/g, 69ffb9d763c5359f8ef25115df3bcc2a}
