a6: {a6, 0847c00015b1e6d548362e41e690626d}
mc: {mc, 94e959e01b1e877ba98f764d357a323c}
x6: {x6, acf7ef943fdeb3cbfed8dd0d8f584731}
l1: {l1, f26dc21c242ee8e29062d5b9387cdee7}
i4: {i4, 5f3c07a0d0fce1a6522f8b8e8a28b3fe}
na: {na, f15ba7cb8c1725414fd1af7b98c68708}
sc: {sc, dfafaeb255c5908435684a7ea392081e}
r9: {r9, 012be99182de9cf7d4536cf201c88b2c}
ua: {ua, a43cfd481fb55426f4d3ee1357a4fab7}
v2: {v2, 24666e6b7cd87c2ad7281be08f859aba}
w8: {w8, b8eb30bd0eb6f8f9fc6cfb3cdebac074}
m6: {m6, 2c5f12256277d0efe9ecf9c125a20235}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 279741ffa41fe922c051f1e0b1eb0cc5}
yb: {yb, 4020ec71f510925259bdecf87490fa92}
nb: {nb, 8fc4710c047ca53daab77cb69946e9f4}
h9: {h9, 0eb3370828c538e9baf7f819f048bb42}
u4: {u4, 83121df0eb6a554f7bb06927da71e0fe}
g1: {g1, b8373f0e1107765a3b8c9998a980de84}
c0: {c0, a3f090ac6b8904d9093d14b4d1f21afd}
ea: {ea, 9d1d98e1de4e8bdf68507393dcb32d1c}
cb: {cb, 44dfbbe2caf5813ed153320c6b71d88e}
com/google/common: {com/google/common, 53ae8f5055d392e1fe30738f68fc8e29}
o3: {o3, a72f411950fb77062bc63e01d6749548}
o8: {o8, 155010d7c42ce49cba5bb618819848b2}
t3: {t3, eb30adb0bb02767b1f3a9403ef251bf2}
it/sephiroth/android: {it/sephiroth/android, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/core/graphics: {androidx/core/graphics, b5d963aa8e6d7086a4795046f46ecea3}
h2: {h2, 44111caae1ce6a4f887e0f93a6b90693}
u3: {u3, 09ad87b2f7645a0642c81f3d098fc44f}
androidx/media3/datasource: {androidx/media3/datasource, 91fd77ff51e95483178db65949719300}
c9: {c9, 0c3ce0f982f8d8b8152870a6f57c2879}
z: {z, 3f09fcf47fa79e3e6798b8cfc5068cce}
s4: {s4, b8da07ce46212c35350c3ac0297f53e9}
g6: {g6, 582b05216a3232ae1ab84e46915ccbd4}
b3: {b3, c436f67d5785e8a0ab22a645fd6fbce4}
q2: {q2, bdddf4a2910d20fe3057a475041ea697}
fd: {fd, 3fd08982dfddefb68a661a64c26a79a4}
e4: {e4, 7e3a6ef79183f9869eaefda014b29729}
ta: {ta, 94e2bc27d0598e61ae6eb78994af0a93}
t: {t, 9c3dc656749a4ce227b43b3dab9a5d15}
com/andrognito/patternlockview: {com/andrognito/patternlockview, 63dd2534f06f84693b30711ba7ab516d}
androidx/versionedparcelable: {androidx/versionedparcelable, 2c57fd89b040a28529a4c4353161499d}
s: {s, 0801bdedd9b8733ef71bbaafc2812c2f}
f2: {f2, 5c1218aa91473c61a4140c0f9ba5277c}
g8: {g8, a2e94e475987552cfb74986a79054a8e}
zc: {zc, 3e0a7f32eecde2943d11a8c4d1fc95a2}
v9: {v9, bfdbe5f2021576848de3580bef13d6be}
da: {da, 16d3fc20f48c9443ddd1f1abda476ed1}
bd: {bd, 7e481fd2d98cba38bae4009b62232b03}
w5: {w5, a019e0fbca7b4a525e06adc26ac3d2cc}
z4: {z4, 55e391f6f40dc78cf73a4640a0fd7ca4}
p5: {p5, dc9a55f226c5c731ba271007eae4eb03}
k2: {k2, e7afcbeef9f4c0fd5d3a683e5f364ed2}
m: {m, 430c65b3661c11e12f5eb4c467aa7a2e}
q9: {q9, 204338ceee79fca7a55120f8a465af94}
e3: {e3, eb5fd949aefb31062eccac5a1ba1d321}
y4: {y4, b98287a1628e3d4a9a827f5790fdc93e}
androidx/compose/runtime: {androidx/compose/runtime, 23a74f6669448a0c9a1f528bf2b5d8b4}
u8: {u8, 155010d7c42ce49cba5bb618819848b2}
m1: {m1, 893166ab8f3dd00d11a7b0bc0b4f67e0}
x2: {x2, 13bdecfb635ea3bc0f7863bebd3b40c6}
a2: {a2, 9726f6fea8efeb9b1b38a285c5b96db4}
n9: {n9, d70784d49658d35ed29a712f0eeecf59}
s9: {s9, e703881eecc001eb0fb9845f301f63ae}
n0: {n0, b74408210d96844ade52f8c9bdec35c2}
k5: {k5, 46e8389e2e9e0b43033612cf72869f16}
x9: {x9, cb23c792432ed1072057444332220df5}
jc: {jc, 06c4cc261d540e12d287818df9baba07}
i9: {i9, 310e7284b5cfebf513915601717e3a1d}
ezvcard/util/org: {ezvcard/util/org, 0db390eeeb150a4b7e83ec8056f6ee13}
j1: {j1, 988b983904f677772bdc439317d71b00}
m8: {m8, 3bc145e104387de89cc81411d9b18ee2}
