androidx/appcompat: {androidx/appcompat, be4614bd02dbb967e272e26c4331ff09}
kotlin/collections: {kotlin/collections, e9c96f4855a29462076cbecb68ad0faa}
ch/qos/logback: {ch/qos/logback, 5652335b35949d29b8340b493faf7878}
kotlin: {kotlin, eab6d5574890c8066c8e3f0af9d095cb}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
com/google/code: {com/google/code, da6908dd8f0eeca512dc1450333bad68}
kotlin/internal: {kotlin/internal, 5c5bb30f228d6a709434357d0a6d77c9}
androidx/activity: {androidx/activity, 8b6d695cfc493fff3e700e2883ab3167}
androidx/profileinstaller: {androidx/profileinstaller, 81a06e11956239f9d5a4510fa9d13e3e}
cyanogenmod/os: {cyanogenmod/os, 91e12fb171a4b0a93f3f5e1ad49399c5}
androidx/core: {androidx/core, e69f09fbfc2ebdb73c833ed85d115ea2}
androidx/preference: {androidx/preference, ddc641bb9c1286bb2151b0a11c03a4a9}
androidx/customview/widget: {androidx/customview/widget, 6a718fa154b90f2f6a99ee07928c020f}
net/osmand/aidlapi: {net/osmand/aidlapi, fee6da73f827e2b6fe856d22db0bd980}
androidx/lifecycle: {androidx/lifecycle, f7486aecd1a0849421efb8b3a864c3d3}
androidx/fragment: {androidx/fragment, 3b2d7e2636be53d4edcec3542c56549b}
com/github/mikephil: {com/github/mikephil, ea6d97b112f103d2a3a72358c5ce83c2}
com/github/pfichtner: {com/github/pfichtner, 74396c17db12c8b9504658efa20dc2c7}
com/mobeta/android: {com/mobeta/android, 30954609f7fcce84e4c4caf35b0887d9}
io/wax911/emojify: {io/wax911/emojify, 8749d64b0dcf32c0913f7d76bb370f74}
com/google/protobuf: {com/google/protobuf, dfb7f2396e10c2eeb44a5f8080648930}
kotlin/reflect: {kotlin/reflect, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/coroutines: {kotlin/coroutines, fa726e2aa88c4b5269f247392da7f689}
com/google/android: {com/google/android, ccba2e675f589a1aab6c67f11df58bb7}
kotlin/text: {kotlin/text, d589e8707e5a0e62f4de294288c8080b}
co/nstant/in: {co/nstant/in, e28860de9e9dc806052e4c6c67e24470}
androidx/versionedparcelable: {androidx/versionedparcelable, 43279262471d777d1068e3b1fbe04d59}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
androidx/viewpager/widget: {androidx/viewpager/widget, e680f976fa9f87c20b4babcfb4201ce1}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 5d71f04c23d4e30aaa6cb346728ea99b}
androidx/collection: {androidx/collection, 5aa030e267b321e52f221dd1b99984a2}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 00e5645c39b2eac0e5f034808fdbd6e5}
androidx/transition: {androidx/transition, 84671f9d97dacb38324a9d1a5311285e}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
cyanogenmod/weather: {cyanogenmod/weather, 1220327e7c97721cdd475687205a0256}
androidx/cardview: {androidx/cardview, 018647c38b6e9578fb4274a4989252b4}
com/jaredrummler/android: {com/jaredrummler/android, 2baac49bcd7a5a2bc12b5ff950dcc90b}
androidx/drawerlayout: {androidx/drawerlayout, aba74e8bdb2c024450e8b1cca68740e2}
androidx/media: {androidx/media, a52eee8ecbfd318b01e7726bf42dc93a}
com/android/internal: {com/android/internal, e3c0a425ec2c47b67599a8ff5554c565}
com/jakewharton/threetenabp: {com/jakewharton/threetenabp, 0a2fa3d4c512f7abaf6388edae253ccc}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 4fc6632377b181724d9fa8df6ebbdaa7}
androidx/legacy/widget: {androidx/legacy/widget, a7398e968b7866769a932f3dacf7b3bf}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, cb97574974f4ba38b960665bce68d858}
kotlin/sequences: {kotlin/sequences, 4dcd7e3415fb91e49b7d59f6f5d7e768}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, f1fe26731405dcaa96d551c6e3bb3c22}
de/cketti/library: {de/cketti/library, 238ad57263ba4a322395d547cd6332c5}
nodomain/freeyourgadget/gadgetbridge: {nodomain/freeyourgadget/gadgetbridge, c2676d24686e66d370aeae21be33d304}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 149750d9d8d9998cdfeb455df7a44a78}
androidx/arch/core: {androidx/arch/core, aefc22d62838793dcd4e201e44ac3844}
androidx/emoji2/text: {androidx/emoji2/text, ebd7c5ca24c67f143622ba108b5a5d0f}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, dfdf97030b4e52625fe14bd83ea4a9c3}
androidx/palette/graphics: {androidx/palette/graphics, a750ea98697187aeceb81604e7ccc8dc}
androidx/savedstate: {androidx/savedstate, 04c714964aeaeaf0cf5cc607beeee7aa}
kotlinx/coroutines: {kotlinx/coroutines, 5e5ead62b3854b76649959a85ef8e766}
no/nordicsemi/android: {no/nordicsemi/android, e78f1950632c571fe5dce8ab4a937edb}
lineageos/weather: {lineageos/weather, 9f3f205487f5ef0c80076b9d4d399362}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 1fd47adba956cbf6649ac7870a6f4b24}
cyanogenmod/providers: {cyanogenmod/providers, ffe8538249e0e6137918abf0daab926b}
net/e175/klaus: {net/e175/klaus, b556038d489ce3eadb95518a6374e106}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, dcc9dfb0c36f131bb211d052f979400d}
kotlin/ranges: {kotlin/ranges, 32869caa4f7f1abac89c1195a4ad460d}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
de/greenrobot/dao: {de/greenrobot/dao, 75262fb6f0f763933bcdb1782c4366fd}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, b0c1ddaacf3e13bf36e99963dfa865ce}
androidx/startup: {androidx/startup, 3e65518dc1783a5b4e0396a0c8ec0298}
com/google/gson: {com/google/gson, 22ec11b9e55ccd081b41a9ca7e57c88a}
androidx/concurrent/futures: {androidx/concurrent/futures, ee4dcf7b932b9a5e8f76cb84b213dbab}
androidx/gridlayout: {androidx/gridlayout, c57fd01ff4951f73e26216056dfc2be1}
lineageos/os: {lineageos/os, 2ca1fd725c6505f0312016d41e0b124f}
androidx/recyclerview: {androidx/recyclerview, 9a81f652862949e09dcf365a8bbbb640}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
kotlin/jvm: {kotlin/jvm, 733a60987dbf09ce4f576fc5cf6a6566}
androidx/loader/app: {androidx/loader/app, 6d417a5638bff7d0b195e62721b74cf4}
