org/joda/time: {org/joda/time, d8e0dd87ab425b2346b08ea7c1ec4fda}
com/nispok/snackbar: {com/nispok/snackbar, 48b0acfd52af0077a70d7286d3d11b58}
com/makeramen: {com/makeramen, e6338f8abf6171e0c0202a3d3035377f}
com/nineoldandroids/view: {com/nineoldandroids/view, 7f2c8607365a9206fb72c42221adc9c9}
com/fatboyindustrial/gsonjodatime: {com/fatboyindustrial/gsonjodatime, 7e128ba491a3ef6a4971500d3f9606de}
com/getbase/floatingactionbutton: {com/getbase/floatingactionbutton, 32438fd870de7f3e95233b6937a9ba93}
de/greenrobot/event: {de/greenrobot/event, 8019ecd670b30f5f9a22b411d2f318b6}
android/support/annotation: {android/support/annotation, 2f98f4fd60829d2567feda6a980af495}
com/nineoldandroids/animation: {[com/nineoldandroids/util, com/nineoldandroids/animation, ], 0bfb5a173abce59c317426b9fbcb18a7}
es/usc/citius: {es/usc/citius, 5b51856f353a9a7180abf75d60f62e6f}
com/melnykov/fab: {com/melnykov/fab, c4874ebbf0dd1271e49eb1fcd544c9ee}
com/ocpsoft/pretty: {com/ocpsoft/pretty, b4141ac671cff4eac2e8b5f3ac53f8ee}
com/github/amlcurran: {com/github/amlcurran, 211c97e852854055e123fe30a676002e}
com/doomonafireball/betterpickers: {com/doomonafireball/betterpickers, 2fd0cbfa5375fc7191d581e41a2eb60f}
com/j256/ormlite: {com/j256/ormlite, 1d54dfc14c3cc71a1887c2a364b10c71}
org/jraf/android: {org/jraf/android, e803adfb89dd7738c755b23444016409}
com/tjerkw/slideexpandable: {com/tjerkw/slideexpandable, ade85890912c6ae0216fdcd579946346}
android/support/v7: {android/support/v7, 99543302720cf715877780be9dc51a16}
com/google/ical: {com/google/ical, 7eed69c9beddbab8688e02e7e3636884}
com/filippudak/ProgressPieView: {com/filippudak/ProgressPieView, e9b5187b5f57cbf834b9a0f95f02623a}
com/activeandroid: {com/activeandroid, e681d16725c6b19ebbf919f44230f7e8}
com/astuetz: {com/astuetz, debc9d6030418764b2c675c035ec9b26}
com/squareup/timessquare: {com/squareup/timessquare, d43df7795062bc7174a6133afa1645c4}
android/support/multidex: {android/support/multidex, 8414f1aec6547d4b7df13337f428e482}
com/google/gson: {com/google/gson, c20631c5851a921e528a0a3cccd93415}
