kotlin/collections: {kotlin/collections, e7d7dde6a0b824bcff83f26fe7807dce}
android/support/v13: {android/support/v13, fa44dc2105e92567c0c5208612598ff8}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
kotlin/io: {kotlin/io, 323f9fdf9ef1d5476f84344a6f0fa662}
com/jjoe64/graphview: {com/jjoe64/graphview, 262adac3f6be0e6257dc1961b94a7393}
kotlin/internal: {kotlin/internal, 35b36984d64610be1361e47050bf6476}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/ws, ], 329e606e3bb59e85cdb0d6fe8c109c6f}
kotlin/contracts: {kotlin/contracts, 5f92cb18e7c1f92c099e059775f8c3d3}
kotlin/sequences: {kotlin/sequences, 0cfe9dd792a2d4e923f06d914118df46}
kotlin/annotation: {kotlin/annotation, 5ceefce2e30f15116573e0539c5d1608}
org/kxml2/kdom: {org/kxml2/kdom, 9d7c43d12c9d4804bf30a86585bac225}
ru/ztrap/iconics: {ru/ztrap/iconics, 7e1db606636f4d959156c2adbbd0115f}
retrofit2/converter/jackson: {retrofit2/converter/jackson, a0fe0174aff7a332d93dfb8ae7842721}
com/fasterxml/jackson: {com/fasterxml/jackson, bca40ab96a6b521a714bc0036b9e6065}
kotlin: {kotlin, b8feb0dc56e717b5b4d6272e01d12670}
android/support/exifinterface: {android/support/exifinterface, 542dd9699021b2a489ba6c7d8f6e4a23}
android/support/fragment: {android/support/fragment, 2bf41454f63b2e0fadbeaac191681f40}
android/support/annotation: {android/support/annotation, 6e2e7ab88c04e0eab2e15b44979b85b7}
fr/arnaudguyon/xmltojsonlib: {fr/arnaudguyon/xmltojsonlib, 3412dde158324a976047a1d9f1808f93}
android/support/coreui: {android/support/coreui, 2bf41454f63b2e0fadbeaac191681f40}
com/mikepenz/google_material_typeface_library: {com/mikepenz/google_material_typeface_library, a65412e3fb625654997e8efe0db51be6}
kotlin/reflect: {kotlin/reflect, 9f4fb51efe5005cf907c69d1bcac7ec7}
kotlin/coroutines: {kotlin/coroutines, 0c412b7f2c67e67d6c9cccd95ced2c35}
kotlin/math: {kotlin/math, f1324d03ec7c95fa6c18fcb8fe460510}
kotlin/text: {kotlin/text, 439da2ee12b3ca21e9187d563cc26f81}
com/mikepenz/iconics: {com/mikepenz/iconics, 67627d89428aeba5db3faebe86172bac}
org/geojson: {org/geojson, f28b75cc8125a4e1d30e6449cebcd6bc}
okhttp3: {okhttp3, 443a29899d3adca3872b76c22b6e775f}
android/support/transition: {android/support/transition, ccbe15740092a859872f613019eda8df}
kotlin/random: {kotlin/random, fee1c385e0521c5c56d2aa50cc05b1c8}
org/mapsforge/map: {[org/mapsforge/core, org/mapsforge/map, ], 4cba37f5c2da18ca454534c268dd943b}
org/kxml2/io: {org/kxml2/io, 41bfb508cf7073e16efd81dd14ae302f}
retrofit2/converter/scalars: {retrofit2/converter/scalars, 7039ff8a8977691abea9a45a7920a311}
kotlin/streams/jdk8: {kotlin/streams/jdk8, cd70b86e28399f25d641926a3a05a7b7}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
org/osmdroid: {org/osmdroid, 1900c559540738c5d3b5bce7d810c5f5}
android/support/v7: {android/support/v7, 69cac44ef8aea445d7775deb0bee31d0}
android/support/compat: {android/support/compat, f0c897d148a7bdd3648bed4c8604463d}
org/slf4j: {org/slf4j, 9b92cde9d8f07b7d66d99dd2fddadb73}
retrofit2/converter/simplexml: {retrofit2/converter/simplexml, 1c0c87901081faaea8f61523bff9a68b}
org/xmlpull/v1: {org/xmlpull/v1, 61c010f398c22d73bc0fda1c4454474c}
net/cyclestreets: {net/cyclestreets, c5da9dd1ac843c56ce35344adb7d5d79}
kotlin/js: {kotlin/js, acf7ef943fdeb3cbfed8dd0d8f584731}
android/support/coreutils: {android/support/coreutils, f0c897d148a7bdd3648bed4c8604463d}
android/support/v14: {android/support/v14, 894073e394f1f89a1ac063572dee5bb8}
kotlin/concurrent: {kotlin/concurrent, 772be91c7af37ce72e30121ae91a2db0}
kotlin/jdk7: {kotlin/jdk7, c01eb30731af9c7f20a08f9240b0384c}
org/intellij/lang: {org/intellij/lang, 2dec1adfa53189f66a49f5ff580f2804}
org/kxml2/wap: {org/kxml2/wap, a138bb7c220fdf150d099819634680fe}
kotlin/time: {kotlin/time, 7513fd289a152a153bd11081f46d5fbc}
kotlin/properties: {kotlin/properties, b97d55cc9f6ca7e7b115a49f2f5b16fa}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
org/simpleframework/xml: {org/simpleframework/xml, 165b492b0b7b3c495cf1a710e855eb11}
kotlin/system: {kotlin/system, df2009cf378fcc5b9c10e4c3622086b6}
android/support/design: {android/support/design, e3f5a45ab7861c86a9662e5250e9bd17}
com/caverock/androidsvg: {com/caverock/androidsvg, 57a7da8dd160567a620c8ae795091c86}
com/bazaarvoice/jolt: {com/bazaarvoice/jolt, c21c8abe440ace6b71126e489376db34}
okhttp3/internal: {okhttp3/internal, 2ceeed0b7e5715ae80872f99832f7e95}
kotlin/ranges: {kotlin/ranges, 835e7cfd12fa2ab933c60f1521f29fb1}
android/arch/core: {android/arch/core, 6c88de31d3613c72263734fd7ec35d18}
android/support/mediacompat: {android/support/mediacompat, f0c897d148a7bdd3648bed4c8604463d}
android/support/media: {android/support/media, ba9754d0908d47f0c1c0a7c02b9d191c}
kotlin/comparisons: {kotlin/comparisons, f749b0b0a76917568f86d12a64406dbd}
android/arch/lifecycle: {android/arch/lifecycle, ef2af70d74173a3c5cc51d7add1a0231}
org/metalev/multitouch: {org/metalev/multitouch, 61f160f5988d8bd2d98ebd4053b57709}
okio: {okio, 75f4cddd0ea313dcccde3566116e6c8f}
android/support/graphics: {android/support/graphics, f8a414baf71cebc075f1295cc701b0c0}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 9fb545ffab7a1e7429cb469a8aca92d0}
kotlin/jvm: {kotlin/jvm, 3b7d21ab9a13fdffdb25897450af5cd0}
retrofit2: {retrofit2, 15855fd1f0aa92d8cad94627bc9f6b7d}
