org/joda/time: {org/joda/time, 16bfa39cb1749b804ceb2ebadd753db9}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
rx: {rx, 2a03c8e74d0a31ebd11bce83504e952c}
rx/f: {rx/f, 967d16e7b4834437a2faae9f90f300cd}
com/google/i18n: {com/google/i18n, e23d73c06e6fe829c0152de2259d531c}
rx/b: {rx/b, 24201ce0bb2469c7d725ccf3fff989d7}
rx/a/b: {rx/a/b, 39ef7e0e14f46e2c9c123cad215ab4d8}
butterknife: {butterknife, 5f7d429426d15195153a4c5611a4bac0}
io/fabric/sdk: {io/fabric/sdk, a032c34d2137b36ecca4486854487279}
com/mikepenz/materialdrawer: {[com/mikepenz/materialize, com/mikepenz/a, com/mikepenz/materialdrawer, ], df1d2ff22386d10a519870bb7e5c01de}
rx/c/a: {rx/c/a, 002a07e0ad64727671b2d29a30f5be87}
com/takisoft/fix: {com/takisoft/fix, 4ca95f58f8f008c8a2c4359ab4bc78e9}
com/github/mikephil: {com/github/mikephil, 0ba4b4d591782f19140f3c29d033b12f}
rx/c/b: {rx/c/b, 1665ffcfe4f1c2f9a65d4113ab86a2e4}
rx/d: {rx/d, 83e5838888dad216d6ff0191247a9155}
com/nineoldandroids/b: {com/nineoldandroids/b, 15a47ad45f1c7a220c4b1c1150f3392a}
io/realm: {io/realm, 4d7b654747137cf64de03f62ac7b233a}
me/zhanghai/android: {me/zhanghai/android, dbfd24b636782ed48d70ef4012fa3056}
com/google/android: {com/google/android, f1226523763f8350e9c10aee9ba7ae5b}
retrofit2/adapter/rxjava: {retrofit2/adapter/rxjava, 5e612992b1f3e07c03bf07726c4dca6f}
com/codetroopers/betterpickers: {com/codetroopers/betterpickers, a014c6b3ea1ad45f962571d3674b9db5}
android/support/b: {android/support/b, 04e5bd14e0c3fecc4facda97546682c7}
okhttp3: {okhttp3, 2df051d5d3f82f4554197f094a08ba94}
a/a/a: {a/a/a, 13a79ba82d687906b41941f5934a7cd4}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 210f743c060196ef2412d0a1b6404423}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 9d9af4b05d1b6ee8b5848802111915f6}
com/borax12/materialdaterangepicker: {com/borax12/materialdaterangepicker, ab069106f343369d762573b10ff833e2}
org/greenrobot/eventbus: {org/greenrobot/eventbus, 7fc4d569607905c102481736f7cffd6f}
com/c/a: {com/c/a, 4867b25c8fa98f365af411999227c85d}
com/stepstone/stepper: {com/stepstone/stepper, d1ac9f8e09caa0e977776a30d77a37c1}
rx/c/d: {rx/c/d, 408e7e049508a6495f30362a83596386}
com/crashlytics/android: {com/crashlytics/android, 0edf8615606400953c4ac6200f3cd901}
b: {b, ddb96310d0d0e4acc1c55e943e22a416}
android/support/v7: {android/support/v7, 6c7165291fe1a3becb4fdb96f349085d}
com/nineoldandroids/a: {[com/nineoldandroids/util, com/nineoldandroids/a, ], 2097f256507216ec3700cd1029448f1b}
butterknife/a: {butterknife/a, b470d64bd7042faf739232ec23bcca35}
rx/g: {rx/g, cb2bc322651c8aad8af725d188e50cdc}
c/a: {c/a, 59f5b00bc4c4e266a71fda6fd3ce72db}
rx/a/a: {rx/a/a, 73e4d24126d9a9c9c3c7d77f9470362b}
com/arlib/floatingsearchview: {com/arlib/floatingsearchview, f44bc9ffa65ca55864c23005299b040b}
rx/exceptions: {rx/exceptions, dc6833e3475dc82e375e24f46bf3cecf}
rx/c/c: {rx/c/c, 424bc644b6ef65a511952c0f6955314d}
android/support/v14: {android/support/v14, c2e2435a6b5725945fa569868180ac8f}
com/b/a: {com/b/a, 8585e5626b927025dc43696ebf8cb109}
com/mikepenz/iconics: {com/mikepenz/iconics, b3251a7abc8a624bb57d6819f356cdd8}
com/dd: {com/dd, 199f24ed71cf8bf5497535a02850ed5e}
rx/e: {rx/e, 60fd5250b4ec3868532c217b20d8b51b}
retrofit2/converter/gson: {retrofit2/converter/gson, 612fb21d6efb8dc5e5bdd5a222f215d3}
android/support/design: {android/support/design, cbbcd75c0e74cd2d588c87b42021055f}
com/google/firebase: {com/google/firebase, 542dd9699021b2a489ba6c7d8f6e4a23}
rx/h: {rx/h, 8b8ea654b4768e503e174d17247448ff}
br/com/libertsolutions: {br/com/libertsolutions, 08fa9a3cd293dc05d91f2e8609dd2d9e}
android/support/a: {android/support/a, 519811041fa78f4d1bf3b2018d6bab8f}
okhttp3/internal: {okhttp3/internal, a91a8f212da902f17987ba88fdd239e7}
com/google/gson: {com/google/gson, e3ae92dc62b05ad95b7a09606e230a54}
com/mikepenz/b: {[com/mikepenz/a, com/mikepenz/b, ], 3d464e80904841bb5758685e2edf73f6}
okhttp3/logging: {okhttp3/logging, c993232642696561c6da8f8563efbf75}
com/getkeepsafe/relinker: {com/getkeepsafe/relinker, bd12cb4fc4351e236234e735aba3d5ec}
rx/c/e: {rx/c/e, 5b7bed9ace94a8a6b2617420d3c7c65c}
com/a/a: {com/a/a, 4124509655403340acd8119aa35973e9}
retrofit2: {retrofit2, ce0ccc340c07a288fbb1b5fbed24c94d}
