a6: {a6, 40b355d1a8a50b1a2eb6e130b393cb2e}
p2: {p2, f2571f801d6ab7ddbb5ee582dde0e96d}
androidx/compose/foundation: {androidx/compose/foundation, dd7ce99e9b3de6bc064d4d63852f6f4c}
androidx/core/widget: {androidx/core/widget, 13184fda6216f6ef4f8ae5f0186275cc}
j: {j, 4b7f92d9f024fa0d742a6ef7966a5610}
c1: {c1, aae2c0e954a0651747dc84e356110698}
android/view: {android/view, de1c2b92945417ecd988923d07abfa41}
q4: {q4, 2d179ca094447fd82b7b326d3a4763e5}
x6: {x6, 8253577e7d629272f62798bbc83619a5}
l1: {l1, 53b5f8061d56535b8072590ba0fc12ad}
i4: {i4, 0bcaa94c4dbc232d05602bc0712a1423}
g6: {g6, 35b9d8599e90baff18c8d8655b6220c7}
o0: {o0, 1d57313e15c90fc2e21812edbc95d1cd}
androidx/compose/ui: {androidx/compose/ui, 658c8b62f75e39af7b45faff6b3206bb}
b5: {b5, 45658fe656b364d0835aa74325e36e69}
com/google/android: {com/google/android, cd5461283f8aba4a9f84bbbf024ce3f3}
v2: {v2, f81f042392f754839a475c4e4a86f3ea}
z1: {z1, ad593be36d0e559284580ea9b6f69d02}
m6: {m6, 56ed5b82ece4014d5f55476c70a8a4cf}
t2: {t2, a84905c00c47996f3cf7e13a9e61e4d9}
w0: {w0, 7e5ffb03dcd7beac4376f57f1ce43b80}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, ff340a2d0a93cf26d90f7c21c2782785}
r1: {r1, cd8b35cb50ddc06dfe93e7d9b501926d}
e6: {e6, ebeabfbe496fc01a31beffd91591c187}
j5: {j5, 0646c4d1b5d01dbb11fff7f4f79c8f54}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
androidx/appcompat/widget: {androidx/appcompat/widget, 8480293ca87ea1009f8443a47fef16fe}
y: {y, f9cfbefca492da52769ecf595b56ed5a}
f4: {f4, b89eb907dc6f05e66590cda886d2bcc4}
b: {b, 1eab7966eb11de6300c2742007684e0e}
k1: {k1, 98210f2061c4d5387342785e75ebc8f3}
k: {k, 78d8aa75ef46cf11ff78047584efa92a}
g1: {g1, f698d6fadc05001a5e94d6b29a8c8e7e}
c0: {c0, 0da6c7d358caceb4e4d94863b6e57fa1}
a5: {a5, 5b61dca2f4db93b650c1ab893a2c06bc}
p3: {p3, 4a9c94e139e786f9126cc536d04c5833}
e5: {e5, 928a3dfd1ce4cb879ac165198bb4c4bd}
b2: {b2, 2a188f434cd247183cd4cb79a7f4b224}
q3: {q3, 550d9160df6aca4f53bbdd4bfb6e1728}
l2: {l2, f0c52ffd65f217b3c944ca82201d2467}
i3: {i3, 5d793468a22390e7a7921bed04811e6c}
androidx/core/graphics: {androidx/core/graphics, 981fd1a9d4c7d3eaeabfa311e1cd144f}
o3: {o3, dae8776d3eb73d9fb737717bb75c9d5e}
m5: {m5, 6fc07e10f3bba438e41f0298439fa902}
t3: {t3, 1a23ae01c448a1937a82c32c11158912}
j2: {j2, bcb8ce61ecf4ed0f45d0eff430118f24}
v3: {v3, 7f298db0893f663235fdcb3cd973f209}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, f1c79078847176434379b852be833fb0}
h2: {h2, 2c0dc7081d254c8edf996bd6a1306983}
n5: {n5, 9ff0b042df38176296548be0dcb92f1e}
u3: {u3, 0f8f7c7a078d759b24b09d6263e42100}
r: {r, 8f5b93e0b8d36d6bf52f98ca9f6c7f00}
z6: {z6, 592950e6d0d57e3fd243d00ec6565f88}
f5: {f5, 1291bcba77e25ed35926d81596b46bb5}
androidx/appcompat/view: {androidx/appcompat/view, 366240dc4e8f007af7f84460fa0f56d5}
w3: {w3, ddf77b3554b9598607774da77d0de60e}
z: {z, 249e578f99822ef9e61db8c031015d38}
r6: {r6, bf3bbac399fb65e7a8c3330f83977df9}
d1: {d1, 23eaea0f2b0203ed9e813444432ea075}
c: {c, 581b4c16c74b2988cee7f6e1f1ccc7bb}
k0: {k0, 065d2fdd623f9d6ff99961d73b8baeda}
g0: {g0, 4e2b00c5841171d38dddc7d5bd87ad26}
x0: {x0, 23e38d4c806b8c6765db47357b26c004}
b3: {b3, 3d7b53e70194f64b875f21d45189f108}
w2: {w2, 69423895971838114bd7df3f29d3cd50}
q2: {q2, 96b2851ec70257777678672b0720465e}
e4: {e4, 651d0140fcbbb6d7a08061a12fa8d057}
o2: {o2, 5f855c3ca6023379b0cf42c18cb007bf}
m3: {m3, e5a50c816c1738fdfff08549bddc6b90}
i2: {i2, 48c647f3b73662c2329dfd640831cc96}
androidx/lifecycle: {androidx/lifecycle, 802bf5919e186c793f51498cf192d550}
c3: {c3, 62f737e2ab0bae39d9a725f5be066f5b}
a4: {a4, 640bfbd6093d5a4d918dde809dc3e6ea}
h4: {h4, 2e02083b639e1db1720d471116b1b245}
t: {t, b59e59656771c78aa321097a909c1317}
g2: {g2, 6d7b1c3dd16357e9879bcee39cd07076}
j3: {j3, 99cae6be03de5a32af75cfc6674628ad}
m4: {m4, 13d3f3bf2d5ee92decdf095d883dec20}
t4: {t4, d7896d3c1a52507f55e6d98d68c9ce78}
u2: {u2, 0117e22a58687f7a3c6bfc5488122757}
s: {s, 9d13977debc1b11c5112026b30d00818}
d: {d, fdfd197388d2cd1fb59c80cbe9576fa2}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
h3: {h3, 299cc2966c7af5b2e4a2ef18cfc518cd}
k3: {k3, bd7d02e38b8623f7bf2c08e38ffb842a}
p4: {p4, 05d55cfa28ca3842a4d2134f74f58143}
l: {l, cccb1b22e72b73fd7818fdd35dc01fe6}
y0: {y0, 3b8cb83697dd48d9520a9d0d98962842}
f2: {f2, 286af19722fd0e36b9a0bb44600b8fd2}
v0: {v0, 3931494673d5cf1c7cd23a2bddb8b88c}
d2: {d2, 99bc553215c62eded59274bdeaa9e376}
q1: {q1, b672e1f2c9fcbc9c760ed10a27fb18db}
x1: {x1, 7cb9ea5adb4d7b3b9464beb59b900580}
g3: {g3, c590b14a4f697b1f5b10bc3c27d11eab}
r4: {r4, 7ab659815705e8addd2e9970fada69b3}
org/vosk: {org/vosk, 12111b5ee8e44567f3570ce3d25a0857}
y5: {y5, ae901c60ccabc89b9e40c6b49b4aaefb}
b0: {b0, 2564740d389eed5b26331d3fe771b55e}
m2: {m2, 350ea6007efaddde2b165654702d5bff}
s4: {s4, fba7766d3d8a7fe910cde8573c7400e3}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
o5: {o5, ccbf9047691aa45ac1955e704a4f77a9}
h5: {h5, b3a7125ea5b1e0c8cb7b707a9a8238eb}
w5: {w5, a7b9c0f09ee925dd5a6e6a9123cd31a0}
c2: {c2, 17d05478f770a2a9e1a04da465022f47}
a3: {a3, 1affe0fe07c0b2185e4896fa775f8155}
z4: {z4, 43af1c1e1a8213fd7b28d20bb1b9602b}
androidx/fragment/app: {androidx/fragment/app, b02f4b8e7e262a3b47ee93eccddc7497}
t5: {t5, dcf81c5e587ad896ab7a0018d18b9225}
j0: {j0, 0d991f270b21f39c1fa68483ad83eec9}
l3: {l3, 5855a93f6039e5efa635d82e1a297867}
n3: {n3, 53e589ef918a88cbf1c63b057ed172ca}
u1: {u1, b317886d03eab9bad7a0385e5c92d2d5}
e: {e, 6c2fdfb88c55f3668339e1a3382ecc32}
p5: {p5, 1a44bca9348d463d712cfabdd2124b54}
d3: {d3, 1daa94a62c100c8d2194f681aeca4990}
l0: {l0, e6ba16a74f7c2ad2b60658052a53a226}
f3: {f3, ad19ec57dd12d9a0cd369b00858f9c78}
k2: {k2, 1200c9be5feaf44832b64563e9eaf357}
m: {m, 86e47d7230b7cc5651ec73c24d3ef4e0}
e3: {e3, b34f05f71f715052026545b7d2ae65f5}
v1: {v1, bd66dd0d9534aa0cf926de557fe10a7d}
y4: {y4, 4c5871075c5e76cd10d35fafa67f5e3c}
q0: {q0, c545d57156cdad8385ac6a3a5d1b83f4}
c5: {c5, 80d53fbc94ce7f884f3f2810d1b7d5e4}
w4: {w4, 4fa0fe37c051a50d00f78362b0b9206c}
androidx/profileinstaller: {androidx/profileinstaller, 96c6cc10dc6dc9fe7cce164ef6b910c0}
r5: {r5, c1409a3d44395a62a0c52ac30e7708f5}
z2: {z2, 9403efcf91b649c9c32b01a524e23fef}
o4: {o4, 240e90348ff18b0fb78e2808943d987c}
m1: {m1, bad8feb664cad32d6825069d7bbab88d}
b4: {b4, dd990607015edd020536a54a94eafb6e}
x2: {x2, b971ec322cdc54c43aabbf8117b002b2}
v: {v, af32d05600e431c7ca804696c7279a44}
a2: {a2, c3690d7b702633d945925b90744766b3}
h6: {h6, 2f98f4fd60829d2567feda6a980af495}
androidx/core/app: {androidx/core/app, ce84b6a9787c9e0e8c1c6ba8fe27bc1c}
n0: {n0, b392465c8ab7a36cdf2cedec658907a8}
u0: {u0, d0d0067c268e48858a35eeb668047b09}
z5: {z5, 935dbb4d1af3a813c77866c9e99c4b3c}
i1: {i1, ae4d9cae8a5e21cd873c10a332ec7ce8}
f: {f, 73c968e919fc31a69c17d3f30b891e7d}
v6: {v6, c610a17d721980c15fca0f63391771ce}
y6: {y6, 72945cf125835e621fa96996707c160e}
n: {n, 6a682a224af1f84ade491cbf493ab58a}
p6: {p6, df4683349512bb465f4031922ffcfd6a}
d4: {d4, 71de1bf2eeac3eff4b519124a288e2dc}
e2: {e2, 6d97321d4ee23c9e5f3c718c9ecf159f}
t6: {t6, 3926bf62443ef8347b1ede106bf9c561}
j1: {j1, 089dc4e67ec03e4d482cee2909f733a5}
u: {u, cf16bfb4b28042ff9ea2e833ca17f781}
b6: {b6, 1ee94a1bd37fdb202330887677d0e944}
c4: {c4, fee2eb9bc1edc60b76b0b12a198efcad}
s6: {s6, 297ff04cd319da1ceddd52744a46b393}
s1: {s1, 11b38007e6a75d00265c573765893377}
o: {o, b41dd374b1edf26835f8f3f6a1805173}
f1: {f1, 8cfd2a6101fff92cd55b9f41b709f0bd}
z3: {z3, 50d3be44c62e84f6cfb1b20407392c5d}
a1: {a1, 096cb143ffb76378e43d63a4a448dbbe}
n6: {n6, d64da32c35a87dcc39781747532995b2}
w: {w, 68abbb2dd045d2a569db660655dcceee}
x3: {x3, 623f307e1e91cde8e45bad3eb03b00f8}
g5: {g5, f9e869dd8b28a815fe9040a62a7a24b3}
k4: {k4, b3c77739d6867df02e9370f735b5d55d}
d0: {d0, 7e51dbb338eb51befa21182b9a51cc2b}
g: {g, d27486ac9b40637f0adabf32610ba189}
n1: {n1, d93b8181a1ff8358710b9f3cb029c1e7}
b1: {b1, 7c2dfbe04099b367a5d7060696a87d25}
l5: {l5, 33c089b64ed116d6f13e70593390a9e8}
i0: {i0, c304219bb78e02125cf00c58592871eb}
androidx/appcompat/app: {androidx/appcompat/app, 032206a4a6147504f1be2203dd3c9fcc}
s0: {s0, 7c360c303d20dd8bfb4449f95c95da19}
u4: {u4, 4296a4f0ecabc6348fac2217b41e7ea2}
r2: {r2, 874d9fe2e578d68fb777562eefd06331}
e1: {e1, 1b25a9b280b61a927f76d419171284b3}
j6: {j6, 41834836125e893f42c5310f342791ff}
b7: {b7, 1e5f0f03b6ecef3ac4e8ec184873ab61}
w6: {w6, 4d2ab492422b52ef6cff00fae24f438e}
h: {h, bf847f00543d776c4cdd33a2ee97b389}
s3: {s3, 98cbc5ceeed277aa7eea22c8046a718b}
x4: {x4, d033cf021936826c33dc30b7be0c863e}
p: {p, 896487b1a2b763b7a428a06179f4849c}
androidx/emoji2/text: {androidx/emoji2/text, c3100f8017e9805d4433411c8a6342b0}
z0: {z0, 6d6384f57bcf3bcc6f37a45d8b9631f6}
a0: {a0, 568f3a16973268f683a5897737b932d1}
h0: {h0, beb00a62cfb6c0cfcfa8ace57ed8ffe0}
i6: {i6, 9eaf44380bd3785a6bb0e4d17affce35}
g4: {g4, d636f49e3a9e405f5290aaef710db3fd}
androidx/coordinatorlayout/widget: {androidx/coordinatorlayout/widget, c3a83ab2566064b391c28d0f47ba35ff}
s5: {s5, e8ce903e1d958f71dc5c9b082b3cdf50}
u6: {u6, e17f9994438cfb831ef1ed850f127beb}
y2: {y2, d17dc4e2d877d632a5468f62677ebe67}
t0: {t0, ff0ac8e413a6a53c263ba5ecaad3b680}
v4: {v4, 91b5fdaadfa31497190d899ea6580c0d}
q6: {q6, e9cf86ed4fc161a82ea73641a16aa5c0}
e0: {e0, 8f8227267cd446a6321864a5bf7aa26d}
r3: {r3, 5a9afe818e3e1768cab620163fd36305}
f6: {f6, df1d20d8818ba3182ef4dd6d8d556008}
a7: {a7, 1cd67a22633d9c719dcc0b22b30f0e8c}
org/greenrobot/eventbus: {org/greenrobot/eventbus, ea0b5b734ead05e97b5cfbff1008e60e}
com/sun/jna: {com/sun/jna, 738f14249392c5168d9d527be8829129}
l6: {l6, 6caae9544ee38e575142be43d017a56d}
x5: {x5, 2c5a83a6f8444e79cc6b310472000a7b}
d5: {d5, 58a5bef283a1b529a7f6b3194254914a}
i: {i, 7806635e4ef66802992128a083ec830d}
p1: {p1, 145911f76c7891131a6a1fcc05acd3f8}
s2: {s2, 440076ea81473acf3147a493e626c3f6}
q: {q, f1c472aeea5beba1269f65d8f513f653}
h1: {h1, eea7d4e405dbdc1fa85be93d56347cc5}
n4: {n4, b2bc9b8d7729fc6d912968ccba31ecf7}
y1: {y1, 5a214b74ac9203103e6c2998ffce9768}
o1: {o1, 94994151969822928bb1bcaedfac15d3}
i5: {i5, e915387b706b2f1f096fef414b5a2b2c}
v5: {v5, 0fbef483eb687838a1b9a0e9536ef854}
a: {a, a481436751dbc80eaeca09f834060c2f}
t1: {t1, a027a694bcca04b17aee1ab989b9d7f5}
androidx/versionedparcelable: {androidx/versionedparcelable, 9d566c8bb72bf85d0f4cf8e4e857ebc9}
o6: {o6, a6ca8790e8aceacbb7d96e042da3c099}
r0: {r0, 7da633ee11589224117fb570918dcb2e}
j4: {j4, 5db847a1b319f4bdafb853375e74122b}
com/elishaazaria/sayboard: {com/elishaazaria/sayboard, 3e3067526a4e9b73d8a3cbf6457e5371}
w1: {w1, 690e95f7f7a0cff0fdd04cecf47babba}
q5: {q5, 21c910fd49cacceb9d1680fa1ea36380}
androidx/recyclerview/widget: {androidx/recyclerview/widget, 54f1e44bc78e8020fb7e885d5ca6e6a2}
x: {x, 915754633557b68e7ae6ee5a3f87780f}
u5: {u5, a128b16401a72757b933ca1d0725dcd4}
k6: {k6, 41df8edc4d1b6ce76b10ea4eaf1b5a54}
m0: {m0, c96ff409cbfb224774a6aea3a80f8bcf}
