androidx/appcompat: {androidx/appcompat, c238e80d549769d7a9b88e114edfb810}
kotlin/experimental: {kotlin/experimental, 182585c3458d700187699e2ae5989a66}
kotlin/internal: {kotlin/internal, c7c56d9ec0473cec062acae123375006}
androidx/activity: {androidx/activity, b155f311b9a96bea842e5dcf0a71b850}
kotlin/sequences: {kotlin/sequences, 3ceffddf0f40e83f1a31d2a0897c96a6}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 416fc851cce054a5445f13b7d7d74f2d}
androidx/preference: {androidx/preference, 07163d30c7a79cc447bc20571645394c}
timber/log: {timber/log, d2b08a0f3a32fdb52361f20ebc07b5e1}
androidx/vectordrawable: {androidx/vectordrawable, a55618606fca88613cece97630606fbe}
com/jakewharton/picasso: {com/jakewharton/picasso, 8fe2c2c0cd2dcf3c52cb384a3fa0659e}
kotlin/math: {kotlin/math, e384cdb4e8962de211bd6520e4c708fb}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, ac67154f1aeb3f0da8744538b0ec8e46}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 38c574f5938a2c0260f34a13d31ed120}
kotlin/random: {kotlin/random, 51d82b1c312e5c4a76c2fb676fa5cffa}
org/greenrobot/eventbus: {org/greenrobot/eventbus, 67049dbc60e0caf40ddb9c923e9a80ca}
kotlin/streams/jdk8: {kotlin/streams/jdk8, 0d29ce83781fe74d3afe2e30d5e05171}
androidx/cardview: {androidx/cardview, 65e56fa14a68c2e89939cb73700cc5d3}
com/dd/plist: {com/dd/plist, 253f4d0397c6a9dd5b6bd896342bb3c6}
org/jetbrains/annotations: {org/jetbrains/annotations, 38fc70182ab7ed26a2759b9ff2325a32}
net/ypresto/timbertreeutils: {net/ypresto/timbertreeutils, 6276eb3d5b562d42cc01ff8eaba1ea53}
com/github/ajalt: {com/github/ajalt, 1f53646778c41062f14359cc0177cc96}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
de/thecode/android: {de/thecode/android, 4356561fd66cc11b756c87e9b7b58764}
androidx/savedstate: {androidx/savedstate, bbfada5c309eff177eef2306bbb78dd1}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, fbe3519fd5262e131b3a3a1f0309739c}
kotlinx/coroutines: {kotlinx/coroutines, 2558c22d9de3176f36e8a1ba766d9ec6}
