androidx/appcompat: {androidx/appcompat, 6112a1a7dfb10061fcb87b4280981432}
androidx/arch/core: {androidx/arch/core, 23e79d65469d82e26353bc325581681a}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, 60894a5c0316acb63f2b7318428e524e}
androidx/core: {androidx/core, 9645c0848de73b1df9fc0ba1483a848d}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
com/scottyab/rootbeer: {com/scottyab/rootbeer, 56a4989597911b9942d159a75e92af56}
androidx/lifecycle: {androidx/lifecycle, df4f442d0c70cab20155b607d1ad02c9}
androidx/fragment: {androidx/fragment, 269d8c4829ebbc7ad7127b1ff154b0d8}
androidx/navigation: {androidx/navigation, 0bcc71a9d5d3dd2f4c0f0ad3ed1e4358}
androidx/loader: {androidx/loader, df455fe6ddf5f37fdf76ace19b1f2535}
androidx/vectordrawable: {androidx/vectordrawable, 1db4a5557a0b9f9cae9a42d2424c478b}
androidx/recyclerview: {androidx/recyclerview, 8ae3e50860f4922e65e35be7573df03e}
com/google/android: {com/google/android, aeb60583b7b9aa2d7f5e9143043e2e83}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
androidx/constraintlayout/core: {androidx/constraintlayout/core, a3c6de987e9bf9f617d9edbbadb19fa2}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 220888082fc54a224fd8c47ed5f2e9cd}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 629fe126eec0d66ee8f14735370c1d65}
androidx/collection: {androidx/collection, cd648389b6965078c352db5968abf416}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 713093c09aef9e7f8351fed22582db05}
androidx/transition: {androidx/transition, f2c05b7517144a567649c63e9b5c2633}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cursoradapter: {androidx/cursoradapter, e4b6904182097e12ad2b34a05994d750}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 83659dab87cd09072fffa464a61f7440}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
org/junit/internal: {[org/junit/internal, org/junit/runner, org/junit/runners, ], ac9c542684f271e7215c00369bbb793e}
androidx/drawerlayout: {androidx/drawerlayout, 9c213b6fc352ec2d3a29cfdff37d718a}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
com/klee/sapio: {com/klee/sapio, a96927a689cb13436f2d113e62616607}
androidx/viewpager: {androidx/viewpager, adc3fb650b54aeafb31d18abe303e7a7}
androidx/exifinterface: {androidx/exifinterface, a4215b811eeb309e2b6712f6f9d0fdba}
com/fasterxml/jackson: {com/fasterxml/jackson, 2117e201c7187be17cd61003aa30d7d0}
androidx/emoji2: {androidx/emoji2, 65077e35c39be93ff8f992ccf0a4602b}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/jakewharton/retrofit2: {com/jakewharton/retrofit2, b092f3bd68a4782e005f553aa8ef4dba}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, ff1b5b4a8152c23d704f959081b0e488}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/viewpager2: {androidx/viewpager2, 51644001a78833ac62d4c0c456629a62}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, c9280984231492853681bfb79d577aea}
androidx/documentfile: {androidx/documentfile, 405e864284a52aa0ff49fac74ee2910d}
androidx/print: {androidx/print, 26f5f8b102a2f3012b8e62df0ea2094e}
com/bumptech/glide: {com/bumptech/glide, 39ccb8b7c55734d564511785011e8cef}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 5a22e064ce7d148c7698901aa9fb545e}
androidx/tracing: {androidx/tracing, ed6010eb165cdc022793e6f7db6b7f30}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 357b62c513c11dbdf15da41446a83347}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/customview: {androidx/customview, debbb7cdbf09e84d96451fc2bfe4737d}
androidx/window: {androidx/window, 6c3be405f9a3545a429cc76b12cfd7c9}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
androidx/test: {androidx/test, e87e08f00b29f85c73caf3ac63c2d9a5}
androidx/dynamicanimation: {androidx/dynamicanimation, c088dee57aaa297b903272698d7ed6ca}
