androidx/appcompat: {androidx/appcompat, 0aab52245e903e003010f27cdd19a9cd}
kotlin/collections: {kotlin/collections, 9291309fd3756a7f78d266087d80caed}
kotlin: {kotlin, 36420d05022f370d088995096e41c460}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
androidx/room: {androidx/room, 7a9dc11eb91956871110a2d886cd16cc}
androidx/activity: {androidx/activity, e52ab929fb70e9d8728b87a51b2064e4}
kotlin/sequences: {kotlin/sequences, 04e952d7c0b1a1567884a432811aee16}
androidx/customview/widget: {androidx/customview/widget, 7fcc91f29f35bd4c69bdd5883561f9e9}
androidx/core: {androidx/core, de6ea20db4c0877050d50fbeb72464ed}
androidx/sqlite/db: {androidx/sqlite/db, 5cb9e64943dff8918ef9cd7296c1ed4f}
androidx/lifecycle: {androidx/lifecycle, 185d2b3ed57b8c179f7327e9c6dd9c66}
androidx/fragment: {androidx/fragment, 115cf82615687eae32d2b4bb2a0d06d4}
timber/log: {timber/log, 6fd315b853c58da6b90a5140d6514bca}
androidx/navigation: {androidx/navigation, fbd3d05c2fdd919afaa2b739e0500004}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
kotlin/reflect: {kotlin/reflect, 30fca3c14c02be01bee2c6c9c0108bda}
kotlin/coroutines: {kotlin/coroutines, 955458fadaa594aa4633240b78ab1708}
kotlin/math: {kotlin/math, 274042609d2ea7ded11a7051aca94d37}
kotlin/text: {kotlin/text, e03ccdc1f8c5638151f4b562c4725dc3}
androidx/viewbinding: {androidx/viewbinding, ef696161f3bee993375ea536f05d4e19}
dagger/hilt: {dagger/hilt, 825062096452849f21bc050dd4dea752}
androidx/versionedparcelable: {androidx/versionedparcelable, 43279262471d777d1068e3b1fbe04d59}
androidx/viewpager/widget: {androidx/viewpager/widget, 820f21ce166ab80601aba34f3d20cc46}
androidx/constraintlayout/core: {androidx/constraintlayout/core, ae53054f3c9bbe57590a1b39bfc5bfbf}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 5d71f04c23d4e30aaa6cb346728ea99b}
androidx/collection: {androidx/collection, 40c8eeb17d9ac24aa9847ce2f78e526e}
androidx/transition: {androidx/transition, dbffecbfb3b4532d0649cc26ef788bff}
kotlin/random: {kotlin/random, 03717ec8c047d8fda0ecd169b9f2bb88}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
kotlin/internal: {kotlin/internal, 52e2759a6bc97fa2e114cdb7d7ce2fc4}
dagger/internal: {dagger/internal, 90ebeb9d3090ee0c93f88ec7cde78f22}
androidx/cardview: {androidx/cardview, 018647c38b6e9578fb4274a4989252b4}
kotlinx/coroutines: {kotlinx/coroutines, 3cd22876e31243e540f8e0a917b59ac6}
com/google/android: {com/google/android, 28dccb4221a02ab208dd2bfee3e72205}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, a88f51811a8bbaf380cb2716266239fd}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, d2030e99c5f94e57dcaafcaea152dcab}
androidx/arch/core: {androidx/arch/core, 44978b7b63bb95b0bf29b5b4b29e318f}
androidx/emoji2/text: {androidx/emoji2/text, b2560d9aa9de9d11e8fecf821d71dfb1}
kotlin/properties: {kotlin/properties, 2f98f4fd60829d2567feda6a980af495}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, b73ce0c38c64eefa6fb7524013a35f14}
androidx/viewpager2: {androidx/viewpager2, 7f23e486d9917b2496e2e22306fc9c8b}
androidx/savedstate: {androidx/savedstate, 9871d3a987fa455655fed80a5784b820}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 42fa72cd5ed4951c461de5c7b47ae656}
androidx/emoji2/bundled: {androidx/emoji2/bundled, 1be23e65c9da71a424503b3ed1e1a1c4}
com/example/util: {com/example/util, 240a8392d8ae12f11a51213adf547cfd}
kotlin/ranges: {kotlin/ranges, 18e5f9d138b92cffa1ca6bfff0d6fb9b}
androidx/tracing: {androidx/tracing, 374de4f681a359c89397f5040835f60a}
androidx/startup: {androidx/startup, 3e65518dc1783a5b4e0396a0c8ec0298}
kotlin/comparisons: {kotlin/comparisons, a91c5093a48f81b02675d62726c63b44}
androidx/recyclerview: {androidx/recyclerview, 4bbc8acc31d958491d6f6c8a720f45f5}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
kotlin/jvm: {kotlin/jvm, b221780140ea30a0e5f3119d74ec9ebb}
androidx/loader/app: {androidx/loader/app, 6d417a5638bff7d0b195e62721b74cf4}
