a6: {a6, 61cdf6829fb05947b7df0578de8028ca}
p2: {p2, fefea06a6a816e9d4edad2f0e267f2ab}
t0: {t0, 86db3cc292eec404b4eb02ee57fe087d}
j: {j, fe931b3aab5b679fef1381b10007a50d}
c1: {c1, 2631c16cbf50af5e6733fca902a2ea38}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
q4: {q4, 323d85ffb260660a64f36fd5fece8dac}
androidx/activity: {androidx/activity, 85f0c8a90ae0839666c2478447d7eca1}
b1: {b1, acb8e237a246d9c736148571baff9394}
de/micmun/android: {de/micmun/android, 82e548d56059f37842a7c8529c5fc883}
l1: {l1, 40a71792308be319449336b8f70ca817}
androidx/preference: {androidx/preference, 330026a249e96a947d0338fc736b1e8f}
i4: {i4, 1c88db25304ebd56bfd38413cc84930c}
androidx/core/widget: {androidx/core/widget, e863c985bc59352a76cf40ff1e5d30dd}
o0: {o0, cef9181d3cf510f060f5b31b5872cd96}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, e69a73c140ae3b984969c4b62d34a3a7}
b5: {b5, 5af47e8af3e9337cf06460de8aadf305}
kotlin/jvm: {kotlin/jvm, 34df67ca7f4aebcfb2c8143e0372ccd5}
com/google/android: {com/google/android, 6908bb314f99da9fc4155746f2a10b05}
z1: {z1, aaa56e373bec61204067337e9fc5af81}
androidx/constraintlayout/core: {androidx/constraintlayout/core, cb8ccc87d27563a03655a30e30df0dd9}
t2: {t2, 912d438c5a384f5df8e6a218bffec512}
w0: {w0, ac5bc76ac8ce4f636558d4e098300681}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, b3e3be013b3a9625b795d91f0f34a144}
r1: {r1, 399f8b8cfce5e791167f0ac873b67631}
e6: {e6, 65b5d2292e4f084531715e5d0a20a32a}
kotlin/random: {kotlin/random, aefc032c94d336cf2893ba91f6843a93}
j5: {j5, a7b9c0f09ee925dd5a6e6a9123cd31a0}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
d0: {d0, 934b3eb86444151a72293df79e99e40e}
f4: {f4, 5272b90fd48e581cf3976c79107d5bcb}
b: {b, 5c8ae1c5432c295b3f82668e563f9a90}
k1: {k1, a994e9954243a5bb871e9ef899905318}
k: {k, 426a2bc23c751d4aa63f2384d9fae67d}
g1: {g1, 6daaf605d7e3184f1847f3172c932290}
c0: {c0, f76d47ba7e9f7fc424785e31ea7215fc}
a5: {a5, ac7c6a5d177029bc190866eb5e90e0cf}
p3: {p3, b84147368ae5e48e68a87bc6506c6f15}
e5: {e5, fb4922a59adc8111f09aa06cf31c806f}
b2: {b2, 87376f33218237b25942123481cd2a5d}
kotlin/sequences: {kotlin/sequences, 64ef773c641dc97f202a84c5971ce362}
q3: {q3, 34891bcf959508ad9f1ba72cc1b05668}
d6: {d6, 20dc13d07fdcdfaeea6d5c7cf64a7706}
l2: {l2, 9a1a9318fb377c3a460f60793907a09a}
i3: {i3, e68980bf9ea95acbd043be2c7663e12f}
androidx/core/graphics: {androidx/core/graphics, 7693050c16b14300f55d27b8ef18e3ac}
o3: {o3, 1270dd2a8f035fe30ab2ca4a8256c97c}
m5: {m5, 99bc1326bc2722e74f394811d7d87c3e}
t3: {t3, ee6607d1b3f973b8db90e3c32874e8f5}
j2: {j2, d1b14e5428773b7c3f87c3d1d42b61b9}
v3: {v3, d46ce86de949430957916e5990b68e8b}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 0f9cecbd3ca2a786cdcbca1a77c6b9a7}
androidx/datastore/preferences: {androidx/datastore/preferences, 9db02330050e40ac1cab4b0f6803b849}
h2: {h2, 038f082c745e996fc55c3f9c632c87eb}
kotlinx/coroutines: {kotlinx/coroutines, 504f47004d882a45151899c8f1a8990a}
r: {r, ed45b4ec970d88c6f1341c5d5bb1cc3f}
androidx/documentfile/provider: {androidx/documentfile/provider, e1a8560e257dce1c134fca421d797f1e}
f5: {f5, 6b83c0cb10ec78c878401fee93089c8a}
androidx/appcompat/view: {androidx/appcompat/view, ebeeb9f0a3cb69d50e3b48d745a63f35}
w3: {w3, e40c745a9749a2fc95f67af34d745a8a}
z: {z, 706bfa71c86c8a1470e9565f27a0ca55}
s4: {s4, 6cf069dba3b7e39bd375cbb7cb498eae}
c: {c, c86ae366ce616eb9420b8298d5fb9cae}
k0: {k0, 4788dd4c1ba8bb329d3fde894c5b15c3}
androidx/databinding: {androidx/databinding, 3384fb59c63d33e0cf23080a8ba511c1}
g0: {g0, 477749798f8111a4a952518c56dd36a3}
x0: {x0, 0cd288f8c2099ac75c05317c8c9d7039}
b3: {b3, 8f4b9d5020259eb6262f3c7e1369334f}
androidx/room: {androidx/room, 5e62e7220b3ef3a0b2426e155a8e108b}
w2: {w2, cb25a1db89b11083c7c9531d9fecfba7}
q2: {q2, 92beb934ad9c174398711d69f4b44fa3}
e4: {e4, f048a52b3fb22ac67bec75e83629cb39}
o2: {o2, 960d4db6846f3fadac9d76218d4fa1c5}
m3: {m3, 8564a8f9c7e3e1f9785b2002ca93671c}
i2: {i2, ab9c23c1bf572cc22010c193a8d4a6f4}
androidx/lifecycle: {androidx/lifecycle, 1c035b91c3068b513720c177710d21a2}
c3: {c3, 6ddac8b8352c7440195e9ce117ec8647}
a4: {a4, 618b14ac54e868526ae41ca662bb702a}
h4: {h4, b6fb16b6d7c3c5bf3d40ed21ba932a30}
t: {t, 57f54b7a53803cd1292f8c12d06431ea}
g2: {g2, f55d74df2bd699c0595107fc02c086e4}
androidx/media: {androidx/media, ec4dd38f95361213ed08ea881fd02686}
j3: {j3, 7359f01f9f39d066b99ec4826605536c}
kotlin/text: {kotlin/text, 1231b97a115449e4de1052e74fcf0b55}
android/graphics: {android/graphics, e079f4fb8febf5b63effbb6583d13a90}
m4: {m4, e456c176acdff061ace8ba202b2ee78b}
t4: {t4, d58fcd857d7d55c4f232159ce2730c30}
u2: {u2, 3b127db81104c527c538d5eebf30f675}
s: {s, 0bb8e43535caf6a8401cddc67a731977}
d: {d, 0b58ef15950c9701a661b6ae92552259}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
h3: {h3, 84277aac503fa2f3ae9ce92047db6629}
n2: {n2, 96004680566b9035140bc8378e0d82bb}
kotlinx/serialization: {kotlinx/serialization, ebfa4622075843a73272489508026b4c}
k3: {k3, 057d089eb41c052403180f018eb660b5}
p4: {p4, 4e436ee0c29d80bd5913cf9ed4a46bf4}
l: {l, 878260ddd56d9ba1208a14e35092f8e9}
y0: {y0, b38608aaa92a08366a1571372e2c2f5f}
f2: {f2, dfe970645e9d458088a693237a468392}
v0: {v0, cd5c031648718a14d8c7cca00f63139b}
d2: {d2, 7bbcd194663b8eddaab6d262a2935245}
q1: {q1, 4cc4fa4c919cba5e9184ae92a7c2829f}
g3: {g3, 5f99bdb1ba4e4af0eae92637e1575de0}
r4: {r4, 2e9a55f91a273b5eae5fbe6cbb54abf3}
b0: {b0, 84bcf03365ece2e994de06cdb0d66727}
