androidx/appcompat: {androidx/appcompat, 71e6ce1b8566135740e7466c53c9a74b}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
me/drakeet/support: {me/drakeet/support, 8f144726f6342507d0b3e8947cfc526c}
kotlin/internal: {kotlin/internal, 2e42d355d810b3cbdeca0e0839e49a71}
net/iharder: {net/iharder, 07a6766c1e796b55895f06154aeb84c9}
kotlin/sequences: {kotlin/sequences, a58fa65a6a83ddb794fe11223704b029}
com/leinardi/android: {com/leinardi/android, 8d82814b4c8e82112a83aeeabf762c5a}
org/cweb: {org/cweb, 75cdfb2e8c072a5e40fcebda1f783d66}
com/google/android: {com/google/android, 61b527990f8a278f0dc0426689ea80b7}
org/jxmpp: {org/jxmpp, 189c829c52236f3e5bb1801c42cb6651}
de/measite/minidns: {de/measite/minidns, 3cdfd66c37dab00d52925fd1e4563d72}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 00e5645c39b2eac0e5f034808fdbd6e5}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 149750d9d8d9998cdfeb455df7a44a78}
kotlin/random: {kotlin/random, c099bbdede865a2d6cb1854ec14706e3}
androidx/cardview: {androidx/cardview, 9b6aca3a33598738e5e0c7ca4743d0bf}
androidx/activity: {androidx/activity, e549e002aea9e2d4d278ecc9e11b2e03}
org/bouncycastle/util: {org/bouncycastle/util, 954549325a64969a3b371c4701ff3f23}
com/google/common: {com/google/common, 73b3347e53af3e4faae2d45a3645b005}
androidx/savedstate: {androidx/savedstate, 37c13d5fadf4cee71076a7c63f7a752d}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 520df552564ff5a03b705e5834509f38}
me/leolin/shortcutbadger: {me/leolin/shortcutbadger, 6cdd50898c99bedcd4a6deeaf18632d2}
kotlinx/coroutines: {kotlinx/coroutines, 1eda01a1d6eca7a36e841cb69b2e15bc}
androidx/startup: {androidx/startup, 45e16f8e2bbd8b4b308a07227dbc588f}
androidx/databinding: {androidx/databinding, f10e1a4cb6e9896c927936c820e64ba4}
androidx/loader/app: {androidx/loader/app, 88db4f356622a85023515694938dfcc8}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
eu/siacs/conversations: {eu/siacs/conversations, 4406c4bc1541248183cc5d31779050c5}
okhttp3/internal: {okhttp3/internal, c3cb253e04e3d46e98855dd4b58ad8c6}
androidx/lifecycle: {androidx/lifecycle, 6b2bcd95f464578ccf8278afc699e685}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, a9d1c0517fe38fbf1674a83fc8df801d}
kotlin/reflect: {kotlin/reflect, acf7ef943fdeb3cbfed8dd0d8f584731}
com/wefika/flowlayout: {com/wefika/flowlayout, 7cf070d76a27b9e09affe58de4bdf046}
kotlin/text: {kotlin/text, 45058f803278cf403331bbc58d303c5e}
org/openintents/openpgp: {org/openintents/openpgp, 85397c2b6b9910ebe0dd884c69ef291d}
androidx/exifinterface/media: {androidx/exifinterface/media, 3a37b3948c8be0a64d5a1086a3fd68a6}
androidx/versionedparcelable: {androidx/versionedparcelable, 3a7014102653b0ff72ba4bbab1db28b7}
okhttp3: {okhttp3, 9be0db6d4beea43d64774de1f31654d5}
androidx/core: {androidx/core, ee015661d0586d5479d63e1f83b9f877}
org/bouncycastle/jce: {[org/bouncycastle/asn1, org/bouncycastle/jce, ], 027207864332e292a6b9489204d0f728}
