androidx/appcompat: {androidx/appcompat, 148d9e2b175fda474a7f259a4b1db630}
com/larswerkman/holocolorpicker: {com/larswerkman/holocolorpicker, a6a7e40b0725032410c79ef6dcad3204}
kotlin/internal: {kotlin/internal, 2e42d355d810b3cbdeca0e0839e49a71}
androidx/activity: {androidx/activity, ce9f1e3a76bdbeced2ea31862e84d7bd}
kotlin/sequences: {kotlin/sequences, 7b612b2e64865457dedef8b33199248c}
rx/android/plugins: {rx/android/plugins, 6838527d697b7c72a09b06603a56402e}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 0ffc6e338d27d94ba454f93dc0d317f4}
androidx/preference: {androidx/preference, a5bacac58841f637b4c5dd3be44b7e32}
it/gmariotti/changelibs: {it/gmariotti/changelibs, 9b4f4627d1950429865bdc0ec93a5230}
de/greenrobot/event: {de/greenrobot/event, 2721d2c4d608495159885c6eb3508e88}
com/buildware/widget: {com/buildware/widget, 4254cb3064f85cef9f22799ab50d540f}
com/google/android: {com/google/android, 107c5ba03d9f70fced6ee77fd2844f85}
exceptions: {exceptions, 617baf55f3b5c68fcaf69aad85243eb0}
androidx/transition: {androidx/transition, 1db75701af8fabad4cec80b4f230c87c}
kotlin/random: {kotlin/random, 731d21580e726df67a073975a2ebab51}
androidx/cardview: {androidx/cardview, 1fdd99af286ad762a362b304b089f4a1}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 5cdec0ce3cf5e934f388f490ff3058cb}
com/pnikosis/materialishprogress: {com/pnikosis/materialishprogress, 2763d0c41449ac554bcba09b512e6b6c}
com/github/paolorotolo: {com/github/paolorotolo, c01b8af50638858f1f99872110962820}
rx/exceptions: {rx/exceptions, 4314443b5c39d606bfdc9f426f076e96}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, 041a479251ef8a55c25cc79d59262ce6}
com/google/common: {com/google/common, 222f1cb6756e96f9bd2aa0dde7bcb8aa}
org/androidannotations/api: {org/androidannotations/api, 63377ef851bf527c062017acaf5bf7a3}
androidx/savedstate: {androidx/savedstate, 4b4d2bc52fb205e0f4d1c9b27622be75}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 75c7273ca9c851c2ac37b64b2e5b5ef2}
com/neopixl/pixlui: {com/neopixl/pixlui, 192711f520963d54de143d9834105d74}
kotlinx/coroutines: {kotlinx/coroutines, 6a1e88f495fc133732c8a920cc4afc17}
androidx/startup: {androidx/startup, 45e16f8e2bbd8b4b308a07227dbc588f}
org/acra: {org/acra, e016002cb211e0532dbc7aae0cb3050d}
rx/internal/util: {rx/internal/util, d701b5e77094eb6dcaf9f248157febc1}
androidx/loader/app: {androidx/loader/app, 5cc57c2cdeba438db8d8fddceb2f0613}
rx/functions: {rx/functions, 24a93f226e06be3c82d278cd4acc344d}
rx/subjects: {rx/subjects, 5100bc6a357d719b9d15adb23d9443b9}
com/android/export: {com/android/export, d093f3325b115a8e86fe7e7c550024aa}
com/pushbullet/android: {com/pushbullet/android, ff6a60f606e72395b70bc1f87b66e774}
androidx/lifecycle: {androidx/lifecycle, 863be545ed650ff3dc3ea83215ef2ba1}
kotlin/enums: {kotlin/enums, b5c89597915f3184a7ba252c6c5cc4e8}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
kotlin/reflect: {kotlin/reflect, 30fca3c14c02be01bee2c6c9c0108bda}
me/zhanghai/android: {me/zhanghai/android, 74e9a077d08e7cd68190a4c2cb3288b4}
kotlin/text: {kotlin/text, fd8c423c27e29c9db927ed44a0f23418}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
androidx/versionedparcelable: {androidx/versionedparcelable, 3a7014102653b0ff72ba4bbab1db28b7}
androidx/core: {androidx/core, 8faf100befcc1c263c745376caa5fb30}
androidx/collection: {androidx/collection, f0793d515919e661916097029b47cb18}
rx/observers: {rx/observers, d66ff58217e31a70f65abefb43101dab}
io/nlopez/smartlocation: {io/nlopez/smartlocation, 92e489f4bdf42d414bdc432c20bdd50e}
androidx/multidex: {androidx/multidex, e7a417dc83753f946df4d7bbab82d791}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
org/slf4j: {org/slf4j, 908d7707f6b7be45f2a690f080c31a80}
androidx/media: {androidx/media, a50284dd743d730095a37c0fb3d02ad7}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 6368144f39ee5c69158f5da3db37dfbb}
androidx/viewpager/widget: {androidx/viewpager/widget, 62cee42ffcc537776c61b47380d5db43}
com/pixplicity/easyprefs: {com/pixplicity/easyprefs, 6374ac42e40814df8d14ea1372a7145f}
rx/internal/producers: {rx/internal/producers, 2b3322eb243290c068fa4572a610c7d1}
androidx/viewpager2: {androidx/viewpager2, 6d6534f346930acf8128723e6dcfb435}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
rx/plugins: {rx/plugins, 501d27c34fca6ab05525889f4d220d97}
org/apache/commons: {org/apache/commons, 76fd157d1546419eda7c3b25305e72fc}
it/feio/android: {it/feio/android, 30d4aa17dd6e0c18258d4c8be5d3d75d}
rx/internal/subscriptions: {rx/internal/subscriptions, 102f3906143d3ee79a7473cdb3a7bf3d}
androidx/recyclerview: {androidx/recyclerview, 40cde95377921bfeac77eb99421be421}
kotlin/comparisons: {kotlin/comparisons, 6839ce50b25edcf0eb43344c1137f45c}
androidx/slidingpanelayout/widget: {androidx/slidingpanelayout/widget, 21b3a542613264412c06173c659623bc}
com/sun/mail: {com/sun/mail, 34bd9dc883a0f6ab33bab2e1152cf67d}
kotlin/jvm: {kotlin/jvm, f941c55dec8a73b046a7c572d1542abf}
kotlin/collections: {kotlin/collections, a6b5a634c0ea9e3ff358359fe224bdf8}
rx/internal/operators: {rx/internal/operators, 0e2adbfa49fe8a8c5daf75b60d3d4a48}
rx: {rx, a0c9fa9ea6d7ea60e0ee50d2b8ba5aec}
kotlin/io: {kotlin/io, 0e590eb35d8449fd4aa46f8a913d65db}
com/tbruyelle/rxpermissions: {com/tbruyelle/rxpermissions, ed5f930cf9df8d7c30281949a5c4ebb0}
de/keyboardsurfer/android: {de/keyboardsurfer/android, 398660cd75493627a22c9cebc973f7d8}
