a6: {a6, db1968cc090c15848348bc3625d457e9}
p2: {p2, a6ea537a58d1cc0b357d3b62d214ae77}
t0: {t0, 87b49bb0f12d0ea0083fb3eeacd4f465}
j: {j, c2b68f66c8b9ea2dcccff0a2aa460e7f}
c1: {c1, 9b49598109185c95a51bbca4820127a6}
q4: {q4, a3f8a3336781fa47e69470cf25a6b751}
androidx/activity: {androidx/activity, 052bd4eec778e84f95864a1bad952599}
l1: {l1, 6260c41a4a26ddf12572bbd2772858f6}
i4: {i4, 3f7e70b60e30e00ee8d68b640f31858b}
g6: {g6, 83c1c74f163401f5718cb537068049de}
o0: {o0, 682aba49cd90032b2e604c1e54fe6277}
b5: {b5, cc57a2706afb40e05afc3807c3e80884}
v2: {v2, 74f14c733a67eee2212ebde80297c1bc}
z1: {z1, 79c5746f94edfff8187c265751de08b0}
m6: {m6, 3a0853cba45fa7a7ffb25370a82eb2f2}
t2: {t2, 2132a7d031ee34b56862c55011833f1c}
w0: {w0, 9a151c1f1db933ca3576609047686cff}
r1: {r1, 16500222ce2406e5ba368732826a3c56}
e6: {e6, f484badb4534144449710eb86da79e23}
j5: {j5, 878186112948e2f858e759c5a42262c1}
coil/request: {coil/request, 3d206496b1bc6905a5214319a5df7369}
d0: {d0, e7d12002182a5dbf8bc9d908299b1a0e}
f4: {f4, 00b600b1167a8177e03afbb066c4290e}
b: {b, 2a287190b8e2c21a2686bffc7b8942ba}
k1: {k1, cc25a6c21efee715e01f814edacc3c87}
k: {k, 5ac0f7534362a3aecddf7a30c6646391}
g1: {g1, 87f824cab20d3a8d3405bd1361a0366a}
c0: {c0, f247020127dbd80ecca8e87e644a5b81}
a5: {a5, a6ab2c1a78b418f4bf21c3e31ceef992}
p3: {p3, b9db9bd2eda028bbc80739597f3d2a41}
e5: {e5, 0d3f6b211137dca2e074ee061f3c8ede}
b2: {b2, a7195e5bd36ec5b59f88a6292c0c4fc9}
q3: {q3, 9f2918b8396e9361c8fbda2a32c9917e}
d6: {d6, 3247c7440eaf439a5acce0e169384f42}
l2: {l2, 252c8d35973954cf3c3e470b825cabb2}
i3: {i3, c89ed8f9d35cf6a540db611438483105}
androidx/core/graphics: {androidx/core/graphics, 1b2f6bbbfcc8c623ff8ba93fd76d997f}
o3: {o3, 0f2c613c75c98ecea3332163ecc16810}
androidx/savedstate: {androidx/savedstate, f65732c62399b4fa44b65d64eef355eb}
m5: {m5, acf7ef943fdeb3cbfed8dd0d8f584731}
t3: {t3, a01d83763d0c7afdc9459f154b6f7de0}
j2: {j2, 89cf2cfac0b262ff96c6b1fd24d4c721}
v3: {v3, 05ee96a2171da2131b02e1c4cde5d1b3}
h2: {h2, 16bcfaf09b114edcfa98e7c1cf828078}
n5: {n5, ab0312eb18ab6041284a1fd2adbde623}
u3: {u3, 78c86035eca786c7937939780036bb05}
r: {r, aadff71bc6f06000493a939cdeb18971}
f5: {f5, 40b355d1a8a50b1a2eb6e130b393cb2e}
w3: {w3, 583fa4c65d1f627738ad2067710e3ca7}
z: {z, ee8d183791df87698c0caed41961f7ff}
androidx/compose/ui: {androidx/compose/ui, 997772bb8d47762573fe644c96080ff8}
d1: {d1, 512765e1e805f5730259959b22d4d3a8}
c: {c, 8fea60feb8ef4ab723250befc343c18f}
k0: {k0, 1893f6a9028a4690a84b36e5fe02ac57}
g0: {g0, 4fee4ce54471f47b298f9830b2bdb9e4}
x0: {x0, 8f4b8a5a36da31ec6250b482efe363b4}
b3: {b3, 31c6124db358e4ea8a845de08fcd3248}
androidx/room: {androidx/room, 0dacd8d449ada4c37aa7ed553e3356ff}
w2: {w2, 406c014e006232b46182bc04677586b7}
q2: {q2, 6e3274b496c8ce99b03357acd58049d6}
e4: {e4, 5563d75e7e0c98d3bb24965e35a42983}
o2: {o2, 5a1074b403924f5f922222d827b77a61}
m3: {m3, 2003c21874b524e43f644a9d2a6bb28c}
i2: {i2, 7b5051b42897521d5b0d89155c37a668}
androidx/lifecycle: {androidx/lifecycle, 223e63afea4a87140c3fb2b870b35250}
c3: {c3, a8e9b891c5528e79b5401d3fa24e22df}
a4: {a4, 204d2e0ac3aa5b54f9776ea9d8eae51c}
h4: {h4, 7cc421c00cdd3f0543ed42d338d740ff}
t: {t, 31c0bdef324563fd4ceabd4455f621d8}
g2: {g2, 7068a2d945f7ad8f93ae6585044b857d}
j3: {j3, f77f70aa473489d5f5246f0253d61d53}
m4: {m4, 121a1f02b057a27dd8457486e862fe00}
t4: {t4, 0a5938f372b6957a9effd159b1c67002}
u2: {u2, 63b5749011196667572934def68297da}
s: {s, da9564a77d589d0059007d1a3034d9ec}
d: {d, 47a8d487f5260969186e423017fd80d2}
androidx/startup: {androidx/startup, 775f9a78c2ce88ce8f1a6aa47274f9f9}
h3: {h3, d96abd0749a7a238055e432aa50a73ef}
n2: {n2, eac0ee071f2d8d2d87578f547a141d84}
k3: {k3, 1ac4cdb253c97b144fba8dad24c59bc4}
p4: {p4, 869f2c81005ba61831a7349d688eee9a}
l: {l, e2f4b951eb5c966f9ae75578e4ca9983}
y0: {y0, 30f0e5856f871bcb7ea48fadaceacd91}
com/codelv/inventory: {com/codelv/inventory, 5d0bb30ca41641a1487b8d992d7267eb}
f2: {f2, c25d04e32db69dbe1ef2d2c7ee2ce221}
v0: {v0, fcb87a98a91ec43d8d252bd34c32d8ab}
d2: {d2, 5180522784c5ba06228b7962242e25ff}
q1: {q1, eafc40dbbe68de827d2fd4586fad6123}
x1: {x1, 8b0ec8c2b3984e788c952e496bbab7f6}
g3: {g3, 4e676034e3e1a8f15e64e6b23245e880}
r4: {r4, 229d7e6889bcc33db50dbb7e38cc2af9}
b0: {b0, 11db6dffd347190953ae416a7707472a}
y5: {y5, 43ceb3eab4375980bb87a3bd05bb400e}
m2: {m2, f5bb1a79a5551856f39db1574ea73c44}
s4: {s4, 3e4a6f2824c560e1d4f7ca516d2231af}
o5: {o5, dfb504d14847ff529a76cd9561a427b4}
androidx/emoji2/text: {androidx/emoji2/text, ac2e4777a62d42be4a720e34dc30f630}
w5: {w5, 0530dee6597bc4981c151d523fc6d10a}
c2: {c2, ed5f938f0731c15d91d21f2350cfc8db}
a3: {a3, 8bec6ae953bec334577d88e143299fc3}
z4: {z4, 6fc2233437640b0ccba431a9b75c6a84}
t5: {t5, ab702020571dc47a88de95f00f51a912}
j0: {j0, 38d3a8e237fa0982180cc60c6de1da29}
l3: {l3, c5f5c50c73066042f543f0e4b92f15b8}
n3: {n3, 5c5aa69212a5b0164780504870676d7b}
u1: {u1, 9d5c966283af8e91187cb1c843a236fd}
e: {e, 5a071caf1945f9119d29fd54b21a5353}
p5: {p5, 6dc73559086ba27d9f6d290f00665bd2}
d3: {d3, 47090892b35af7fb1f07b9876717cb15}
l0: {l0, 910d75f5a574f433c25b1d6a74d7116d}
f3: {f3, 4e1922aede59b16851ecf80c3dce6032}
com/google/accompanist: {com/google/accompanist, b95d5812dc891558017c8e09664f7430}
k2: {k2, 432b20b2ed2385a28a7015cdb44e7d35}
m: {m, 47e7045b49d024c317469980f4241136}
e3: {e3, e5b63569525829c067ff52d0c832d335}
v1: {v1, a75f28ef0684c1bf5254b42010d31e1f}
kotlinx/coroutines/sync: {kotlinx/coroutines/sync, b928240e07ce8f32100c2fc4bf837173}
y4: {y4, 8ca6d2878e804737d4bd8cb7f9a6a567}
q0: {q0, d2bea762bf635bc18e982e4fe9c44d72}
f0: {f0, 6fc2edd6b027d70d755191226abb3750}
c5: {c5, a7e1c6f2007e2387025668882246fdfd}
w4: {w4, 1125d4693d8b90cc65b1b4980f84e2b4}
androidx/profileinstaller: {androidx/profileinstaller, 450c7de57bfa6e53242469a276e900ef}
r5: {r5, 9c2c68f96b06e6dd3fd1382f9f02ac6b}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, f53360d69a793910c79adb818b04d81e}
androidx/compose/material3: {androidx/compose/material3, 0807fe0bbd84a6971020e9535f40c477}
m1: {m1, 0fb376ecb2884230d6dd03222546f309}
b4: {b4, ec3b0a10684a2be169a1f46edc715286}
x2: {x2, 2f8752161080163047462a24de600ee4}
v: {v, b5ebc4ac51781453ad57daad6c586f7d}
a2: {a2, cfecf17902f30d6bf7f388e9a952ebcf}
h6: {h6, df5a734b460ab72baab77286b7a9ccd4}
androidx/core/app: {androidx/core/app, 42afaf6c8115ae078d1f7ceb290514be}
n0: {n0, 008f7c28ca79c47c5b2e394d6caf836a}
u0: {u0, 636e66741aa0ef6cbc6468564de8688c}
k5: {k5, d52206726ec63ebc292d6eaf2d490911}
z5: {z5, bfcc170dabdff0d9138424af34ef9c1d}
i1: {i1, 481ba6f140e0d2fe717a934d64d7dcca}
f: {f, 1a43a5dcf09e600985ac0b3bafa8196c}
l4: {l4, 572eb0ee53e519d40708d9b6ae3590b9}
n: {n, d5bcbd556816f190e5f2cee3dd9b273a}
s1: {s1, 94d7b96fe08f8edbfde74b7ea335df9a}
e2: {e2, d2d6997e54d808050bb8f984230468d1}
j1: {j1, 9b5b70e7928a3c16a1c3eabf19b301c9}
u: {u, ba546196df5bb67652f24f2a1782ac44}
kotlinx/coroutines/flow: {kotlinx/coroutines/flow, 716517dff990adb407af9a66e044ac2b}
y3: {y3, de3155d588da558d2412abb18719bce7}
c4: {c4, ca07a3b28af20015da49093029e4caa9}
d4: {d4, 33b7b214ca1de2fe8a268a73245f6f6f}
o: {o, d9306eac12f5c3385d413e26d58cc360}
f1: {f1, a5ad1d194f874c308e54af55c8aa101a}
z3: {z3, 634da439ee963b1df7d4ddea4d1804b6}
a1: {a1, c3b6feb8c9edca3a85fb2f77f0bfc127}
w: {w, 8263f4b6b5e92a077fab9af207bdf5a5}
coil/target: {coil/target, 7965318539f188dd7b1cb72d0f4d24fa}
x3: {x3, 2db810aec6fcced65e62eb72cf749aea}
g5: {g5, 3eb86e4fca82756c482503a00cd1c980}
k4: {k4, dc23e1f3e80ed93ffdabd4ce7ee891de}
y: {y, bab990ec42f91f8c74cf5c6dc8ebac80}
g: {g, f090a91dcd105e662682b5841dbe9223}
n1: {n1, ce141b1a290658c77efd217c600101d9}
l5: {l5, 6e5d4e046e5be23e65b33dbf65b254cb}
i0: {i0, bc9cd81f2e84554f6ffa42eef49eb9ed}
s0: {s0, 84ded422a0afd9ade8e24aada50358e3}
u4: {u4, e2681d89ab02f49c88c0ba0cc444846f}
r2: {r2, 19750daf11cf05cb3387a27896b06d96}
e1: {e1, 42b10f3e9f8eabb4bfb8aabebb3b381e}
j6: {j6, 61d81b4d1f073c83f34e42de755e5038}
y2: {y2, 0f6a96e7573746cd02503f21fadf454a}
okhttp3/internal/publicsuffix: {okhttp3/internal/publicsuffix, d99262b8686a273a21f3a3dbe3cb386d}
h: {h, b3db10f4b65a06863a56b2e8a735c502}
s3: {s3, f846832a8d40218df357a2960172d867}
x4: {x4, 85ec3311a7d99eb8296022c9bacdf018}
p0: {p0, 7e42d048d67ffeed19b2f3a3b297d628}
p: {p, 75436c054ad5ecef319aeb93b59a0868}
z0: {z0, b39c90350bb170568521965c72eeb3a2}
a0: {a0, 263b12eb5cf034567fc844dad06b0353}
h0: {h0, 2e9eb6ad85485103c967f23ca20399aa}
i6: {i6, 1935f02108c174ecbbe8de1b75fa4a5d}
s5: {s5, 47fc537aca82fe4abf88a9e7ba26e5da}
m0: {m0, 055aed7f755640637112cf0cb7b3d61a}
b6: {b6, 76714e1251852fed822c1881339552d4}
v4: {v4, a56fe7db080259d33eb8d8f749b26fd4}
e0: {e0, a7536a41d6b2be5271d570c69f6a2aec}
