com/daprlabs/aaron: {com/daprlabs/aaron, 1d2ab13d9c855ad3650308c730ecb314}
retrofit2/http: {retrofit2/http, 987d4ae0f1c9f0210bcb1a5302104828}
com/annimon/stream: {com/annimon/stream, cf7ba2d01c70910d49b2430aba5ebba2}
com/android/debug: {com/android/debug, 7bed0d8bf60b8a6374f8e2e20240f7e9}
butterknife: {butterknife, f9e10ad9f327b26b799c7d41e931416b}
io/fabric/sdk: {io/fabric/sdk, 214297512b8f1c7a09dc1745baa636cf}
com/google/auto: {com/google/auto, d74080ec2537e8022d0441ebaecf1a74}
autovalue/shaded/com: {autovalue/shaded/com, 8f848be9c74380e60136dbbb24b721be}
android/support/fragment: {android/support/fragment, 542dd9699021b2a489ba6c7d8f6e4a23}
timber/log: {timber/log, 931aad1fff41168832e99727fa87d254}
android/support/annotation: {android/support/annotation, a7700a1f1325ab816fd3642a22787c6f}
com/lb/auto_fit_textview: {com/lb/auto_fit_textview, b3db6c55a8f17208f4b9e8a0b4be8513}
android/support/coreui: {android/support/coreui, 542dd9699021b2a489ba6c7d8f6e4a23}
com/yqritc/recyclerviewflexibledivider: {com/yqritc/recyclerviewflexibledivider, c0c4223482a801969753f6113ca8202d}
dagger/multibindings: {dagger/multibindings, 99bc1326bc2722e74f394811d7d87c3e}
okhttp3: {okhttp3, ad9ce58a4fb076f9c11a03f5f28c1e1d}
com/pnikosis/materialishprogress: {com/pnikosis/materialishprogress, 249959894536ec30947e515c30374633}
com/facebook/stetho: {com/facebook/stetho, b1d12c22c703f123546d937facb79e27}
android/support/transition: {android/support/transition, fd1b847fb58bb5e2d34b9fb1394de699}
retrofit2/mock: {retrofit2/mock, 28933d80611221e2dcbe9b05ae665f8a}
dagger/internal: {dagger/internal, 0c3116bbcdca13a4ab1103490ccbe720}
javax/annotation: {javax/annotation, 6145b819b73c67de9f0fcca46d1967e3}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, 8f5fc151934b0889fbb4d7ddfd1dc6d9}
dagger: {dagger, 630e814430958f812718514c90f66dd8}
android/support/v7: {android/support/v7, 3ebc8deed4c28414eb6642af0dd831e5}
android/support/compat: {android/support/compat, 542dd9699021b2a489ba6c7d8f6e4a23}
org/slf4j: {org/slf4j, d2701b5d2f6d4734a416b6360b57830f}
butterknife/internal: {butterknife/internal, fca6de7dd86c0b0b223af346760fa32f}
okio: {okio, 4004cd8b4d23454c52d3569a6847f366}
com/makeramen/roundedimageview: {com/makeramen/roundedimageview, 3b3af0518ab167aaa193e103b9d35eda}
me/grantland/widget: {me/grantland/widget, 5d086ea79a8ee565a678fb232b2f1a44}
android/support/coreutils: {android/support/coreutils, 542dd9699021b2a489ba6c7d8f6e4a23}
android/support/v14: {android/support/v14, e59e7e7b72d0399c913afa8678befd3e}
autovalue/shaded/org: {autovalue/shaded/org, ae01973b13b6c9e2dc8a01d851bcffaa}
com/triangleleft/flashcards: {[com/triangleleft/flashcards, com/triangleleft/service, ], 8b7b835c0f9606c98a01c3c8fa682932}
android/support/graphics: {android/support/graphics, a01dcfb64e8ab059718d5c062fb07c76}
com/arcao/slf4j: {com/arcao/slf4j, 430c86d7616cec607332d005dc293e6a}
retrofit2/converter/gson: {retrofit2/converter/gson, 8e4a8103d3b9f988d7fba78c302c89cf}
com/lb/autofittextviewtest: {com/lb/autofittextviewtest, ba08ce00bdfd4366d74b60cb7ec7dda3}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
org/apache/commons: {org/apache/commons, f4a60cb865b53dca31d03e0a6df60228}
android/support/design: {android/support/design, 1682f3c93b6356a5c3ad55a85ce6fb9b}
com/squareup/leakcanary: {com/squareup/leakcanary, c3cc550009206e1bbf3cca68d6ec90da}
com/triangleleft/assertdialog: {com/triangleleft/assertdialog, 2074e374b16b857a462bbff5b736fe42}
okhttp3/internal: {okhttp3/internal, 1a222ade1bbf8608d315a258a8df5b9d}
com/franmontiel/persistentcookiejar: {com/franmontiel/persistentcookiejar, e73e7b7ac743caad18a6d4e3386f6e28}
com/crashlytics/android: {com/crashlytics/android, 74967bed9b38b877eec3ddfa2a092932}
android/support/mediacompat: {android/support/mediacompat, 542dd9699021b2a489ba6c7d8f6e4a23}
com/google/gson: {com/google/gson, c4d10817b7a605e057eeeb25a9f6fa42}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], e72ba4808f9ba109280da0c902f6966b}
okhttp3/logging: {okhttp3/logging, 9e42169126e04ac7b21be3f77fdd47a8}
com/squareup/sqldelight: {com/squareup/sqldelight, a5207a2b065f27c82165229700146bcd}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], b03916fc639ad9eb8df8e48ecb5176f0}
retrofit2: {retrofit2, c2decf4496f8997526ae032246cd3796}
