A: {A, 46695fb7d54c251865e035c058d4811a}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
l1: {l1, 98cf416331f25e98a8dd9f605d3fcdd7}
v2: {v2, b198c3e5a216f193be811f6e3532d699}
H: {H, 1a94c0b9d73bb1788aa205edd27c112d}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 719fcc8a503ef4a34dbe98795f68451c}
Z0: {Z0, 21c2f4f1aac3529ac4ec5a6e67769c91}
O0: {O0, b35af8d2e63132465a6d33d2c784f878}
I2: {I2, 9c9bca138b35d7030401015398cf7d46}
u4: {u4, 8fb4e89765aa83e01593336c0dad994d}
ezvcard/io/chain: {[ezvcard/io/chain, ezvcard/io/scribe, ezvcard/io/json, ezvcard/io/html, ezvcard/io/xml, ezvcard/io/text, ], 8bf6cf5c9e069a2b20f0b58fc9a128c8}
g1: {g1, 116f68346365942f685683b719c611e7}
c0: {c0, f5533c2ac2e6b265e7341a6bc80790a0}
K3: {K3, 5287ecf43f33f4e34b111b1843a3d52a}
P4: {P4, e945254a8211579d7f349cba079956fe}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
o3: {o3, 9713ed38339444d3c83e0dd8cd942f0d}
t3: {t3, acd7903098c624cedd7d43c107e4cb66}
androidx/core/graphics: {androidx/core/graphics, 28548c985b7169249fa88223bbe3211e}
P3: {P3, a9cc002cf180cce0402fef5361d3b187}
h2: {h2, 09612b00418d7ad16ab5ffb3c511d849}
u3: {u3, 9b7cadd0e51e89bbc616356843d225a9}
Q3: {Q3, e3c0a425ec2c47b67599a8ff5554c565}
N4: {N4, 088bdb48826f6cd11f799c2cca689f16}
s4: {s4, 2da436878b2f5d5db1062e12d7023e0a}
Y1: {Y1, 0d1ec3c8b8e45cc5676120205ffc13be}
net/jami/daemon: {net/jami/daemon, e7a72f12c5d77985908691350041fcab}
J0: {J0, 63675335e50f7044ff8e5dbc8adbe46c}
b3: {b3, 1e1eb9df286e177719a5cf0fd81f2f6d}
q2: {q2, 88f1b5e1deeb11261a51919772857ecf}
e4: {e4, d9b60710f50923ddd27ba7b908341f42}
Z: {Z, d30a041af974ddc1f6b8b2529a7f7890}
S4: {S4, af9ccae7609591f207f08c618b5cfae5}
androidx/versionedparcelable: {androidx/versionedparcelable, 41e4d97ac17453fb584b5bbe4d17e47f}
W2: {W2, dc7272a85a9217dc998e60ed49af070c}
cx/ring/share: {cx/ring/share, 67153f2b5ff8837677ef815342fb0b63}
L1: {L1, aaca8e24a734a2327d8b041281b3d51a}
f2: {f2, 2a53612ec551415ff526fa1f46e03beb}
U0: {U0, 70b4598d4d95db156bf694a62ed13f40}
S: {S, 26891cd2cd021c987971c09106a7e43d}
androidx/leanback/app: {androidx/leanback/app, 0b0bdc27c1ec30cd029e45766e27ae94}
F2: {F2, ddd7a9c3e83d0539c8caa8619685a068}
z4: {z4, 1d11384aa614f5c4fcca3931bcaaea42}
G1: {G1, 0de4a4dad485b12487fd9eb3cfc2e15a}
C0: {C0, 90c6bc58f71f0db910a80850e16abd42}
d3: {d3, 5a0c966a3c75232f7411fec5e93aee4f}
k2: {k2, af51c505c5d9ff3c181de60f1eaa7c86}
m: {m, bb6e93582b382bd9f476511cf2e5885b}
e3: {e3, 8c021bb26b8665cf7ec6104aaa18cd1b}
Z4: {Z4, 9c819c343d81a18573fbb84ad2ee20c7}
y4: {y4, a2ec1ccf2e641519d78c8fb45212be2a}
D3: {D3, 78ade15976988be0f5f8bd8665ecdad0}
m1: {m1, 718f2e68d8d7c5b03d94351abea05abf}
M: {M, da940aa67cdbcf859dfa5c9beaa63f73}
x2: {x2, c61924534f98fb700bcd3c62026015fa}
E3: {E3, a2c1c8df1be6e9ea0ab26242144d0cc9}
a2: {a2, 2f07e39317af09c556a56cace86035fb}
n0: {n0, 340d5ac3d452409a6ec0673df8b76d13}
k5: {k5, 7e4f7ecff96566a4ce77e98f8db5759f}
B3: {B3, e8a02ea064815375f2e2390fd20bf44f}
f: {f, dccc699b813893324047db19d63d57e5}
E4: {E4, 033554fa1b4d3cc265d12285cc1140cf}
O4: {O4, 46957da507c8fc91d02a2c95db4a0896}
com/google/zxing: {com/google/zxing, 4cf05d37af74f9b371b5e130e4ad3390}
j1: {j1, 3177ef3848ef1ab930226970e6c3680f}
T: {T, 6c6405c4f1951a01b6d74dfd158db965}
N0: {N0, aa5e744ab949939e79a2a930fdde9e32}
F: {F, 83b7db2682d0b8e86d336b3e983ba1db}
g5: {g5, c0ccfcf9688a7b4620d7446534ea0619}
l5: {l5, ec23745684ae5960084bd9257dfe358a}
i0: {i0, eb880de800670cb088653a1a78a85595}
s0: {s0, 446f8f75adc21d1b549d1f6df347e8d1}
p: {p, c7074cda57afaa1aa6779f5245420b84}
J4: {J4, 6a808ac82fff684cfd271f017428d682}
W1: {W1, 2a23dfc1a5a153ebc3a4b46a086a53ac}
S0: {S0, cb8bdc9394edc9121446cdf0acb3d384}
Y4: {Y4, 4cc397372b5d6aec8c3fc35715bb35b5}
t0: {t0, b19fa292a718349e7ffe0af63b9ab045}
P0: {P0, c1ec8196d77da4e7b756963dc57f8d65}
M1: {M1, 45da6909887157cd28cf681e1e4cb02c}
r3: {r3, 6eaf59a5cde23082ea0c68eb3aea3ea2}
X2: {X2, c327c72ba13decc2570236bdb323f0c9}
A2: {A2, 67710cdbc8753408524803e862ad1f11}
V2: {V2, e30f01b0ef1114913786f04891aad65e}
i: {i, 8fb89e3aec56a96cdca2f4b03c7b92e7}
p1: {p1, dee8fd1f066917a758187506432a4573}
R3: {R3, 54d82239f4f628aada06e257f559d1d3}
U4: {U4, a28c8d9b0e3a533c02a70e7a477f47fa}
com/jsibbold/zoomage: {com/jsibbold/zoomage, 01392fa2aa61a7df6bf36ef67dc95f60}
T3: {T3, 8bfe76797cca7087eb323b929f2a3e16}
H2: {H2, bf4dbb389fc835c571c024419052b37f}
U3: {U3, bd71a4d10ceaf94ca04b438c8657c7d7}
com/google/android: {com/google/android, 5cf33229af885501193dd2476bd4e96b}
z1: {z1, 66f26937fe1cac2d27f65f0da4e3074c}
P: {P, 1783686c2856635ce2ccf2d5c497e9bc}
I4: {I4, 328b6bda9ec382b42f5dc24d55b0f01a}
j5: {j5, c98c7c0ba439beb3383a7d9d44100114}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
d0: {d0, 74fd40bd94c7fe45c317fdc636e7cba2}
b: {b, 3b52db1427de81099a702cb335cf5980}
k1: {k1, 39758a90cd28239d124428bb3dfe12b9}
Z1: {Z1, 089ea107557e1947918eecbb933f4597}
ezvcard/util: {ezvcard/util, e0580f2d8a902c18fb7b254467d57de5}
androidx/cardview/widget: {androidx/cardview/widget, 4cd191c4979ccc8693c40a79bd7f5de9}
l2: {l2, 354ee5871919c4d120fcba8065f4defa}
D0: {D0, a75f868c21fb14fec80ea45621e3ca5c}
B: {B, ee255fd2597e2c92a2ec4a855c428b71}
m5: {m5, 6bfb6977d9c94528604afaaba2abb4fe}
j2: {j2, c1e8c8f0e79c8bca098988e1b6a6a636}
v3: {v3, 64e78fa10aada89961ad78444df0e49a}
n5: {n5, 3760b99390bb59c9b0e44b6d52a85fa4}
I: {I, a2ca1ea53342a36aea3f1aaa0a2a086b}
z2: {z2, d25313ef94aaa123eef50184df246dbb}
androidx/appcompat/widget: {androidx/appcompat/widget, dd6cbba0921f50f9c5a1613384f54d46}
O3: {O3, d3da378a89b5d34cad17d940b3d17088}
g0: {g0, 12a01abc99c4c19b5c256a8cca57fa14}
o2: {o2, b05ef8d7eda95dece3f4832414452ac9}
androidx/lifecycle: {androidx/lifecycle, d315916f9db550286e25e6b2cd389e0d}
K2: {K2, 358d8b13ad30b9388885a44dbbcf35d9}
c3: {c3, 9a5f085567ffc9dd326cfd7e95179279}
h4: {h4, 937c17136c38cd2d30414d951f28411d}
androidx/leanback/transition: {androidx/leanback/transition, 38bdeec2c146e0eb49dcb56f7cf94bea}
t4: {t4, 109585c72644d229a4660038029b3314}
u2: {u2, fc4517fe424d2fb7c9f65d55a1b3c65c}
Q2: {Q2, d880ccd19ba36fa447ac22bcfcf6d647}
Y0: {Y0, e3c0a425ec2c47b67599a8ff5554c565}
androidx/media: {androidx/media, 596302563f7adae0193ace65aa78b975}
b0: {b0, cfb3591075189e55a8ec8e76ede4811c}
c: {c, 4e1848221297915bc328064726b7a138}
J1: {J1, d01a84c652619eb261188075fd9e469f}
u: {u, d94d11721a7c0341093e5237cecfbf24}
androidx/customview/view: {androidx/customview/view, 4df3c0e3e1584d3fc7187d00666d8b1a}
f3: {f3, a7208cea8f3fbb1b058f565d684c6d24}
L2: {L2, 2e93d8c97213ac9a7541e0c7c26d1cab}
w4: {w4, b498f244bc31d6dc77afbccddc7ed1c4}
I0: {I0, b3fb8fef2fdc7ca757c325f3b33d7831}
androidx/appcompat/view: {androidx/appcompat/view, 6940630ed8eea0f780ce49de44adc7cc}
F3: {F3, 90c0745c57e9b88e84ce8fc6ea5f83ee}
G0: {G0, 4086d360ccfabfe0cfeb330548ebadde}
n: {n, 09d255e81db37312ac2b1ccdb829bae2}
cx/ring/tv: {cx/ring/tv, 18490f7fd1ad5ed689b95008b2eec7c1}
d4: {d4, d9b60710f50923ddd27ba7b908341f42}
e2: {e2, 2f37363af0d2cd7f26559ec1592dfc28}
C3: {C3, acf7ef943fdeb3cbfed8dd0d8f584731}
y3: {y3, 3b707919fa19afe439c87aedbe9455a3}
T0: {T0, 6463342a466e0601e8f24db7509e2d52}
a1: {a1, bb0ac678759742a33a7f1778f054b336}
N: {N, cbbe69f5b80d966672f2d59d5a0c7a7b}
D4: {D4, 9e723325b2132f4854bce3f19c2c2178}
E2: {E2, 35dcf14a689d0bd36ac0ae7434b3d02f}
x3: {x3, a300ec22c7844142f0c8449660843bdc}
k4: {k4, df1d20d8818ba3182ef4dd6d8d556008}
cx/ring/service: {cx/ring/service, 04d489fa5f2631ecca5c08e75f74871d}
n1: {n1, 5730b612e5754ba59c766b63bd291ca7}
B0: {B0, f5fd656227aa652aaf0d98668b24e90a}
androidx/concurrent/futures: {androidx/concurrent/futures, 79f20454c5fbfa4229b0229209e4a3a0}
U: {U, 9b8ff66a09e5f75c31870f8b3de4522b}
G: {G, a591c41d067dcffb484bf72ed45e5f5e}
N1: {N1, 11939b3bf87f7b6f238135af74289439}
s3: {s3, 50f9987e1b0df6db51fbaf87e049bca5}
x4: {x4, 232d3270c629699771c5a5c6e5718d27}
androidx/car/app: {androidx/car/app, d828b8c5b8600657e1a08630907f73f7}
h0: {h0, 1144aede748058b550ac926032ecb668}
g4: {g4, e381f6991873210ea6cc1b6be99b5314}
androidx/core/content: {androidx/core/content, da5a8ddb98f69bca3675430e808eb3f4}
m0: {m0, ff8bb07f395907c815f5d480851f4b18}
Z2: {Z2, a2234bc51109af5107d2be6e9a387a2b}
