a6: {a6, 1427320f2884d62b48b6a884f9996d33}
p2: {p2, b7b42019c3d5867d7e3257bb0f9e2351}
d8: {d8, 3247c7440eaf439a5acce0e169384f42}
j: {j, 9539517dfd8328117a178b0e7cb1c210}
c1: {c1, 51febc3d3a8fcec2aba52ab8d57ed8d6}
d: {d, 641c9e4d89b3b671ba26747cbc027b50}
q4: {q4, a0424616f675b2980e4e89ee39d363e8}
androidx/activity: {androidx/activity, 4c8517ee2542e911b843598209739355}
x6: {x6, fc58e20f4bb85147d36cd00ecdbc9c08}
l1: {l1, d144f4bc762aa6fb11117ff828180aef}
androidx/preference: {androidx/preference, 94b3daa7be8ffc608a9348e20a5993ee}
k8: {k8, f2942186c476e400d2a52436d603fa75}
g6: {g6, 89a0265425870858845113a902a6d1d1}
o0: {o0, 6373769888ac6a7d73883629b3ed175b}
androidx/vectordrawable: {androidx/vectordrawable, 871170e73162384cd364fe561f3fe964}
b5: {b5, 5fae303ddb4ee5f7c3abedf047c4eeda}
com/google/android: {com/google/android, cd0e7b9f180794aac38f39666669ba17}
v2: {v2, e7bd0ea4d9cfefebf97e4d756c25e8cf}
z1: {z1, ac0c3a289561296f709572637611493a}
m6: {m6, 6d9aaee5f4e0ec7cc5b8407e8c8336c6}
t2: {t2, 81de44be2244fccae5038523e244bd0a}
w0: {w0, 287df5181ae0d41a89735dd4d5ce14d8}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, af69d2d238f1516638ff5918d3d7c3ec}
r1: {r1, 535dde027f54a73b269c871c64caac04}
androidx/transition: {androidx/transition, 24492d8abc0e7220f47bfc778cef3fbf}
e6: {e6, a622d16c33527878713e6858cb164ccc}
j5: {j5, d0c974086508871cc0e66c243ff46b27}
androidx/window: {androidx/window, 92d630d30bf6dfea0b9a8d887ead7766}
y: {y, e0fa3c024334671e562833ea7265d76d}
f4: {f4, 3205e86bf8f295cda001ff3c95735adf}
b: {b, 9ba8c8dacd50e11588046fae74f6964f}
k1: {k1, 4c27323255c8b03a752c78237563e7e8}
k: {k, 357d405e3d3de233a6068c61071fbb0e}
x7: {x7, fded3638fae68db00ba649b4c09bfe6f}
g1: {g1, c2da83b437123f7cbd4f35c39739052f}
c0: {c0, 9332c0e8dc40f03d8aa4c18053930b48}
a5: {a5, 4bd2177a61dbc321353fa5f553971c7e}
p3: {p3, 990c5bb82d1b796df66fb30e4ea29243}
e5: {e5, add64d0a5b4bc4a4d67563382f2f4778}
androidx/legacy/v4: {androidx/legacy/v4, be8a1232ff86b541d65bf0458e04d236}
y7: {y7, 98f07d799f46abcbb790aeb606e313bd}
q3: {q3, 23f622b97147c69549ec313e439d680f}
d6: {d6, 039f19c0d58a1cf6fe5a0069b9ae7016}
l2: {l2, 6555efa099bf51546ab0438d988c0d25}
i3: {i3, 9bdad1e58e5e232aec53855d08b9dd3e}
o3: {o3, bab94b85a8a13893d491005a5fc8ad62}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 270b63462904778205901975c08746bf}
androidx/viewpager2: {androidx/viewpager2, f1b2e041510710314425d3745692c385}
m5: {m5, df6661f10623f892152011625419cfbd}
t3: {t3, ffbcdf6c0942a7e3caa20c4db41b0f81}
j2: {j2, 4fbbc4699d693bbf670a1193aa17c362}
v3: {v3, 11c69adccfda5f6ac7f794a5e139bfe9}
f7: {f7, dd9fe8ce8860d06f1dee49059a6522f6}
h2: {h2, 65d45d46852ea9facfb1e018770d3128}
n5: {n5, cd4e2907940f78e5ab9fd78ae9d41036}
u3: {u3, 7e16e560c84e0f13145038bb5dc2854e}
r: {r, cf64b260207c81c38402cafe30637409}
d2: {d2, 1afbc140ed8b84dea9609ac4a18a8db9}
f5: {f5, 22db109dcff4883e23d3370a509202d8}
w3: {w3, bd01ec3e3a9f4fe0e0cc8c33458b5976}
z: {z, 11bc2fc2386a77219ae167e77451e8c8}
r6: {r6, 46e040ec409ea2ceebd44a611af48924}
d1: {d1, f9b25959315ca1579001fddc888328b1}
c: {c, 846fd3d171c0432a59f315c72564988a}
k0: {k0, e777f3261a44b3e9f18414cf9cab99e5}
g0: {g0, 05f35fd28655d292165c5f67a7169349}
androidx/percentlayout: {androidx/percentlayout, 56eedef910049431bf140881f8c54a79}
x0: {x0, af078854bc07bed2b61abafe13493cda}
b3: {b3, 24acadaec5824f9c0b85132d42ba14a7}
androidx/room: {androidx/room, 183ff4f0a2fb42307cc445d05616dfa3}
w2: {w2, 2c567f55201c2530568aae5ae1f5fdfb}
q2: {q2, eb84b9570bc2542ddacbcdec03fa9402}
androidx/legacy/coreutils: {androidx/legacy/coreutils, f375e34e522885c7bd7f5539403a98f3}
e4: {e4, d7b56dc91403dead449556b05c979762}
o2: {o2, 06cc80d5895bdcda8103cf7b39ce1b30}
m3: {m3, 140192cdc7036944d182c3ea818d3383}
i2: {i2, 8c34e8788fd5c72f81b10274080333ef}
androidx/lifecycle: {androidx/lifecycle, afacd97004f9071ec8fe03ba1332c9c8}
androidx/fragment: {androidx/fragment, bd63ccc4ce2a3318a343144378cde52b}
c3: {c3, f09ebc6871b4cb58a573ec5a70af4181}
a4: {a4, 1829a9574b35e701b2ce18bd854706cd}
h4: {h4, a072b22f215b0a3b3902d43626bb8e1d}
t: {t, eb1de096a0ebae18b2d047a421769da2}
j8: {j8, 5f33815cf0f6f15c2e33cb563de540a0}
androidx/media: {androidx/media, aceb9fa6bd03596ac13018cefef5f144}
j3: {j3, a8e7bf3d5c164c889261cca5949e51ea}
androidx/exifinterface/media: {androidx/exifinterface/media, cfd9066532de89d44c24fe2fa00cb632}
m4: {m4, ba6cd9011ed2463ede00466016dbf3c9}
t4: {t4, 93f99fe814fdfe539b7a127385e7c264}
u2: {u2, 28584f60e760233f50dc303ac5b01124}
s: {s, 9413dc1708600ab8345c8c36a3990fa6}
androidx/startup: {androidx/startup, dfc77c869f6cbafe0176e365c6f2949b}
c8: {c8, bfba8012c258336c3d5769a2008d1846}
androidx/core: {androidx/core, 45852c52730e5ad75ebe07175e143c54}
h3: {h3, 39955c77622cea8d0b869d7b27420d30}
n2: {n2, 701a2b31da9b6b2ecc5245aef0739518}
k3: {k3, ccf13f93db8152d05b8dc2e9a728013a}
p4: {p4, a8076b588e9bb7d89ec32464e72cc848}
r7: {r7, c9cab480d774d0a2edd629314fa82eae}
y0: {y0, bcf303baedb72eb456109e937e6f1b16}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, f375e34e522885c7bd7f5539403a98f3}
f2: {f2, c95ba17f783d55ad959dc28d5feeb95c}
g8: {g8, 110c518454f0c88b3e64529b0f58ac99}
v0: {v0, 2fc8226b3fdb3c7feef4aa82b1faa7ea}
nightlock/peppercarrot: {nightlock/peppercarrot, 0209138e809ef995587755542bd9599c}
s7: {s7, ebe4ddab9d9127b475426e398570e474}
q1: {q1, 8c480aacde0f9f71728baea9abf679c4}
i: {i, e428189076fd38f8518fc94e315bac64}
x1: {x1, 4ee04c0337b110876b124c7cce3fdcf1}
