kotlin/collections: {kotlin/collections, 68a20e59ad03ad6bca79dde037749b7a}
com/github/salomonbrys: {com/github/salomonbrys, 6394a96eafed867a8fe28c31cc4bef4b}
kotlin/io: {kotlin/io, 7314d409fa11d82b799d7fd16dd664ed}
kotlin/internal: {kotlin/internal, db93a1144419a006b1c6de50fb814893}
org/ligi/compat: {org/ligi/compat, 879c10b5a54f36cc66b5ac2a54bcd72f}
org/ligi/kaxt: {org/ligi/kaxt, 585772cc16dbc4276c6be2264b12cf1b}
org/ligi/snackengage: {org/ligi/snackengage, 58fe3be90baf8a440650abe5250dd5b1}
kotlin: {kotlin, d81d2278c9a416eb82c5521778979f00}
com/davekoelle/alphanum: {com/davekoelle/alphanum, c391ad306e224aa84d7a5db5f0de42d1}
kotlin/reflect: {kotlin/reflect, 41e484464584c5cf20e62ed94843ebf0}
com/google/android: {com/google/android, c47ac5e89112f4e14ced50c81f34d152}
kotlin/text: {kotlin/text, 7db9b4e9a8b4938c4ec525c2d353224b}
okhttp3: {okhttp3, 12a6e532206994a5f425834c7838ae18}
com/chibatching/kotpref: {com/chibatching/kotpref, 47d53f0065b06e824232597131f05fdc}
permissions/dispatcher: {permissions/dispatcher, ce9938f84801ac3ee6500b31018b56ec}
org/greenrobot/eventbus: {org/greenrobot/eventbus, 7d8dd83c225b408a93282cfb2770bd20}
android/support/v7: {android/support/v7, 7e10fbb9892f83ea9da20d40a84c4828}
org/ligi/tracedroid: {org/ligi/tracedroid, 5704d2e77e33ec5899f55eaa5503e0af}
org/ligi/gobandroid_hd: {org/ligi/gobandroid_hd, bcdf4f1c86a720b89e17efdcf4fa4b43}
kotlin/sequences: {kotlin/sequences, ebeecbf2f346594951400e691eb98c8b}
android/support/graphics: {android/support/graphics, 129ed300651f22b85f750caf4cc86791}
org/ligi/gobandroidhd: {org/ligi/gobandroidhd, eaec216a4b8c980704a993c33733e26d}
kotlin/properties: {kotlin/properties, e3c0a425ec2c47b67599a8ff5554c565}
kotlin/ranges: {kotlin/ranges, 802881abbad012bba8876acad78728ad}
android/support/design: {android/support/design, 9dcec30de2edf03b58a800e4871facf9}
okhttp3/internal: {okhttp3/internal, eb6a2ff9a515c634edcb9c4f93de2b52}
okio: {okio, 961cc223ffeb3df3fed6f603947aa903}
org/mozilla/intl: {org/mozilla/intl, eaacaeddfac947fd7cbaf4db351dd224}
kotlin/jvm: {kotlin/jvm, 99c68bbcb71931b44d8fe0a2b8d77b53}
