androidx/appcompat: {androidx/appcompat, 1958d755812541b86433f73ee30a8bf0}
coil: {coil, 7da5e28caf6df6fa7b45bf9b4bc2270a}
coil/fetch: {coil/fetch, e26edc1e01cfbf22fa65edbd4973df84}
kotlin/internal: {kotlin/internal, bed891cf3dc47b328de2b22f74935929}
androidx/activity: {androidx/activity, 9c396aad0a582c6b47df00256ac5c928}
kotlin/sequences: {kotlin/sequences, 724ab2181d3e50e892a4c1266fbee187}
androidx/compose/foundation: {androidx/compose/foundation, ff3d294045ca32509f6d5b01f328a7c5}
androidx/preference: {androidx/preference, e921db0712a681008cb91f0ac8ae9055}
timber/log: {timber/log, 210781566c273a3882233f7c6cf496b1}
kotlinx/serialization: {kotlinx/serialization, 00fb7141e63f6cde28fb14af570add94}
kotlin/math: {kotlin/math, 2d4d52bcec2e16137b7a41c6712d91e2}
androidx/test/annotation: {androidx/test/annotation, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/compose/runtime: {androidx/compose/runtime, 3ce93a688d8d0b9424b8d18ce88a732f}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, ccce21e1649d641520ef43cbbb471686}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, acd1d2d6846b666254c5093a0bd04ea3}
kotlin/random: {kotlin/random, bffc62c8148b3e3de848d852fb49c348}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
de/voize/semver4k: {de/voize/semver4k, c5b007eccd7ce3c61ab92c4a3bacb56b}
coil/map: {coil/map, c6a476740a3a4b61c1e68dc998d5b725}
com/topjohnwu/superuser: {com/topjohnwu/superuser, 477aec97878d9d54dd806e4ea59b9a33}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, 98a5ed5e267dcdc614891141a1f458d9}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, aa8e4bfeb76872a58acfcbe92c07e29b}
kotlinx/coroutines: {kotlinx/coroutines, e8bb77a4a985daf1229804642d93d699}
androidx/test/internal: {androidx/test/internal, f6b4661306d30fa0a1100f2351884979}
androidx/startup: {androidx/startup, 5a4a2d2cf21d46b59fd7efa28c71895a}
coil/intercept: {coil/intercept, 621c96e6b8a124fd9212f65ac6d46fe1}
androidx/compose/ui: {androidx/compose/ui, 60dbfac9b09160ddf591f3091c8b199a}
androidx/databinding: {androidx/databinding, 92b3b2ba04939ad7814d31e54a1b9175}
androidx/loader/app: {androidx/loader/app, 74281e3ed2ff8eaa4f6683fe32e51678}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
androidx/room: {androidx/room, 4432ae9d8086ff9ddff997f56e77fe06}
coil/compose: {coil/compose, c33682bc3f53b4d3bbda76fe6c2e2276}
androidx/sqlite/db: {androidx/sqlite/db, c8f4561bb086630df4ad0c7334615f9b}
androidx/lifecycle: {androidx/lifecycle, a880ed362a0ec55a936ee6db8443f179}
kotlin/enums: {kotlin/enums, 2dc1a962104382b16749698a8a1bfdd2}
androidx/navigation: {androidx/navigation, b476c270594267a777389773eefc1ded}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 2b3ec5fcc544a9377470472fdc7bb3f7}
androidx/test/core: {androidx/test/core, d9acc7ddc17f76b4b086d8900840341f}
kotlin/reflect: {kotlin/reflect, 1737c5e03b237f1f49e07f49f215d584}
kotlin/text: {kotlin/text, 9e4cdcc198122e0da6ea4f0044138902}
androidx/exifinterface/media: {androidx/exifinterface/media, 65944724bd9cf5f04a86e58d4c74908d}
androidx/versionedparcelable: {androidx/versionedparcelable, d675521541636dd385311ac1c1e59ce7}
okhttp3: {okhttp3, c2b6afd946612f33b32c0d1dc4e1ba5d}
android/view: {android/view, de1c2b92945417ecd988923d07abfa41}
androidx/core: {androidx/core, feaf685ef3cbb3fa7190bf499b3188a9}
androidx/collection: {androidx/collection, 6c6838a92132b35075e7f2964883b4f5}
androidx/transition: {androidx/transition, 1c3e934b6e961a4d1a4e1df1c1a5ecbf}
coil/request: {coil/request, a52f0d102a3f29b2c5176dff5e3ea84f}
coil/key: {coil/key, fdec7c141703560d86df48660ec7814f}
kotlin/jvm/internal: {kotlin/jvm/internal, 90c93036e7e160df87b2aa204bc4a926}
com/google/android: {com/google/android, 507765a39f82af5900a34517a6795fe9}
kotlin/jvm/functions: {kotlin/jvm/functions, 40b355d1a8a50b1a2eb6e130b393cb2e}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
coil/target: {coil/target, 89e91ce13d72aa341f0f33e3d28d6e4b}
androidx/customview/view: {androidx/customview/view, 942f6d675004dc3397e8bd1cc9195cff}
coil/network: {coil/network, 524136dd56a938726122fd53a243c8ae}
androidx/recyclerview: {androidx/recyclerview, fefbd520e8763027c0531db4923b2720}
kotlin/comparisons: {kotlin/comparisons, b58ac6c1eaa9f19fee922b61903e5e89}
org/snakeyaml/engine: {org/snakeyaml/engine, 9c6a6f207adeb35d950e58a0fe423547}
