androidx/appcompat: {androidx/appcompat, 8f9ed7f978936888caf104467e253b5a}
kotlin/collections: {kotlin/collections, c866789436e9bab39e41d97e15babb99}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
kotlin: {kotlin, 2f97408c4a16e91365feeed7f7cee3d8}
kotlin/io: {kotlin/io, dc71bc1ddf841f29da22730e6790d102}
androidx/drawerlayout: {androidx/drawerlayout, 30255700177572ccf64342f616a74ba2}
kotlin/internal: {kotlin/internal, c0fdba2361c839ab31061a3469198965}
androidx/activity: {androidx/activity, a69c7e88ba448454b350313bca00bd92}
kotlin/contracts: {kotlin/contracts, 9fd3b4e8fa5f4d904edc67b3ae889ff5}
kotlin/sequences: {kotlin/sequences, 1795d3964b774bc369fee82e6ab92286}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, bd415add6947518154998e1b8769266d}
androidx/lifecycle: {androidx/lifecycle, 86b6cd63ef93d731a6b37704b105106a}
androidx/fragment: {androidx/fragment, 6bccafbcb45bc5b050f989fc9d323350}
androidx/navigation: {androidx/navigation, 5e10e2a2674d7bb940215a77ce0991c8}
androidx/loader: {androidx/loader, 9403c1186ce26ec375c7bcb76d8a9538}
androidx/vectordrawable: {androidx/vectordrawable, 96eab83407b23b4fbf9dc6571efe2fa5}
androidx/viewpager: {androidx/viewpager, f3f2704857cece1a4947d3ff6e09da5d}
kotlin/reflect: {kotlin/reflect, c387ddc1f95a8703364d215266cb8340}
kotlin/coroutines: {kotlin/coroutines, 56193fc271f32e526b3f1c726507df04}
kotlin/math: {kotlin/math, ac3a63cbb8518afe2b476b95c4b1e79f}
androidx/interpolator: {androidx/interpolator, 0c69a79d8fafa699f045df9a3a7a429c}
com/larswerkman/holocolorpicker: {com/larswerkman/holocolorpicker, 69a201b2218ac92819e7954fa4d4501d}
androidx/versionedparcelable: {androidx/versionedparcelable, 2ecdf8f2a464c7ce872c3ea5e6c14568}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 2bc7af3e6b5e86dc907859334cdd501e}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 100d797b28bde50a9b5ecb52fb4c9ae6}
androidx/collection: {androidx/collection, d651bfb678742b07a2f54e1926238fce}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, aa024b1e1fea8e65b428daa0f0974cae}
androidx/transition: {androidx/transition, b6f0e29b10711b61a58335d0f0cfbce3}
kotlin/random: {kotlin/random, b36a1886c88f4cf7392b7f9152ade317}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, 0520e84f7ceaa9763ff257c57077e11f}
androidx/cursoradapter: {androidx/cursoradapter, 3e6035f3aa49c98bdc173a86be92153f}
androidx/slidingpanelayout: {androidx/slidingpanelayout, be4ddd168d918b117b2dedb80e56ae31}
androidx/cardview: {androidx/cardview, 20ec2e32f73ba51d9a18c336682e2132}
com/google/gson: {com/google/gson, 63a9d2c7f87b6f8fa74aa1563f59efde}
androidx/core: {androidx/core, 0b3e641588517db990db89edc0de8457}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/media: {androidx/media, ee261f0eecff126f8f04447f0adbc8f3}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
kotlin/js: {kotlin/js, acf7ef943fdeb3cbfed8dd0d8f584731}
com/google/firebase: {[com/google/firebase, com/google/android, ], 63402cb0f06c778619ab374348ee6081}
jp/wasabeef/richeditor: {jp/wasabeef/richeditor, 4d448b95ec5429e790688cb70fab5b2b}
androidx/browser: {androidx/browser, 09fe2ae23623f5cb14b43dc7320cb7fa}
kotlin/text: {kotlin/text, d2a0662763775afe29c0929fb8e9a2df}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, a0ead2678621fc96d30e172e037d9119}
androidx/arch/core: {androidx/arch/core, 46a94a5c7fd8016b698c55183e91fb8e}
com/firebase/ui: {com/firebase/ui, f850f6f89c88cd745fbf601919c58ee3}
kotlin/time: {kotlin/time, 8a164726cc8f191c02c1bb8811923633}
kotlin/properties: {kotlin/properties, c1e1040955d442770dc049452b5647d2}
androidx/viewpager2: {androidx/viewpager2, 6286be8664fa9025dd9b9fb87aebd1fc}
androidx/legacy/content: {androidx/legacy/content, 1b9fc79b5e2ab9f8b67bba853d17e558}
androidx/savedstate: {androidx/savedstate, d4dd7aad9fbcb85ff3628f6b9178013d}
androidx/documentfile: {androidx/documentfile, 711183db6f7fccccd10f85fd9df5f969}
androidx/print: {androidx/print, 5f2713fc2008f1c9e0ca6c4bc81dbac3}
kotlin/system: {kotlin/system, df2009cf378fcc5b9c10e4c3622086b6}
android/support/customtabs: {android/support/customtabs, 20cc7e99a174ea3ad5ad4827b189c31d}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 690668645f1b851c0d6315dc42288caf}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, eca12cb7d174501e2161b4c8ac655c17}
androidx/legacy/app: {androidx/legacy/app, 60fa7d407afd60692ccbabb4d7d8b973}
kotlin/ranges: {kotlin/ranges, 03fb89ac43839336da682121228c6752}
androidx/tracing: {androidx/tracing, e5d0e05179ef73aa5986c017dde92553}
kotlin/concurrent: {kotlin/concurrent, 772be91c7af37ce72e30121ae91a2db0}
androidx/recyclerview: {androidx/recyclerview, 0b29de05f53e9a484fc515c35a3cb166}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 8af7b6125fb907636bed54563d4be768}
androidx/customview: {androidx/customview, 43da656d7d022a3a4f094d87116ecead}
kotlin/comparisons: {kotlin/comparisons, f749b0b0a76917568f86d12a64406dbd}
com/github/steroidteam: {com/github/steroidteam, 7107f403b9be6278340d37d7560caba7}
androidx/annotation: {androidx/annotation, 177ada72ad798c39b1ada4b8e26d71b3}
androidx/dynamicanimation: {androidx/dynamicanimation, c1ed2a8062615e47d7f272af6f1805e4}
kotlin/jvm: {kotlin/jvm, b387293e89e8cb2f46b17b01ad2ea751}
