kotlin/collections: {kotlin/collections, 633225f788690e5e36ca215941e59293}
android/support/v13: {android/support/v13, 78a2210a9a305bf5ed76c8b4bc983dfa}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
android/support/swiperefreshlayout: {android/support/swiperefreshlayout, da1c5c0e9e4d4de1ee6852a39fa1fee1}
kotlin/io: {kotlin/io, d6a32d2a7f765c3b06a0d5fb0297d94e}
com/trello/lifecycle2: {com/trello/lifecycle2, 27af73a2b702560363520174cdaeafbf}
com/chad/library: {com/chad/library, ee9cdadb4d51d2e96c18e3f70ddc53da}
kotlin/internal: {kotlin/internal, 697e284ffca019f824df8663891613ff}
okhttp3/internal/http: {okhttp3/internal/http, e5150ac156c97e332bb3e8d8c1ce43e9}
com/antcode/sdk: {com/antcode/sdk, 002133d93813314a59facd88edb34e60}
butterknife: {butterknife, 232e191df37c20bd2c7ec7b34ece7c6b}
kotlin/annotation: {kotlin/annotation, 5ceefce2e30f15116573e0539c5d1608}
android/support/loader: {android/support/loader, da1c5c0e9e4d4de1ee6852a39fa1fee1}
android/arch/core: {android/arch/core, a6e96e816ab64abaf39023632a37b803}
kotlin: {kotlin, e784922e721835ca84553b49a9d10054}
com/tencent/bugly: {[com/tencent/tinker, com/tencent/bugly, ], fc2414ebca5b59ff8468ba23e7346693}
android/support/fragment: {android/support/fragment, f5649c67bb0f45aebcffe7a7a3f8e869}
android/support/annotation: {android/support/annotation, d05f93d07c662616805e791bcff36728}
android/support/coreui: {android/support/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
android/support/customview: {android/support/customview, da1c5c0e9e4d4de1ee6852a39fa1fee1}
kotlin/text: {kotlin/text, ddced272c2bb52635fcf34d6ff1f58ad}
com/meituan/android: {com/meituan/android, bc548db6ce34ce03fbd2150aeb5e537b}
com/taobao/sophix: {com/taobao/sophix, 7844a47e11cb21c39754c29e06411ee5}
androidx/versionedparcelable: {androidx/versionedparcelable, b70bc95ad31dae55401ff4d8de74ea6c}
org/greenrobot/greendao: {org/greenrobot/greendao, ed5263cffd63979a7c3a877309e919f4}
okhttp3: {okhttp3, 022f80e6b4c9e25415dadd666b0b70a8}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
a/a/a: {a/a/a, 9da66f29ab113f163637f14a99cc5632}
com/qmuiteam/qmui: {com/qmuiteam/qmui, 4a81cdce2b4f08693439570afb2d4c65}
com/alibaba/android: {com/alibaba/android, 55b93902f75eadfe068392793b23c42e}
com/google/gson: {com/google/gson, 03ca8ce39b0f40d786a4370d54f2e6aa}
android/support/transition: {android/support/transition, 4c708a24ad53c61b64e435654cd05867}
okhttp3/internal/ws: {[okhttp3/internal/concurrent, okhttp3/internal/ws, ], 020eb29b524d7ba672d9d48bc72db455}
org/greenrobot/eventbus: {org/greenrobot/eventbus, a9ad23d7a6259d242292eb8c285e3fbc}
android/support/constraint: {android/support/constraint, 9b844a8d309a1c06d31bf4dcbe77ec2b}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, 8f460011ea59255f7b61d71fd382efdb}
com/alibaba/sdk: {com/alibaba/sdk, 2dec14ff0d9021fb7011f0cbac8d4ba7}
