rx/observables: {rx/observables, db807717686cbe1a3031f291c03525bd}
rx/functions: {rx/functions, 2c83da4296fbaf776c3769bf7ed1afc7}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
rx/subjects: {rx/subjects, 3011bc10c3dafb37b9c2767746f972cb}
rx: {rx, 9c954048b14e6c10f89d29e272403f58}
rx/android/events: {rx/android/events, cd8a5ade4beb74f56738dfc0da5f0f6a}
io/fabric/sdk: {io/fabric/sdk, b075df4bc7010a897543883b8c4d34cb}
com/daimajia/easing: {com/daimajia/easing, 549cb8c430ff7f3318dad772a541c171}
rx/subscriptions: {rx/subscriptions, c57412c6467d26c98ba92952c6642bb7}
rx/android/subscriptions: {rx/android/subscriptions, 04eb195a356e3181b625e310f25a1382}
android/support/fragment: {android/support/fragment, 2bf41454f63b2e0fadbeaac191681f40}
rx/internal/operators: {rx/internal/operators, a551245ec47bfefe86ffad78e4e193ab}
android/support/annotation: {android/support/annotation, 0c1b74d013947cdb47d96438329ec1af}
android/support/multidex: {android/support/multidex, 7af7c9b124daba68c7ca13ba2b826d45}
rx/android/observables: {rx/android/observables, eb73a697610c3f8f359e1c25e7aeb579}
rx/android/schedulers: {rx/android/schedulers, e6c7fff85181ea3f7d7b6e34cce3309b}
android/support/coreui: {android/support/coreui, 2bf41454f63b2e0fadbeaac191681f40}
me/zhanghai/android: {me/zhanghai/android, c2a82f12f4313730484506bb2d339822}
com/google/android: {[com/google/android, com/google/ads, ], 3a32e367836f82d74fb0e729d1cef8c4}
retrofit2/adapter/rxjava: {retrofit2/adapter/rxjava, ee046d96c618fd107788e4476fa82bbe}
rx/internal/observers: {rx/internal/observers, e9345430cbe1031551da34be9cb9770e}
com/bedrock/padder: {com/bedrock/padder, 2e44ffbbc80d1cd541e69db3c92d99f5}
okhttp3: {okhttp3, 446f6e04e7fa7d20caf7f633158f4dc9}
rx/android/functions: {rx/android/functions, 99988fff309d54b2bd7ce770172c3e32}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 0d43ea61bf6aa408e2c42b21cb9d12f9}
com/readystatesoftware/systembartint: {com/readystatesoftware/systembartint, 47cf22f845754c66368fe1b3344eb153}
rx/observers: {rx/observers, f99ce34557068ef399de5da3641ad79d}
android/support/transition: {android/support/transition, ba795f19aed5f9633f8ef8176bc879d8}
android/support/v13: {android/support/v13, 254ef94df54e2124fa5a50dca96b526a}
android/support/constraint: {android/support/constraint, da6d8e6b3e93bf5db652a9307ebc40e7}
rx/android/concurrency: {rx/android/concurrency, 96fb9ade557522f9c01485a28e9f84ec}
rx/android/operators: {rx/android/operators, 09af0484b411a65903771a7147a62805}
android/databinding: {android/databinding, b710410f6205844d0eb017a47a73b5ec}
android/support/v7: {android/support/v7, d190fe8b177589701cc59664a8e05b8d}
android/support/compat: {android/support/compat, f0c897d148a7bdd3648bed4c8604463d}
com/heinrichreimersoftware/materialintro: {com/heinrichreimersoftware/materialintro, b4fef30484170aa02fd6af3305ebdac8}
rx/singles: {rx/singles, 525206ed3d3be0182b601ad54ad6c67f}
rx/exceptions: {rx/exceptions, 622f10b0cf5046811b0a0c8d4964c731}
rx/internal/producers: {rx/internal/producers, 951e5fd0eac9f478770cdc7b49883efa}
android/support/coreutils: {android/support/coreutils, f0c897d148a7bdd3648bed4c8604463d}
com/google/firebase: {com/google/firebase, 474452e1cd506d4c6788c44171e0b30a}
android/support/graphics: {android/support/graphics, 58ff1935a390efeee4d0127aa08d01cf}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], 91242929bb9178c60a830c7ad518d533}
com/daimajia/androidanimations: {com/daimajia/androidanimations, ea1b1456831d69219e130916b7fc3ead}
com/android/databinding: {com/android/databinding, f44493832ef9ef931849d702309b519c}
retrofit2/converter/gson: {retrofit2/converter/gson, d68dbae27dbec0a9aec8d341461d51e0}
rx/plugins: {rx/plugins, be3c87ae3474ba121a9f2e24cc72c1f4}
org/apache/commons: {org/apache/commons, 4df797cebe9bad444a84cdd95505720b}
android/support/customtabs: {android/support/customtabs, c0c991bf2d0f1dc8bc2930884e0ec124}
android/support/design: {android/support/design, eab13cf7abc07a5a69725d14f481d465}
okhttp3/internal: {okhttp3/internal, c3c4f5d34a75346d1a0558beef070b6d}
android/arch/core: {android/arch/core, 0dbe9221e41662ea60476038239e30ef}
rx/internal/subscriptions: {rx/internal/subscriptions, cfef756f27ab8c122c711949a13f1a97}
android/support/mediacompat: {android/support/mediacompat, f0c897d148a7bdd3648bed4c8604463d}
rx/schedulers: {rx/schedulers, e8c7739f9f3fa78c20d1c116f33c9646}
com/google/gson: {com/google/gson, 122f81b0201b788a6c5ec68a3c489c13}
android/arch/lifecycle: {android/arch/lifecycle, d938849c6fa53a1ef135f26a7ed1410a}
uk/co/samuelwall: {uk/co/samuelwall, 922f7b5f6d6b49337d786c0d327ac394}
okio: {okio, d04b6b5211d35dc68906612c309943ee}
com/crashlytics/android: {com/crashlytics/android, 9a6980b53d50c4b9a9ed0c8adbf760e4}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], e43b15f8d3096105db1adac3a54faeb3}
rx/internal/util: {[rx/internal/schedulers, rx/internal/util, ], 8df9b582dafa16bd7d3cc8b8a8faa510}
retrofit2: {retrofit2, a7bbcc7086a3aa9c16166c4fb280c0ab}
