p2: {p2, 9e904c76e21e509838046a412bd95832}
A: {A, 1f2075ebbf6461385fb82ad4081ade06}
j: {j, fee07b98a1c28cf3379a141207370ff6}
c1: {c1, ad64457d79bed6cdf6449d2efbd0f385}
H2: {H2, fe8d7b61d945cfcd6cb5490d1d4483c9}
androidx/viewpager2/widget: {androidx/viewpager2/widget, f3ba1c92617167893f5e10b53c34fd20}
l1: {l1, b364642e29585528adf972201ce90c3d}
androidx/preference: {androidx/preference, b14bacb0130b7014415901b51702f741}
androidx/core/widget: {androidx/core/widget, 54ed0e4590163c81bd38a11bc6eb4124}
o0: {o0, 02d10756a275a21ee6800cc5c4aa0999}
K0: {K0, d0237b29e27051562b0a4867109f2f4a}
R0: {R0, cd918cda0b0402cd5c1bd9a14dcf0bee}
y0: {y0, 112b91e9d29b0f5d865d1192f0a17901}
com/google/android: {com/google/android, 19da5dd376defbc2cbfb51465994a784}
D0: {D0, d9929f951f0179832838a7b0a944ec57}
v2: {v2, f5a128c5e50cff068740e122460d602e}
H: {H, 301408942b2e5e94d7efc889305ef9d4}
z1: {z1, fb43e2cc22861e91e4bca0fb529f532a}
t2: {t2, 52f62321f0488fb735911da80b5ca399}
P: {P, d77eb81f141e307a3152a388770c4e11}
r1: {r1, 9258daf36ced02d6a221afdb195776e7}
Z0: {Z0, 2f3734a73900c28a8493afac38676374}
A0: {A0, 952ec36caa10149b5dbae6c4338173ba}
w0: {w0, d128b753ec137b3a153e8d7d5b194f9d}
O0: {O0, 7b81715b20a667223d1baf43481ba44d}
d0: {d0, 3651a7be0e7324517076bc40e7421e0a}
b: {b, 64a600aaa462752a4fb453e449881c86}
k: {k, ee13d626b41670b47ca27313597e6fa9}
g1: {g1, 87213427e825d2840b93da5fc19509f2}
c0: {c0, 9ef4c49bd5c54dc636c84e5c8e839de1}
Z1: {Z1, d6622dc583c0aeb69a1fdf431ad884bd}
b2: {b2, 2b6470c1e83c8ad3e773704ac0e61182}
R1: {R1, e1e769e230309a47866c00142d8e27f7}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
l2: {l2, 7975154f7f8ef6da5bcac44f1f8946b3}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
V0: {V0, a023efeb443379a7bc1ba48df8d92813}
Y: {Y, 4205883a2646681b3168a65e6412fd56}
V: {V, 12cd39c70333557faf1e16c963dedb15}
B: {B, fa5b6439a140ec913603674b2971a1fc}
j2: {j2, 5f08df39000e976955935788af124e33}
androidx/core/graphics: {androidx/core/graphics, c8f630b9004414d930b1ec4a937ee107}
androidx/datastore/preferences: {androidx/datastore/preferences, 41723b9413fe4f29e1e38698d6df7ea4}
h2: {h2, acf7ef943fdeb3cbfed8dd0d8f584731}
I: {I, 6901ce7f2f433e8486a785d4829c6d06}
r: {r, 928c60531c807fe85975c45261a0daff}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
L0: {L0, 045a36c1d6d8f4b532988fdf230cc4f4}
