androidx/appcompat: {androidx/appcompat, b4ff0408f92de7c7b1666af67606decc}
com/jetradarmobile/snowfall: {com/jetradarmobile/snowfall, d8e90355defb3a50a7de624bbf875bc3}
com/calendarevents: {com/calendarevents, 67419dc2d4b44d3fdacf9aa67f8c8fcf}
androidx/room: {androidx/room, 79764c2974fad00b7dbcbee121a68238}
androidx/activity: {androidx/activity, 7291d7750db53c9f9c88c630ae27a642}
androidx/profileinstaller: {androidx/profileinstaller, 1f837d99093449df9e04a3ff9fd3e032}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 72ccf0dd2ef160341b58e6209d191ff0}
androidx/datastore: {androidx/datastore, a59d001d24b5db748a23b03a6a839640}
androidx/preference: {androidx/preference, 4ebceb50b8cc6790a9ab6105bf7ef970}
androidx/sqlite/db: {androidx/sqlite/db, 14519d963e1048b53382edb5bd4e553d}
androidx/lifecycle: {androidx/lifecycle, ccc7f19e144634cc5405abfbba24f81a}
androidx/fragment: {androidx/fragment, dc9018071161eaebd7cd41cd8b2346c1}
com/davemorrissey/labs: {com/davemorrissey/labs, 1677f0e64617b070210b9c0bd62765e6}
android/security/keystore: {android/security/keystore, c4e9eeb25e17c46354752ac4239a9772}
androidx/loader: {androidx/loader, ccfcdb233398e63080fbf62d935af2c7}
androidx/vectordrawable: {androidx/vectordrawable, e7c5f3704371c483459643122527f9df}
androidx/recyclerview: {androidx/recyclerview, 7c968ae466628bc387d9fc8472d73905}
androidx/viewpager: {androidx/viewpager, 6b9fc8d41488ae29c2b5b6c91d6b03eb}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/interpolator: {androidx/interpolator, bff12e260fd168c8839bcf2ba0ad6700}
androidx/autofill: {androidx/autofill, dc07d2adc1bd287c8db16a554c53db40}
androidx/renderscript: {androidx/renderscript, be933fd17cfc49890bb53e94e2aeae69}
com/facebook/drawee: {[com/facebook/drawee, com/facebook/imagepipeline, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/versionedparcelable: {androidx/versionedparcelable, 6be41e4891ffe6ee4a9f57281e226d54}
com/airbnb/epoxy: {com/airbnb/epoxy, 613a8373a81a865383c1bd86578117a7}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 717ea91550a6fb5c4f0214fc0248556a}
androidx/core: {androidx/core, fa295a0854a075a2b0340b98f3d0090c}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 9540dd0c385b5335f5058c25a0481f69}
androidx/collection: {androidx/collection, bef75cdfab48aacbb5b5827e484bcb37}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, cc98110830482cc5b877f3387ebc553b}
androidx/sqlite/util: {androidx/sqlite/util, 2f7a09516fab5adf26c87c01f310391d}
androidx/transition: {androidx/transition, cc5aa27880182f7f8639f164715ba16d}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/selects, kotlinx/coroutines/flow, ], ac9c542684f271e7215c00369bbb793e}
androidx/cursoradapter: {androidx/cursoradapter, 7645847d6383871b4e177ccd63144193}
com/bumptech/glide: {com/bumptech/glide, 5cb5eee08e724aa6eeedf1a34024b564}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 545136c7af2c7fe61149ab8c13ea0eac}
bolts: {bolts, 6a282e886601903acc030243a93b6b4b}
androidx/cardview: {androidx/cardview, afea5c48f87883b178fe2a08cefa6b94}
androidx/drawerlayout: {androidx/drawerlayout, 0fa1d14de53fb51e97d85c9e051cf41d}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/corbt/keepawake: {com/corbt/keepawake, 66144377661524c87287bd8e67bee196}
com/horcrux/svg: {com/horcrux/svg, de913e623c8fe767a033d6e0a13d3142}
androidx/media: {androidx/media, 7684c9dd271f455bb7df8d5ab0f6e466}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/exifinterface: {androidx/exifinterface, 02972bf6c547e493a180ddd80634688f}
androidx/paging: {androidx/paging, 9e22e56df4dc1d5039de035338d612d2}
androidx/emoji2: {androidx/emoji2, 2208cb06706f4875fdef66fb42e57922}
androidx/webkit: {androidx/webkit, 89055bec41592cdc8dd335130dfba1ac}
androidx/work: {androidx/work, f700a6c5b86ddf3b0c5a277d0bd8ff39}
com/android/dialer: {com/android/dialer, 6c801ab5f2c2f0f339c4e2b1d7e2c741}
com/airbnb/viewmodeladapter: {com/airbnb/viewmodeladapter, a4a534f4dcc5e3281bbf3791c8077bb0}
androidx/browser: {androidx/browser, 3d8201326eeb8898edac597f6ff89a3f}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 92bd1e6ae2b19379c479d7abefc0f13b}
androidx/arch/core: {androidx/arch/core, 5caafc07f5a27dd9a6f4db86d6c4e971}
android/media: {android/media, c4e9eeb25e17c46354752ac4239a9772}
com/brentvatne: {com/brentvatne, c81c1f544c75bfaf7cfd3a367cf26802}
_COROUTINE: {_COROUTINE, 0208d621906ad31da2c0a0924335ae39}
com/dropbox/core: {com/dropbox/core, 98a6c26682b264e81ba535dec6dfa83d}
androidx/sharetarget: {androidx/sharetarget, 27460c9823ca8e218a845f0c3120cca5}
androidx/viewpager2: {androidx/viewpager2, 4e120688157b3b65d28059fa655f946d}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
androidx/savedstate: {androidx/savedstate, d6949c6b05d7dda0bac26031f4154e6b}
androidx/documentfile: {androidx/documentfile, 061038f9923f00ff010aba3fc97c8fa0}
androidx/print: {androidx/print, 14364bb468f61aa06f56cf4bdfeb52c9}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 644f10a27049bf7a95b02dc8b1084023}
android/support/customtabs: {android/support/customtabs, 59617951b2cdf034252ba5e4e651e165}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, d3bb439332a1cb402cacfab743ea42d7}
com/amulyakhare/textdrawable: {com/amulyakhare/textdrawable, d1e0b9254182a957c915ca55946caa80}
androidx/multidex: {androidx/multidex, bac8b8d1a0c0c6e344b1a6e9a851cd54}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/biometric: {androidx/biometric, b609b5bd8bb7080067660f572ba460fb}
com/otaliastudios/opengl: {com/otaliastudios/opengl, c084117a6137d12a80fc0ec2958a1481}
androidx/tracing: {androidx/tracing, f8a8db9b10e7e50c288d2e09b1b582ca}
androidx/startup: {androidx/startup, 72182f2b88a3bac986764c16c144b4f2}
