a6: {a6, d7a181c78c993facde893c07a58441c5}
p2: {p2, bcac8e39afc1fe445c70d41db3609926}
androidx/core/widget: {androidx/core/widget, da963f1e1923443222ddd3d338cf6658}
j: {j, 11f97b73d9c9e986e4f6b0f0e9ef5c88}
c1: {c1, b90b3c2736ad646a1a72b650d90861ce}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
q4: {q4, b2a2955061ced04cd62af131e6ebbdc0}
androidx/activity: {androidx/activity, 0a2cf9d11263aba129600c4fc318de38}
l1: {l1, 643acda5b4df7aafe7faaad602a3282d}
androidx/preference: {androidx/preference, 3661ab26292def0ef4d16c53a56d54ec}
i4: {i4, b89155ec12822881dccaf178abec21c6}
g6: {g6, 30cad87b097bf1c08ca282800f727369}
com/github/mikephil: {com/github/mikephil, 5b3e0ed7e58047a14fd9acd474e1db5a}
o0: {o0, 9cff3354fe495d0d04c3f28264aa41bf}
b5: {b5, 28c17411c9ea9ede5ab84c0e55954dc2}
y: {y, 0408922feb65bbbddfc898525b3cf7f5}
com/google/android: {com/google/android, bdf167ecdb10f09bdb59359160eabbae}
v2: {v2, 7380b29ebb797bf690bda17e8c8da693}
z1: {z1, 9f713459255e9a1bd0dd0e67f07f7dd1}
t2: {t2, b53d20aea8f6caa22ce031d6ee857130}
w0: {w0, f41470f348f436b750cf23b279d77d94}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 7fdce51ce9ee59efb3a6f22846df538c}
r1: {r1, 0e4ebbb37870cf336c5561916d2d28a8}
e6: {e6, ef275314db95e49b0fabcbffe752f75c}
j5: {j5, 5bfb7e3e92f85dfa775d0570d6d7ade5}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
androidx/core/provider: {androidx/core/provider, b35b315c5c3a65a62baa5e0503e6ab47}
s5: {s5, 3a2d272305ae14d17a2410d0e768d1e6}
f4: {f4, c637d9209a1b085820a9d1d6ebebac13}
b: {b, 190c2bacd537bae6002b1d1664779c92}
k1: {k1, 8e28f22775d98e10b5fcf1af2dfd0d6a}
k: {k, 328af81fb75d8d62d48ebe6e53f00525}
g1: {g1, 3d6e9a79866cf9a1064ed9d0c9468b12}
a5: {a5, 1829a9574b35e701b2ce18bd854706cd}
p3: {p3, 2aaa90d7a99dcff02bb11938aa144ecb}
e5: {e5, bf78859827d5a086e77cdc38f114fafe}
b2: {b2, 8dc6d9eaeed27e36c77a8d6e388d2ff7}
q3: {q3, 48571f59fff5bf57ca653e93653e218d}
d6: {d6, 8a0ee44f517c3acb6b58f975b89d7bbb}
l2: {l2, 0e0b4d5db41dbc08b8acd3fde308ec4d}
