androidx/appcompat: {androidx/appcompat, b1d691de6bdf73422898bd876d4d75b6}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
com/devbrackets/android: {com/devbrackets/android, 4e88b94ef99150eb9bdcb475f64e9e3c}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
gr/mobap: {gr/mobap, f5bd8dcf5e2c03aeb78bde50ab5d7199}
com/google/errorprone: {com/google/errorprone, fb38b95097bc1e8400862c93925cd20e}
androidx/activity: {androidx/activity, e420ad26d3a39ca2d68ae28ceffc9aba}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/core: {androidx/core, 4d587be6559c552a7c0b4ff804c712c4}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 416fc851cce054a5445f13b7d7d74f2d}
com/twitter/sdk: {com/twitter/sdk, 760b82e519b757d7b96d6ad7d26ec5d2}
androidx/lifecycle: {androidx/lifecycle, a9715abffe95ebbdc5043b8636549400}
androidx/fragment: {androidx/fragment, 94d623e61219ce33b3d83a0936c851d2}
androidx/loader: {androidx/loader, 9ce49e3c5325632dbc214354996d4145}
androidx/vectordrawable: {androidx/vectordrawable, cdcba2523e329ce38f427cd4d0f3ffce}
androidx/customview: {androidx/customview, 7d9913df13294a4bba97af3f27ef9dd3}
androidx/media: {androidx/media, 3bd539811c31aec46ba5d7c9b23fde14}
com/google/protobuf: {com/google/protobuf, acf7ef943fdeb3cbfed8dd0d8f584731}
com/parse: {com/parse, aa81007524583632f60f2f9b466f3a0a}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/versionedparcelable: {androidx/versionedparcelable, 2271646c79843cd2bb8612a7d013d075}
androidx/coordinatorlayout: {androidx/coordinatorlayout, aaa0a4967523d38072a3e647b19d424f}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 71074c63be84dd02a9d3abea4ca3cf23}
androidx/collection: {androidx/collection, 53545eaaf0308eddad921106f5b4eb14}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 8e59d2e3ac16c4c9bf1582eb1630d70b}
androidx/transition: {androidx/transition, 00086a3518fffac2aae2f9f759e372dc}
com/google/j2objc: {com/google/j2objc, c87862682c743f2598f33e02f76523a4}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
javax/annotation: {javax/annotation, 1980de4060fac00cb413ef2f0b6db7df}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 8528ad3d434333164336d3f6f45bd5ec}
bolts: {bolts, ed4be08f9b90e6ef5151a1162c2724bd}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
com/google/gson: {com/google/gson, 8dd175675a23269098907311815de3a2}
androidx/drawerlayout: {androidx/drawerlayout, 95657cc3208db16287281d89b7394dfe}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/viewpager: {androidx/viewpager, 5c6a428df6532f6761d17e9f5809e324}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
com/google/firebase: {[com/google/firebase, com/google/android, ], 75bfdead0df4a996f907169c4e92b429}
io/grpc: {io/grpc, ae199a843cf22a33488ebe25bd2b912d}
org/checkerframework/checker: {org/checkerframework/checker, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 647b11ca9522d12514bcdf9e7dab0835}
com/google/common: {com/google/common, 30fca3c14c02be01bee2c6c9c0108bda}
com/firebase/ui: {com/firebase/ui, 923d2505c4adea0b8cdec39bbb04f2cb}
android/annotation: {android/annotation, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/viewpager2: {androidx/viewpager2, df57d617c13fc20141608bf6e4528434}
androidx/legacy/content: {androidx/legacy/content, 6f17542208ee49d01c4f55a89a691e19}
androidx/savedstate: {androidx/savedstate, c24d55b6d5f0586c46d6d0ad700bb440}
androidx/documentfile: {androidx/documentfile, 40d9ee9b6be100fdd435620e6bd88193}
androidx/print: {androidx/print, 60bf5c11bd96ef5e4ddd65374fd1cb0c}
com/bumptech/glide: {com/bumptech/glide, 8aa891bf39f0da242ba9a54455b2785c}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, ed32d2822794f742aceb1ca05106b168}
androidx/multidex: {androidx/multidex, 903f2bd691859506bb806c968dd4e463}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 5817feef792360d5df780053de9187fb}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
androidx/tracing: {androidx/tracing, 1691b9585cc135c6595781ab31216573}
androidx/recyclerview: {androidx/recyclerview, c98d48ef80855f4d8e408f357f136b9b}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, be7b95b5e936d11ecd049cd3794356cb}
androidx/gridlayout: {androidx/gridlayout, b8815b371527d48ffa491299a1469354}
androidx/annotation: {androidx/annotation, c6bd4e2ad03a92d25574f8a35cae12b2}
androidx/dynamicanimation: {androidx/dynamicanimation, 1f9a5d45e51b6a7477a6151da88f6e7b}
