a6: {a6, 58a5bef283a1b529a7f6b3194254914a}
p2: {p2, 64ba5290ffdf40083603037b51ac4a43}
androidx/compose/foundation: {androidx/compose/foundation, 559d8ad6002edd4d6b9289f1d9c3d3b0}
d8: {d8, 27041a57f918c474274d905647fe0cbf}
j: {j, 9f02e7fb1e269688327205036349359f}
c1: {c1, 3177ee3b2d67c718bda8267af20c3f0d}
l9: {l9, 236740f1f8a4a0525ebed8a72da77586}
z7: {z7, 0c5bead85cd009e78fb956debe93ebe2}
q4: {q4, f1c8382ebea26a671ea7ea942dd2627d}
androidx/activity: {androidx/activity, 4358156257cbe11f2b018ea463bb3ffd}
o6: {o6, d9e319862172ded99dea22d2da8d9e33}
y4: {y4, 2c35deedd6b4d224daeba64cb7d83d8b}
l1: {l1, a03e5d1cd8b30ac38b065df294c63cf0}
androidx/datastore/preferences: {androidx/datastore/preferences, 188c22a32ede50e75e38c604bd64e42d}
i4: {i4, e762cdb9d9694e4965f2020bdff18df0}
androidx/core/widget: {androidx/core/widget, bce8b5437b915fb24caeb1720c1d4eac}
k8: {k8, f4aac92c7ae03f9cd74574f23239c727}
g6: {g6, 0fdca13c51577fc2e29ce07bb9e2c28e}
o0: {o0, a2156158c2b0212b4827026166105050}
r9: {r9, dcec2971f76dc60c026d127439996452}
androidx/test/internal: {androidx/test/internal, 539fc2ae07d1b4030e1cd18331692096}
ua: {ua, 44ddf89aa01b261d88703875d21858ed}
b5: {b5, 637aed7000ec5d3017364a06c758bb65}
y9: {y9, 8ed697d40e12c12e2d8c3fff2dd21b22}
com/google/android: {com/google/android, cfb434b80f96524678d32e63b81bf6a3}
o9: {o9, fe3a2800d122e3872de5abe9db59aae5}
v2: {v2, 602d48ed0248d846798097218b604ff3}
w8: {w8, b01898d08d06001bfaeab3ce826d76f0}
z1: {z1, 5808e02ecc3877bd7027cbad4ef27410}
m6: {m6, 2c651262e001a59cfe57a99815646443}
t2: {t2, fd9e3215c681a8430dde989ecea06abc}
ga: {ga, 2a309a7b3a60973ec2b7aa718fd422ec}
w0: {w0, 6b712b5590f155f5d17d1b4134be9be6}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 60d56d0cf735f02643da6cbb50e104bb}
ba: {ba, e11d9157b45974d8d9128dd19d7b32b4}
net/sqlcipher: {net/sqlcipher, 6d09cee39bf094c180bde1220c5ed730}
e6: {e6, 4bfb6dacc293ac9d4b9b93e91284417c}
j5: {j5, 6b2513ea181e6ee63575995ee1d88c5d}
ia: {ia, e12e144679e665b05fb6574ffe63c427}
y: {y, 368cb439d402f3d774b5b1c19ddeac43}
f4: {f4, 0f8f7c7a078d759b24b09d6263e42100}
b: {b, 44b751ff15f969ab321e2f811ae135f5}
k1: {k1, 756c04acda6a617ab7d958f95f6d094e}
d9: {d9, b1dcc4cf7975b9e3a13df99ec03efd20}
k: {k, 8c1ab89151916052fa2b3fc9714421b9}
g1: {g1, 2b5eb17c1735b0cbf196484b23f0372a}
a5: {a5, c402c7828a40d8a3bb44d6b5eb007e39}
p3: {p3, 1703798cae726e2a1c20a15f9244f882}
e5: {e5, 326e2d771ac67ac3c9407ae20acd81ec}
androidx/savedstate: {androidx/savedstate, 5cf9b1614a590ce6f5e5fdaff6384b81}
b2: {b2, 49599cf3cdd780deb562c66e8b395b37}
ea: {ea, 25763171449f98a898bf6d63a0815473}
q3: {q3, d4e1a1cba6d01fe116943a96cc67d3b0}
d6: {d6, 3d587340cc9d63849dbfc2efa30c45ff}
n6: {n6, cf7fd8cd4cc2c4cf6f17324dc9cec367}
wa: {wa, 0d1f8ebb6204c3091f4af0589ab2a478}
l2: {l2, 3b2c9c40e9b319036c1098b850746d75}
i3: {i3, 1890c451ace9c16320ebaf1c2c7e5f20}
androidx/core/graphics: {androidx/core/graphics, 981fd1a9d4c7d3eaeabfa311e1cd144f}
o3: {o3, 55dade763a601ef776d3f56e103994d7}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 4b316f6d8493c7420102c89ced4174aa}
o8: {o8, a3edc49e0b9ed17e7847cbe7a282127b}
m5: {m5, f374894bc43f08ef11ee1803046c0c6d}
j2: {j2, ba2ba22a19695f6bf85926e0e2da5787}
v3: {v3, 313e92498f59c0ae71b2ea2e4c16350c}
f7: {f7, 32cc89503ac7a09131e418eb6fa1ec40}
y8: {y8, 08c8d24d813436fbbc1369a6d720b395}
h2: {h2, 3599daeac5c2846cbbe73d47e5c4b1e2}
n5: {n5, e882d8897235d5c47421ce248ecceb82}
u3: {u3, 81920a97ea080614387953da4fafd32d}
