retrofit/mime: {retrofit/mime, b118da15ee7f6b3f8cf1a31585d0370b}
org/fourthline/cling: {org/fourthline/cling, c09327c9870c17bd4158eb2407daef72}
retrofit/converter: {retrofit/converter, 210913d95377e9b023f8e1a5c758676c}
timber/log: {timber/log, 93e28e4b41c541af0cdff94cd664c15d}
android/support/annotation: {android/support/annotation, 2f98f4fd60829d2567feda6a980af495}
retrofit: {retrofit, b35883032459b9fe14b513ce4bef253c}
org/seamless/xml: {org/seamless/xml, 5dee63c5947ff25f3b430697d271e2e8}
retrofit/appengine: {retrofit/appengine, 95ecc8566a606cf83f26f6894363a664}
org/seamless/http: {org/seamless/http, 80be57bb0c5b5a24c48d6f98ba7af28e}
org/seamless/statemachine: {org/seamless/statemachine, c49dfc20f14fafb4adb2fbc656f5b0b3}
retrofit/android: {retrofit/android, f32835a91fc30464378ed59b8193b62d}
retrofit/http: {retrofit/http, f92301e57a7a12e3509f4786ff2e8f09}
org/seamless/xhtml: {org/seamless/xhtml, 408f2f49e0742f65a007212cd846d406}
android/support/v7: {android/support/v7, 67ccc569efe774f30ce8399c03f58406}
org/seamless/util: {org/seamless/util, d7779c7baae70dcfbf7fef0ce0bd2270}
javax/servlet: {javax/servlet, e792e9cf5d82bc6c470c76b67ed714f3}
org/eclipse/jetty: {org/eclipse/jetty, 5e11db6d76bc14cb7ea697e5d2387319}
com/stericson/RootShell: {com/stericson/RootShell, 17babb47cb5828a4af5477cc45fb3804}
de/th_ht/ambilike: {[de/th_ht/ambilike, de/th_ht/libhue, ], 2f6e8a401862e0b77d646a9c0f542542}
org/androidannotations: {org/androidannotations, aaa1ae1db4621901b364777aeaa15231}
com/google/gson: {com/google/gson, 957b9ca9064226164ac2f18d75b7d117}
org/dbunit/operation: {[org/dbunit/database, org/dbunit/operation, ], 020eb29b524d7ba672d9d48bc72db455}
retrofit/client: {retrofit/client, 49ad8342a893c9f92e3f527c12fbee08}
com/sun/codemodel: {com/sun/codemodel, 3e98c5556cea7684a48df33f069800a6}
