androidx/appcompat: {androidx/appcompat, 020fd8c77923211dfa8e66950b876db5}
coil: {coil, a11d978a67470d4f0c36cbb67a8bba0c}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
coil/fetch: {coil/fetch, 46efc6439512881205283c1a1d7d9585}
kotlin/internal: {kotlin/internal, aa12d979127214bfeefb4046182633e6}
androidx/activity: {androidx/activity, d3c27bbc5a941b3e24a884b91a414f58}
kotlin/sequences: {kotlin/sequences, 756014df0b33bb2fcfae349083a804ae}
androidx/compose/foundation: {androidx/compose/foundation, ff15f1e937a3786fff1e75ca64a06520}
androidx/datastore/preferences: {androidx/datastore/preferences, 3af923a5a38a55b8477f013ba63bbd38}
kotlin/math: {kotlin/math, 2a6049f73857964459ad37e791f613ff}
androidx/compose/runtime: {androidx/compose/runtime, 6b9598c4ffe12e8ca907a62e4bf24f96}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, abe45f814abbfffac60a509b9c30e10d}
kotlin/random: {kotlin/random, ef176d54bd21f617e5856b8151cf5a6b}
coil/map: {coil/map, c8f0ac4f97b79ce7ca88832cd34f1e4a}
androidx/cardview/widget: {androidx/cardview/widget, ddbcba9a4c74db7ff4c3655b03ab96ee}
androidx/browser/browseractions: {androidx/browser/browseractions, 82ebd8c8f40e5c3c35cdc0c56c2182de}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/hilt/work: {androidx/hilt/work, 55ebc1712c411cee1d195b9523370e41}
androidx/savedstate: {androidx/savedstate, 87cfe0d606a238d6a20f0ad620aa4db4}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, a199c0dd81e423ae6ffafef66e10254b}
com/caverock/androidsvg: {com/caverock/androidsvg, 64f17b9eddc078609b3674c2572170d3}
com/ireward/htmlcompose: {com/ireward/htmlcompose, c7747a80aa856643341001bdac2383bd}
kotlinx/coroutines: {kotlinx/coroutines, 8961004b21cada8ccdc5e589d9b1e2c3}
coil/intercept: {coil/intercept, 27a4712a88d00d804171b2e92db5f622}
androidx/compose/ui: {androidx/compose/ui, 3e2903bbdbbb9c59ff71dedc3f5e63f0}
androidx/loader/app: {androidx/loader/app, b6e8c458a4a8ec7201c7a0642ba8386d}
coil/drawable: {coil/drawable, 13da1024919c7fe22d2306fa395076d3}
androidx/room: {androidx/room, 4046e56170538806e8ea167338a727a4}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, ], ffb95802edd8cfea06a4f2eca20eac2b}
coil/compose: {coil/compose, cc51ced3c4136095e8d02dfebecc81eb}
androidx/sqlite/db: {androidx/sqlite/db, 7a269971e1f443a09d725bd2e2581297}
androidx/lifecycle: {androidx/lifecycle, ba6757a2d4fc32e9f36015f9ba883334}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
androidx/navigation: {androidx/navigation, 8b3a0387b3fbdac9e1520af18b8ba93d}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, b4ac24dfd4c14b1070511af4e960a907}
kotlin/reflect: {kotlin/reflect, 2f98f4fd60829d2567feda6a980af495}
kotlin/text: {kotlin/text, c40f8fe383773059d0d7432840a39c11}
