androidx/appcompat: {androidx/appcompat, 49c72158320f5cbe4deb6c0149a341e8}
androidx/drawerlayout: {androidx/drawerlayout, bce918d266069ef81c106050c3e4127e}
cats: {cats, 3009373bae2293613a786ba4a01d3504}
androidx/room: {androidx/room, 8cd73881d6f4804785319e077e6f2ab6}
androidx/activity: {androidx/activity, 14fc690382537a7dba4026d28f532875}
org/aspectj/runtime: {[org/aspectj/runtime, org/aspectj/lang, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/core: {androidx/core, 89d0edc2ad4c602341f7b3941c421648}
androidx/preference: {androidx/preference, 38e1ab9db14822435eaf5d29d618d38c}
androidx/sqlite/db: {androidx/sqlite/db, 99c4f6158a075d996d6a23196bcdfd54}
androidx/lifecycle: {androidx/lifecycle, 63cffb3413b6abe656a912becd2299b2}
androidx/fragment: {androidx/fragment, 168159e81a028a726e9281efaa95b06e}
androidx/loader: {androidx/loader, c67e9f2d16b66521d7ee8f7536a2ef5f}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 16ce224bc06ab461c581266ba4085953}
androidx/vectordrawable: {androidx/vectordrawable, 7b3e44555f91deba574bbde2867d17e6}
androidx/media: {androidx/media, 4c9c2dd6cdb375b0637ae2e69daeca8f}
com/google/protobuf: {com/google/protobuf, 41d47d8148ce29c4269e3a94a8e6f418}
com/google/android: {com/google/android, 29a20f41b48471dff255eed57115ed74}
com/mp4parser/streaming: {com/mp4parser/streaming, ba4dc03c6e0412cd124ad475c8649ab8}
androidx/exifinterface/media: {androidx/exifinterface/media, 654cc4f80f24695e344c0a66ebb64601}
androidx/versionedparcelable: {androidx/versionedparcelable, 3ce381da77af56f96ad4eb291f34653b}
androidx/coordinatorlayout: {androidx/coordinatorlayout, e8546691506d80d50bac269ec54d95c4}
androidx/collection: {androidx/collection, 8b0159a3186c5517a89c5a6f2d248ecb}
scala/collection: {scala/collection, d41d8cd98f00b204e9800998ecf8427e}
androidx/transition: {androidx/transition, f17f25c34952eaca408a6266f49d1a90}
cats/arrow: {cats/arrow, b0956aeff513e73350b1fd43a02caf38}
com/googlecode/mp4parser: {com/googlecode/mp4parser, ad9c461b9d64962fd6137a11738139ab}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, c675d54c5e9aa81075651fbe39cb0d83}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 5cde6e96464a618f83b1850c972126ed}
androidx/multidex: {androidx/multidex, 1ff94949a2dc410b107e1663f892f569}
androidx/cardview: {androidx/cardview, 8dccb91efe19487801e58f043a0c431c}
com/coremedia/iso: {com/coremedia/iso, 8d015c210f7606c394c0007b90863ad9}
com/google/gson: {com/google/gson, 388ec85e7324230feeb7e01399ea02a3}
cats/kernel: {cats/kernel, d525116982f9fd7c2e36359c94d72293}
androidx/legacy/coreutils: {androidx/legacy/coreutils, c675d54c5e9aa81075651fbe39cb0d83}
androidx/legacy/coreui: {androidx/legacy/coreui, 46fcfd979e6ee7ef6bb14480fb90ff02}
androidx/viewpager: {androidx/viewpager, eeec8ce4f1f49f0d54b4a5a40e502ab7}
com/sun/jna: {com/sun/jna, eea650ae12447137dcc9f492f89b4f09}
androidx/interpolator/view: {androidx/interpolator/view, 4d35d25329f2bbb4ffbcb4320e097379}
androidx/legacy/widget: {androidx/legacy/widget, ed254098e67c3a005e9253fea8042717}
androidx/paging: {androidx/paging, df23dfec13fd31a24ff04b98cfac7885}
com/mp4parser/iso23009: {com/mp4parser/iso23009, 5eebcb4328a5f0bf08965b2930b32600}
androidx/work: {androidx/work, a73b96b6190bf9768e7d64680ae3f500}
com/mp4parser/iso23001: {com/mp4parser/iso23001, dfc63d02306c669c5955c9f054ecbef4}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 149750d9d8d9998cdfeb455df7a44a78}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/arch/core: {androidx/arch/core, 4c8ec3b4cc066b5dae02ddc32842488e}
cats/instances: {cats/instances, 32fe614c599ca7dfc256896ad44f5ab7}
androidx/viewpager2: {androidx/viewpager2, d17ce248d14e5d955e7aa3a77120b41d}
androidx/legacy/content: {androidx/legacy/content, 3fe80c7f645fce2f05ccb54a8ea9ed22}
androidx/savedstate: {androidx/savedstate, 8ec67bf2d04fa5c906105e4c4b087aaa}
com/jakewharton/threetenabp: {com/jakewharton/threetenabp, bbb03332ca836a312cf20fe38a91de37}
com/bumptech/glide: {com/bumptech/glide, 15006ecd31dc6bc9f7ce6c11e5011fd5}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 1b4af54eeefc9dbe2654ad0abcd93938}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 4f694a4cde5f82f264d487d414e67092}
androidx/biometric: {androidx/biometric, fce6314a9ef163211e8e118488a9ce0f}
com/google/i18n: {com/google/i18n, a974e0366fe09a7a97b54b9d581d1bb8}
androidx/recyclerview: {androidx/recyclerview, 21482823a7bbeffd47a262990d7c18db}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, c675d54c5e9aa81075651fbe39cb0d83}
androidx/gridlayout: {androidx/gridlayout, 36bc8683f8c664a950cc2cb1fce07d01}
com/waz: {com/waz, 254ab3fc740a88c7a2edcbbc1e4497af}
androidx/customview: {androidx/customview, a2947f8e981b8016870294f499822876}
androidx/dynamicanimation: {androidx/dynamicanimation, c675d54c5e9aa81075651fbe39cb0d83}
cats/data: {cats/data, d1de457fdeca45baf4576034420e1d5f}
com/mp4parser/iso14496: {com/mp4parser/iso14496, c23870adac2deaccd17780b952a449f6}
