p2: {p2, 035da12be4ccba58b0a64d70fa18b0cd}
A: {A, e57b7ae508b0b656cf4d42add30c74ed}
j: {j, 9ee824eb9b7aa25854ffe0b3f2c19584}
c1: {c1, 5b314887d02472a2037a74ccc41ae9a0}
c3: {c3, 3945208111596d50ba953e262fbcba36}
H2: {H2, 30a059febd79ab1e270d8f5540972365}
androidx/core/graphics: {androidx/core/graphics, 6d7ffe1ecdf95dd08536898bd900d2a5}
androidx/lifecycle: {androidx/lifecycle, 3acb1a96894a46c9d4f7977702f08337}
l1: {l1, 361ad621b393b6ac97fa0f5d6b790f42}
androidx/datastore/preferences: {androidx/datastore/preferences, c74dd2ce96fc2c9485fbfbe578179215}
J2: {J2, d9b60710f50923ddd27ba7b908341f42}
o0: {o0, 7341b69904038c4ab0668dbbd3725a07}
androidx/compose/ui: {androidx/compose/ui, 72b8df956d260c2590e1d146ee3f6515}
K0: {K0, 9f387fbabcd895626ec88c2c109e3e77}
R0: {R0, 4cd322892964c8dba3412e27cdbca647}
y0: {y0, 5469b609ff112da696f9d031a036391b}
P2: {P2, 3543c52eb7be2d992cea98a62bd4cf95}
Y: {Y, 27bcc63a944642bec16628faeb0cd77c}
Y2: {Y2, fb72c816e56968ff0be5467db9c7fb8c}
v2: {v2, 72d44b9ce568cce97a91dcd990fabbdf}
H: {H, 28c69d55caa7dac2612096d21aa3fbc9}
z1: {z1, 46d0be06680936d761777c657e062f0f}
w0: {w0, a3b0abdcd4ac400d3fbc2adbdd90af49}
r1: {r1, 648c92d0358596c9e10acc37c8e90546}
Z0: {Z0, bef704b944ca50dfaecdce9bd5425062}
A0: {A0, 2cff0bf34300bde4afdc96bfbce3ab64}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
O0: {O0, 20fc39e126633f9ba73a5606d266d871}
I2: {I2, 4f7f770113d3f2a286adbbbf6a9e7355}
d0: {d0, 659d02a95a520d0f65c9295502af277e}
b: {b, 52173df8defee44f05f3ae3c3de9a705}
k1: {k1, eae2257fb4a3eb86e62f2575f90dcab6}
J3: {J3, 55988afcdc92336d662a4d1d42c2e46b}
k: {k, 9ec50cc1e3014457ea0ef057e46f0b85}
g1: {g1, e30787f3e52265befa95ec3dd1990cab}
c0: {c0, f7d034f125252c2ebfc4e547f42c65ba}
p3: {p3, 34358e15e3ae6a2ac81208ade926fdf5}
U2: {U2, dae64b034c129d7b4ffea4a2f247ce21}
Z1: {Z1, 48311242a6709fe17896f89b8f52162a}
b2: {b2, 8b76795774fcc5c49d94e3bc883f6168}
H3: {H3, 05581ba0900400ead8a2210991328be3}
q3: {q3, 945ead10bad20c465d5220c6ff24508a}
K3: {K3, 4f6ac2c523c96026e97fc28080f14901}
R1: {R1, 646690c19b778d7ccacaa2d0b246f2d3}
l2: {l2, 7f4486207377a6900725b7e5607d2472}
i3: {i3, 83d85b544887c0f17eba99c243196cf4}
V0: {V0, e03a085a1a10340a399ab57d186cea2d}
D0: {D0, a51a15cacf7ad08d405c2588e5a72682}
o3: {o3, 8cdfccd61d9b71c7c614363b059b5c49}
B: {B, a8525ee99a391ee5cc94912d9e104c43}
G3: {G3, 4181f250a23fa6893ef2c8c7638e58ee}
androidx/compose/foundation: {androidx/compose/foundation, edf073eec6c7a8aea04992cda9c42dd7}
t3: {t3, 2fda574ab9dba2767249df676ffaf130}
j2: {j2, 2893a64e22454836f0173a015e1820e0}
v3: {v3, 8b1cefb0c64f713a12a9bc7c6848d630}
P3: {P3, ca807b47a118476ae272b1717ec43563}
h2: {h2, c32ca5be5b511d6de1393a636899dddb}
u3: {u3, c6dbb3c1c21a2895596327505b9b0acf}
S2: {S2, e3c0a425ec2c47b67599a8ff5554c565}
Q3: {Q3, 6946e9fd999572f465e45217471bcd58}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
Q: {Q, 841379e9737481147b1dad3ca0d73c43}
w3: {w3, 67f8a8d01765c460bd192a81b5c9bf45}
z: {z, 9fa17ae434c8484ee62585aa54a6950a}
I3: {I3, 1df0db3ccb96d67908383ea79b312fc0}
d1: {d1, dfeb8c23a20731e9fbcfbf28b235fe78}
