coil: {coil, eceb3d6994f71d8a76000a3fce4511d3}
androidx/core/widget: {androidx/core/widget, 214c4391f1f146dbf0862fa66ccfed71}
coil/fetch: {coil/fetch, 57d27788679fad72b3585b9f495037ee}
kotlin/internal: {kotlin/internal, bef0dca34a882403a21aad6246edf1ad}
androidx/activity: {androidx/activity, b412c03ebbe1b2f2e82ce32068093899}
kotlin/experimental: {kotlin/experimental, a84ff0bc1a5adae4e7ab326cdece7a43}
kotlin/annotation: {kotlin/annotation, f3950e884821c38027c428fc214a8a08}
androidx/core/hardware: {androidx/core/hardware, 6ae59963ded1333eaedbe8f0ee56ae91}
kotlin/math: {kotlin/math, 645ee24bffce2861d109b53ef4605ac9}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 82e99ecc341cf156077d233c585337e4}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, b76a321c818ccb30503f050ed60fc00e}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 81b9d5a15de82fbadd3ffabccf114d76}
kotlin/random: {kotlin/random, 8d677981f4dc471a76cf4091bd0cd21a}
androidx/core/provider: {androidx/core/provider, 61d19c1fd95c965242ca6efe8ea49b8d}
kotlin/streams/jdk8: {kotlin/streams/jdk8, 24226fad7944a0e1c4582aef4af39ffc}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 11ef99234c39d03852877ea3b2d8c110}
androidx/core/os: {androidx/core/os, 92dedea56d933c37c710c57e936c612b}
coil/map: {coil/map, 165bd529027359a17bf7d854c3f4a39f}
com/mikepenz/crossfadedrawerlayout: {com/mikepenz/crossfadedrawerlayout, f7ce3d04e82ce50a3302e515416aad39}
kotlin/sequences: {kotlin/sequences, 7746b5f49161cad7f307499b7dbc7078}
androidx/core/animation: {androidx/core/animation, de29aecd76e334c154fc738164194abd}
androidx/cardview/widget: {androidx/cardview/widget, 95afc987cbaecebd8b1e0b18a908c836}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/core/internal: {androidx/core/internal, babd8658201ab004a4b4cb95f2a0dc2a}
androidx/savedstate: {androidx/savedstate, 554472b08f49cc4b48338e52f14da870}
androidx/core/graphics: {androidx/core/graphics, b4890bdbd108d929e99fe18a26aa0e41}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, b3b7fcdfb55d0ae7a301d53537cf5b56}
kotlinx/coroutines: {kotlinx/coroutines, 95d884849b76887dc533a9dc5df7f9e1}
androidx/documentfile/provider: {androidx/documentfile/provider, b75389c9adc5e92518f1437485feb07f}
androidx/startup: {androidx/startup, 7e0737816647b03280b1305bf691238e}
coil/intercept: {coil/intercept, 75d6e3d0d2ff23ff46718a36b1adb381}
androidx/annotation: {androidx/annotation, 1c6d4177642359ce837856afc3eccb7e}
androidx/appcompat/content: {androidx/appcompat/content, bf2efcba963a3ec0bfa08023dc647415}
androidx/loader/app: {androidx/loader/app, 05563481ab5da252f0e0f9f8ab419d60}
coil/drawable: {coil/drawable, f46b1c0eea038e84be1918e9beba8d88}
androidx/lifecycle: {androidx/lifecycle, 1135ce7b426d87741fa763c0f164414a}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, e37b482468c081362f4d3c612f172df2}
kotlin/enums: {kotlin/enums, dc7b6e69273f346a4728f9bb68ef0a5f}
androidx/navigation: {androidx/navigation, ade20fc60d400bad71efde4e596c37e3}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, f5f057703a9d5a4cee04be8f5cb1a9e5}
