rx/observables: {rx/observables, 894dd6176610cfe849df13ebfa3cf0c1}
rx/functions: {rx/functions, 2a14f3cfd7dbbe110ae85474c1aa4fdf}
com/rejasupotaro/android: {com/rejasupotaro/android, abb93419687977f251a17ab51f06775d}
retrofit2/http: {retrofit2/http, 987d4ae0f1c9f0210bcb1a5302104828}
rx/subjects: {rx/subjects, 734ab2342fe984674f6646081d4f1dd1}
rx: {rx, 369139eb50b33403ba10d2a838aa69b5}
com/github/gfx: {com/github/gfx, 20f6221a16bc850069983859b68fa75f}
org/apmem/tools: {org/apmem/tools, 1236668f8f286e3e570ac97b2e60e580}
okhttp3/internal/http: {[okhttp3/internal/io, okhttp3/internal/http, ], 0bd7a3b7f19efabe78e3389eb2fd217e}
org/parceler: {org/parceler, c1af61f176ac8e692f6aba26d747429c}
rx/android/plugins: {rx/android/plugins, 73e4d24126d9a9c9c3c7d77f9470362b}
io/fabric/sdk: {io/fabric/sdk, de67d9fe26efec0d8c10a698c6df6874}
rx/subscriptions: {rx/subscriptions, cec531142bd5084ee6effe5c51941c17}
io/codetail/widget: {io/codetail/widget, 510b6e3afabe4e1b98c76e6073e81871}
rx/internal/operators: {rx/internal/operators, 6ba2253ebc7b2cfe45e9f2684531ba60}
android/support/annotation: {android/support/annotation, b0adb10c115d59b33d39026729be4fc6}
rx/android/schedulers: {rx/android/schedulers, ceacf358f802080f05df95e70ff24b56}
com/google/android: {com/google/android, 48362c9371e4b3ab5e343f901c31ac55}
retrofit2/adapter/rxjava: {retrofit2/adapter/rxjava, 16b74b085f9455f3a1460bbfe8d99982}
okhttp3: {okhttp3, 486404f50f657db7baa24c9bbd0e98f4}
permissions/dispatcher: {permissions/dispatcher, 2a04b3c2f9d2dd99b70c3f8d41cb728c}
rx/observers: {rx/observers, 67e5acb4d4b49cc5c10b2d8d291af4b1}
dagger/internal: {dagger/internal, 653f3e665b5b3e6099b368d83ec8eb86}
com/like: {com/like, 37d80e524cf96d99d3ae569a5f49aa3b}
dagger: {dagger, abc11eb8eb82db4ba1e42666bcf9b79d}
android/databinding: {android/databinding, 861a695f9dac724ebd7ad2c4e33341bb}
android/support/v7: {android/support/v7, ce60d16cc54a0cb4685cb2059243309d}
com/jakewharton/threetenabp: {com/jakewharton/threetenabp, bd207db2721c656cb3e2553bb3ee6f50}
rx/singles: {rx/singles, 930637a30af8e4203a31ec5654e6e81a}
rx/exceptions: {rx/exceptions, 640e6008c186cb1ed24e580ae5da0731}
rx/internal/producers: {rx/internal/producers, 1da5e50c0cd6f2f37b7a9778a67fe690}
io/codetail/animation: {io/codetail/animation, 0ce55d8a05823ad9c301826034622816}
org/antlr/v4: {org/antlr/v4, df58e895d07820791c1d357085c8db74}
org/threeten/bp: {org/threeten/bp, bbf997bc9da910c9883620cee62aa1e8}
net/opacapp/multilinecollapsingtoolbar: {net/opacapp/multilinecollapsingtoolbar, 93d5a74d851a4a55c59fdea796b479a1}
retrofit2/converter/gson: {retrofit2/converter/gson, 9e61d451c5b274800055963186895144}
javax/inject: {javax/inject, acf7ef943fdeb3cbfed8dd0d8f584731}
rx/plugins: {rx/plugins, e1099f4824a9c8bb992702a2bcf4cd6f}
android/support/customtabs: {android/support/customtabs, 8e074f6b4823f1e925de8e7a78b8f935}
android/support/design: {android/support/design, b2dacff8c3d0606acabf3719a4f526fd}
io/github/droidkaigi: {io/github/droidkaigi, 7726e6daf1827a503eb07eab2592b765}
okhttp3/internal: {okhttp3/internal, df443fb059609f0397131fbbbd4a598a}
com/crashlytics/android: {com/crashlytics/android, a6ff1a68337a1073a34be42c71c2f43d}
rx/schedulers: {rx/schedulers, 760734780ce0f67a02ace456b9ae8cc5}
com/google/gson: {com/google/gson, 945f3a61a85b3627976f1501e41ec8e3}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], 2a896a14ef36b9832758582b0e074f89}
okio: {okio, 1c3c5846bb3c90344ec16622ded09518}
rx/internal/schedulers: {rx/internal/schedulers, cb385d637ce42030343f84f987a52eb4}
rx/internal/util: {rx/internal/util, 03ce16188460235e5201e5b720cace6c}
retrofit2: {retrofit2, db09ccf1a35ad5c03d991eea2ccf87a4}
