androidx/appcompat: {androidx/appcompat, 187cc31e64306accb7b8e42cd9b7f4a1}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, 48c5d7af1daebad1952c4bba6ff55440}
com/google: {com/google, 9ba574a93a6a2a9dc44821a0b6df0ae7}
androidx/activity: {androidx/activity, e2927bf49cf3ac105c648c382ed9b387}
androidx/core: {androidx/core, 2ec2dbeb672fef097f90160ddbd4f670}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 4b9c71fce5359e3f565417eb9e01471e}
androidx/sqlite/db: {androidx/sqlite/db, 6d1c94d68c3bf52284d4d7b0a9665d49}
androidx/lifecycle: {androidx/lifecycle, 8574b201bac8be6815f5a1cd0e665a14}
androidx/fragment: {androidx/fragment, 51e2f17d16bb89874a0e133695c713cf}
com/gmrit/food4all: {com/gmrit/food4all, 758c53629df105655a3f3173bf0f9674}
androidx/loader: {androidx/loader, eda90612cbfe7c506a0298714dd6aa6c}
com/android/volley: {com/android/volley, b1ff67dd4314b0e4824dac39e63967a1}
androidx/vectordrawable: {androidx/vectordrawable, 94daa4037456e310a7a00733d8666b88}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
androidx/versionedparcelable: {androidx/versionedparcelable, 63ce5ae081b48eff7a9e22ee2b258f46}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 11f5d4535855864e60781d295e410ff4}
androidx/collection: {androidx/collection, f71afebb59dbd54943f16911390e7138}
androidx/transition: {androidx/transition, 8ae4b72eaf82b15a2ff1e738193d8d5c}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 88b7cc7356d6fbb96889f553a5b0fa46}
androidx/cardview: {androidx/cardview, ecb8fed853ed83279858740eedc802f3}
androidx/drawerlayout: {androidx/drawerlayout, 66e7a0c03f4ca9f2d4cc598002b5f9be}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/viewpager: {androidx/viewpager, 15630c150d035fbf1e32de16a8342be9}
com/facebook/shimmer: {com/facebook/shimmer, 791b810b1c41c4c1a9a473b4fc332e06}
androidx/exifinterface: {androidx/exifinterface, dd4a4786c5bfec17ebc0e198b66a7c61}
com/github/paolorotolo: {com/github/paolorotolo, 6c64bb82c1a9f511035df9cbfbfe8d2d}
androidx/work: {androidx/work, ee51cff93c886b64dce1ad7f32103816}
androidx/browser: {androidx/browser, 578d37d7f5966b1cc34d278077ba9baa}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
androidx/viewpager2: {androidx/viewpager2, 241007484c91118719bf951d03848d93}
androidx/legacy/content: {androidx/legacy/content, 7cad5a450f4ae8c92f752bf8c87ba91d}
androidx/savedstate: {androidx/savedstate, 0d20415b8f4cd0ce45958b64671cc2cc}
androidx/documentfile: {androidx/documentfile, 0abddce32fb23eaf16d5ba98aa268b58}
androidx/print: {androidx/print, dfb95ec0f32cf95f9de078074e9ec4b5}
com/bumptech/glide: {com/bumptech/glide, d6c12ee7c8f0fe655a15579f18fca2e4}
android/support/customtabs: {android/support/customtabs, fd3cb656c50befe10b474f99bcbe8611}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 117aee944fd4732020d490ab8c0cba18}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 42a2966054f170310eae7f646199326a}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
androidx/recyclerview: {androidx/recyclerview, 9d8045ca466cdd3a5dd4f77ce4f968dd}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 62d3e6ca6649528aafdeaf725aefde95}
androidx/customview: {androidx/customview, 4fe529ba107b0c152e56f0c1be60680c}
androidx/annotation: {androidx/annotation, cb553b92050b29f7d27e549e2de290e0}
