androidx/appcompat: {androidx/appcompat, 4e955d18a5e1d0bca8ab92216b8a634d}
com/evernote/android: {com/evernote/android, 65cad29987d20c5826168cb4144b7ea9}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
androidx/room: {androidx/room, 1c7cceaceedcc8749d59cf603bdeabc6}
androidx/activity: {androidx/activity, f04a6bfcfb4b7646dedcdbae14d7cac4}
butterknife: {butterknife, a7c28a9ce54844cba1b1bafccd36c8ae}
androidx/customview/widget: {androidx/customview/widget, 8a2cb75f73f80808d569a2db4ad89e9a}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 9ca628917ddd7a8ffabb73b9d94b914a}
androidx/preference: {androidx/preference, 0f89dc3a8ae5809886e58a8a8374d668}
androidx/sqlite/db: {androidx/sqlite/db, 2c303869bdaad68f41505267f2ac8b75}
androidx/lifecycle: {androidx/lifecycle, ecda22d9382fcf2551bb1562eeaeced6}
androidx/fragment: {androidx/fragment, 771733bc520d359d9f0721fbb5864fb8}
com/davemorrissey/labs: {com/davemorrissey/labs, 8e8bdebd862add151a0031f3f61c7bed}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 818cf5157b747375228f6687c23112b3}
com/google/android: {[com/google/android, com/google/common, ], 04391a3a2bbeee96f982c3b319fec6a6}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
com/otaliastudios/zoom: {com/otaliastudios/zoom, df61e6ddfde7bbd0600e7d3ed62ec1f6}
androidx/versionedparcelable: {androidx/versionedparcelable, 2c14ff42bbdcb1d0f47e846670fb16d3}
androidx/constraintlayout/core: {androidx/constraintlayout/core, e731e1619cd0b571bff5348467f7ea89}
androidx/core: {androidx/core, 9b8f331ae671f1aaec4d88c1e55987dd}
androidx/collection: {androidx/collection, b8ddde2fbb28ac89eccea3c2d526f476}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, af69d2d238f1516638ff5918d3d7c3ec}
androidx/transition: {androidx/transition, 60ba081e6e8b28605b7cc47a6bb86edb}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
dagger/internal: {dagger/internal, ccc69431607e0c2fa4dd4cbb2c6747f6}
com/santalu/aspectratioimageview: {com/santalu/aspectratioimageview, f8287b64212ca3d011c9dda7ee53bc1c}
com/livefront/bridge: {com/livefront/bridge, 301e9919aa7159f60d81b6b2381cf2b4}
androidx/cardview: {androidx/cardview, 018647c38b6e9578fb4274a4989252b4}
com/airbnb/lottie: {com/airbnb/lottie, 51ae15e46ea2057e4ca615244329c242}
androidx/drawerlayout: {androidx/drawerlayout, 59b5c1fd53eea62d41c4bae309fa7451}
eu/toldi/infinityforlemmy: {eu/toldi/infinityforlemmy, c65aaa6ca2772ae22a750d75284228e1}
com/deishelon/roundedbottomsheet: {com/deishelon/roundedbottomsheet, 2d2244fca01dc5f6fc5b19a020372272}
androidx/media: {androidx/media, a0542a0560dd34db9ba94fe708246cac}
androidx/browser/customtabs: {androidx/browser/customtabs, 090f609f4536615c2ea125b4df5e45e6}
androidx/viewpager/widget: {androidx/viewpager/widget, cb85ec0c9225da72c006726b3981ec74}
butterknife/internal: {butterknife/internal, 3977727df3e7eb40f7d6dd784deb860b}
com/github/piasy: {com/github/piasy, 4aa0e2a011ef0cb575f8080966f136ba}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/paging: {androidx/paging, 7e4fdbf4c6367c09c116026ba6d0acee}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 52daeaf413e4c542ef5d91baeea46837}
androidx/work: {androidx/work, 201813f0eaf78a687ce0245ccc5ff2bf}
app/futured/hauler: {app/futured/hauler, 52867d0715e42803c7b09ddf3c6ff441}
com/squareup/okhttp: {com/squareup/okhttp, 6d14729b10fb355c21dd31de36cca815}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 19800ad8f43b643ad72d8ea23c9ab876}
androidx/arch/core: {androidx/arch/core, 06c7167ef85837abcd0aa7e466a41065}
android/media: {android/media, c4e9eeb25e17c46354752ac4239a9772}
androidx/emoji2/text: {androidx/emoji2/text, 2bbeced8641b25cdff61e89908394260}
