androidx/appcompat: {androidx/appcompat, 7f046f90964d0c6ddcb4db6ee887e8af}
androidx/compose/runtime: {androidx/compose/runtime, eb00135dd672c19122efa77a57473ab3}
androidx/activity: {androidx/activity, 2bf000ec419d3ae93b3f090187e0c88f}
androidx/core: {androidx/core, 84ff7f4a9b33663536967b34d1f394c2}
androidx/compose/foundation: {androidx/compose/foundation, 26262e75e230d199d35eb88d2ab0c7b8}
androidx/compose/animation: {androidx/compose/animation, 66b7e691e1d08ef93214aa555815f898}
androidx/autofill: {androidx/autofill, c28914db4fef23607078319260653526}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 41ec3386fe3f5e0f886ae3319f5776bb}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 6537a869a12fe1f6bfd8cfc547344251}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 629fe126eec0d66ee8f14735370c1d65}
androidx/collection: {androidx/collection, d2e18ff290f7f61bbc4bba4732f876a0}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, a1f45bd98f769ff3cf7a1aa8e1435b98}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, dc681374e88afa2795339665f093a398}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cardview: {androidx/cardview, 66488820fbbf820772dff5461d30fb0b}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/compose/material: {androidx/compose/material, 5c15e6150c60f141dce4bf967f9b0a32}
androidx/browser: {androidx/browser, 05e9905a190f3c1aec6c9f63b0b3e6aa}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
android/support/customtabs: {android/support/customtabs, 2aac24614294b8e4cdf031c6380f877b}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 167dbc378426f1bc34b7957e63d556e9}
androidx/biometric: {androidx/biometric, fc689ba194331a91f5d903b40209f556}
androidx/concurrent/futures: {androidx/concurrent/futures, 47c87048a950bec7c2721d6d8bff5ad1}
androidx/compose/ui: {androidx/compose/ui, bb34e56959bf54bab885ad897a19382b}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
