androidx/appcompat: {androidx/appcompat, 0f8754cffdc96aa314cdffdae295cf7e}
androidx/camera/view: {androidx/camera/view, 52dd0529e034a066ac3d5d3abe1f874b}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, 8e5d77c16af89674573fab7954164c22}
androidx/activity: {androidx/activity, 0be5068e5d2ae9963f4667050b0cae21}
androidx/core: {androidx/core, ccba52cf769bb0aa97e8829f53c479c5}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, d8189fadf87d2d26e23d5411a8179d51}
androidx/preference: {androidx/preference, 2f9104d7eac73633b5660474b8e67713}
androidx/sqlite/db: {androidx/sqlite/db, 2e018cef563e6c4046cdb59856f61870}
androidx/lifecycle: {androidx/lifecycle, 72c58df269783f983f086e3590599316}
androidx/fragment: {androidx/fragment, cc53ac43194a1440982209ff23ccb48d}
androidx/loader: {androidx/loader, cd738c3f1c55ca3b245fb120dbbb2f95}
androidx/vectordrawable: {androidx/vectordrawable, 90abbbcbb205c82882843216acd219fe}
androidx/recyclerview: {androidx/recyclerview, 7274f9fefccf8a3d1bd85a7888c30759}
androidx/viewpager: {androidx/viewpager, 6240b72fdf82d3f09761707f7ce09243}
com/google/android: {com/google/android, d554cde85769ab77ba6a13a1e7cc88fb}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 6c409d7f698e13ea39205144098f0610}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 407fa7953098d55f19fce13fa003f361}
androidx/coordinatorlayout: {androidx/coordinatorlayout, f028abc8aae5eb571fa92b689850e7bd}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 988ef92deaa8e44279017f7a9ae518f9}
androidx/collection: {androidx/collection, d6dcfa34cf950c2ec99ac037b4af878a}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, f0aef21b0c9d4af3a0dba07117a26934}
androidx/sqlite/util: {androidx/sqlite/util, dc36e5095094c262154e59fb03db07a2}
androidx/transition: {androidx/transition, 94ad58957fc060991c0b2a6bffd75394}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, 68e4266ff8e932dd885b3d5b26be0574}
androidx/slidingpanelayout: {androidx/slidingpanelayout, fb9b913913f8982b0093a3d6ad97553b}
androidx/cardview: {androidx/cardview, 629a63d98fe70f1cc7039a37eb6c2fd4}
androidx/drawerlayout: {androidx/drawerlayout, 1fb930d925ecc47472e34cbf0f70e301}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/camera/extensions: {androidx/camera/extensions, 0a3c9fa571800aa76a422ae57e684e91}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/media: {androidx/media, 78099edc089eb50c8310adbaa63e0995}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/exifinterface: {androidx/exifinterface, 7d9d8d9723b7582771aa6943ce4d2eb5}
androidx/emoji2: {androidx/emoji2, 9f0b361f1c008775eedadc55efe0f849}
androidx/work: {androidx/work, c5d78b29fa6e2cfe84bcadbc56ca4a11}
androidx/legacy/app: {androidx/legacy/app, 0d379f771fc56fb944a092cd26488546}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 37731aaa06f1e27914fbda55039c6961}
androidx/arch/core: {androidx/arch/core, 21c8ec1fc737baaf7d820141697af356}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/camera/lifecycle: {androidx/camera/lifecycle, b2951f83dfe54907be3f65aa658b59b6}
androidx/viewpager2: {androidx/viewpager2, 8356b014a2933583fa5cb4f78fb50158}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, 00f8bde237f43cb4c7038cba7747f11c}
androidx/documentfile: {androidx/documentfile, ace5d9be6dc5bdddf07ce2d8a3165904}
androidx/print: {androidx/print, 19eb2a49fdeda506e3391b1ebff8eabe}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 962b82d953e2c6b978bd93ee61b7da9f}
androidx/camera/video: {androidx/camera/video, c5408fd548ab0efad2ae366c46ba0679}
androidx/biometric: {androidx/biometric, 3c3db89f074f3bbddbf06b7181652f7c}
androidx/tracing: {androidx/tracing, a48ab17fe473593635491e0829a858b3}
androidx/camera/camera2: {androidx/camera/camera2, a0d8f441d29dd407a257be8ec2b95fc6}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, ac734e2207a6d4128600b66cd9d15d56}
androidx/concurrent/futures: {androidx/concurrent/futures, 62ceb1b476558780e30ba65f826d9461}
androidx/customview: {androidx/customview, 8d6a3f61bd2eb2745d0548778071ac60}
androidx/window: {androidx/window, 56f8a957aa103fbb9a2f76604f4f6048}
androidx/annotation: {androidx/annotation, ed9f67e5ed6a73479f4a08cc73aa55f1}
androidx/dynamicanimation: {androidx/dynamicanimation, 6656817a5d87710ce39cb47c6f9fbb95}
androidx/camera/core: {androidx/camera/core, 6990ffec46b9b352aeca1cae4fa49eee}
