androidx/appcompat: {androidx/appcompat, 44c6d74508a5a2c7b3795f84beff0151}
androidx/camera/view: {androidx/camera/view, b11c13c12417c5cf81e7a62a70562229}
kotlin/jvm/jdk8: {kotlin/jvm/jdk8, b88d6e77bcd8df50b4ab56ec972e421b}
androidx/room: {androidx/room, 8d1c98b7cf3b93ec7d0115da0382d52b}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/ws, ], 9b1407f2f7a332b33fa77821f98da5e6}
androidx/activity: {androidx/activity, f1a271752deb9b527b235ac59605c7dd}
androidx/profileinstaller: {androidx/profileinstaller, 3582bc5ceac216e7e96460689dccbddc}
androidx/core: {androidx/core, 3e7090e2f4ba3c2b4ffe285548ac3362}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 71757d65642f27a97c61723580ecf9ff}
androidx/preference: {androidx/preference, 1ba6a213f7e92e38346915658ba6380e}
androidx/sqlite/db: {androidx/sqlite/db, e420ce9e71d2ca97c78c5997010453cb}
androidx/lifecycle: {androidx/lifecycle, 33d7520ddbd2b52b31928443fab0aa7a}
androidx/fragment: {androidx/fragment, 85efd0d6c0e8eead5e51c992b8ebff84}
androidx/loader: {androidx/loader, ccc233f5007f40a2bb6de9a98b303fcc}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/vectordrawable: {androidx/vectordrawable, 8fb00540b72f9cefa1882af5170166e4}
androidx/recyclerview: {androidx/recyclerview, 52a155983c9d3d1270d71952d36616f7}
blend: {blend, a9e67a0f93bdc7858280bc043c8441a3}
kotlin/reflect: {kotlin/reflect, cf58edda6dcf34d53e51798c3982db7b}
kotlin/jvm/internal: {kotlin/jvm/internal, 1f0a4c7964828756359d6d0ba878001d}
kotlin/math: {kotlin/math, b929bf4646b1bb4acaead746a413a6f2}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, d30d669f16ffd5b4f4d62859e4957da5}
okhttp3: {okhttp3, 94eb17bc73b65ed12201bc5f1956beac}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 31e1b884a610d56bfba9dc198041889a}
androidx/coordinatorlayout: {androidx/coordinatorlayout, a0aff5f9e964d10e3fc3d860868019b3}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 71bef87dc72befac0d29972c5f30aa11}
androidx/collection: {androidx/collection, 198f87d6797704050a3216a8e0d374cb}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 05f645d56b4b7da50e688c27a7d2350d}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
androidx/transition: {androidx/transition, 1739c7b5a3d2c72aceb2b36b3e22f93c}
kotlin/random: {kotlin/random, 0fbd32ea9dca07ee1f57083eafda35d9}
kotlin/jvm/optionals: {kotlin/jvm/optionals, 7d0c41daeafe3a98f9777d00dbb12483}
androidx/cursoradapter: {androidx/cursoradapter, 9ed44f9e4b40e601eb800379df6ecf34}
com/bumptech/glide: {com/bumptech/glide, 572dbf16978880bcb2660c0c5280a1b4}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 31c67b9ae2ee0f815126c1745b97bb9a}
androidx/cardview: {androidx/cardview, 629a63d98fe70f1cc7039a37eb6c2fd4}
androidx/drawerlayout: {androidx/drawerlayout, 1fb930d925ecc47472e34cbf0f70e301}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/viewpager: {androidx/viewpager, 86ca7f5d53e544101b0de7e39b993916}
kotlinx/coroutines: {kotlinx/coroutines, 314d942490dec50b96e2df37219d0eec}
androidx/exifinterface: {androidx/exifinterface, 3889566a3358fe108e70dc147cc3068a}
androidx/emoji2: {androidx/emoji2, b7c1e478f9a780fdf9545f24c9943da1}
com/google/android: {com/google/android, 86af6a88ece82968481b3a6bd7ac4187}
androidx/work: {androidx/work, 50cc9b54dc37e3b023b4056bccf7e487}
kotlin/sequences: {kotlin/sequences, 0a2bde744aaa5386ad7ed87fdd843613}
kotlin/text: {kotlin/text, 190749bbce459b5114a2fd34996a70c1}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 11865e7fa1fa3def16f2bbd194c7774e}
androidx/arch/core: {androidx/arch/core, fe678557b03f391f08e64398bcb1642e}
kotlin/time: {kotlin/time, b59602f88b15c8b906eaf6bd49100bb2}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
kotlin/properties: {kotlin/properties, f99e453ff98a18eb9b59da2e80e1f42c}
androidx/camera/lifecycle: {androidx/camera/lifecycle, a5d06c0f9d63d135022c3559309af49c}
androidx/viewpager2: {androidx/viewpager2, 0f4429f03967a008525a1a11c01bdf97}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, 0da9dbe1c03b24a9b886c1d29227e034}
androidx/documentfile: {androidx/documentfile, aff7b708c92ca1136c31e1a29fb9fa4b}
androidx/print: {androidx/print, a901bc455e5d2451d493a2c1dcf782ce}
kotlin/system: {kotlin/system, 1611ffd7b3fe1a7d724238ba58f76ecb}
kotlin/streams/jdk8: {kotlin/streams/jdk8, 564487d243e9bb3876621e6359ef103f}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, a67cf3e145e6fccb6ff5e66f21fcd792}
androidx/camera/video: {androidx/camera/video, 4e177c4ffc19e5de6fe94a60e3bbbb6d}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
okhttp3/internal: {okhttp3/internal, 13788aa2d290ddc3f2b4d427a06e1667}
kotlin/ranges: {kotlin/ranges, 34d409b8e002e82d649a57a232aea2d8}
androidx/tracing: {androidx/tracing, 487bd1a9c9cbf04969629f014411cee3}
androidx/camera/camera2: {androidx/camera/camera2, 7afd604fa09aad5ec6bae4caca59a61a}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 8f556874adddcf79a88c80c2baf77e65}
androidx/concurrent/futures: {androidx/concurrent/futures, 8ff6881ce8c65f2032f1e0237553c480}
androidx/customview: {androidx/customview, cc655799edc7d304eb1908d88389f996}
okio: {okio, 3f65073e70f9ec126dd6ef9db1585cda}
androidx/window: {androidx/window, 8ca6247c257d0215dbbfeece9eb92553}
androidx/annotation: {androidx/annotation, c0fce04979ed66e39ebb3a3868016a75}
androidx/dynamicanimation: {androidx/dynamicanimation, 5c61a0963e02bea60d6bd70d2d777402}
androidx/camera/core: {androidx/camera/core, 072cc07e0bac8577d8723d75a52846d0}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 4e5471b91291f4c8660d66fe1279f8cd}
