androidx/appcompat: {androidx/appcompat, 47dc4e8f32d934ee0e1f656e51dd4979}
kotlin/collections: {kotlin/collections, 1f27dd6401c0b0ad12c46061566f1e63}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
kotlin: {kotlin, 53afaf9394809f99486def3714e746fc}
kotlin/io: {kotlin/io, 9362eb18ce15c5b7b0fd36c2950aadb2}
androidx/drawerlayout: {androidx/drawerlayout, f91e9d990717137c57e70019cc0820ec}
kotlin/internal: {kotlin/internal, b4417e41f992e5d6f6974963c7a56df1}
com/google/errorprone: {com/google/errorprone, 7064cad889a1923e3e08a094024786fd}
androidx/activity: {androidx/activity, 5068d5e5b89151e6ba81e9d2192f1cae}
kotlin/contracts: {kotlin/contracts, daeff7beac1984bd976a9f801046a2d3}
androidx/profileinstaller: {androidx/profileinstaller, 29f29411bc120a61308e9e8c123d9ad8}
kotlin/annotation: {kotlin/annotation, 1c1865e3758770a790e02249d58e60f5}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 37ccbc14f89f026869b59175e8fba521}
androidx/preference: {androidx/preference, c8ff45f2e096e492e808a52116c58fe6}
com/mikepenz/materialdrawer: {[com/mikepenz/materialdrawer, com/mikepenz/fastadapter, ], df379b0f596e84d61189ad16cb240bf8}
androidx/concurrent/futures: {androidx/concurrent/futures, 050add3ebe662c39375baeb8725c0696}
androidx/lifecycle: {androidx/lifecycle, d573a42f3d16a40e7ce0eb1c26519f0a}
androidx/fragment: {androidx/fragment, b2c2c7f704bdea454d0904e55de2d6f3}
com/skydoves/balloon: {com/skydoves/balloon, 14a8adb322fe87ae11b1e7dbdca8777d}
kotlin/enums: {kotlin/enums, cd0fa8aa56cf8c762e43806d8b5108de}
androidx/loader: {androidx/loader, 825459fedce40ed8e7dc1aa92d14933a}
androidx/vectordrawable: {androidx/vectordrawable, 2b86aea98b981f70f86632ddec33ba38}
androidx/customview: {androidx/customview, d4cc1ccc266f7406a193e080925714d5}
org/slf4j/spi: {[org/slf4j/event, org/slf4j/spi, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin/coroutines: {kotlin/coroutines, cde6dd8830eb7e797acba5ac6b0473ad}
kotlin/math: {kotlin/math, b929bf4646b1bb4acaead746a413a6f2}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 1bd9e652c37a2f6ea5a100dc247a8c91}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 8e5c1e6f8cc3a533b246ac29dd228ebd}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 0cb2b8059e7c28a5a639d7ab7f29c7d7}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 4c22027808418977c17806959794f8bd}
androidx/collection: {androidx/collection, e65ac4e12992278aa84b1b054a0f3dd2}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 9eb5f499057cd9e3a345972f213b2cb7}
com/google/devtools: {com/google/devtools, 384162c358f9db01166ed707d96f15f0}
androidx/transition: {androidx/transition, de73b4826b7c305ebfaea078aa1ed971}
androidx/legacy/app: {androidx/legacy/app, 0d379f771fc56fb944a092cd26488546}
kotlin/random: {kotlin/random, 7f725354dcb53b8fbd4f78bcf25309e7}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, c59cc1e9f87611fdfae8c3be3ffc4004}
androidx/slidingpanelayout: {androidx/slidingpanelayout, d6b7807469d4104125d53a454928bc5a}
androidx/cardview: {androidx/cardview, 35d0744915ba5cefc3a160d5a4511da6}
androidx/core: {androidx/core, 2242bb6a92706f7561d8eef9d0d925cb}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/legacy/coreui: {androidx/legacy/coreui, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/viewpager: {androidx/viewpager, accc5eb40943c141b0dbee926a6c0675}
androidx/emoji2: {androidx/emoji2, f2c368e87132c915ae47a8be6406d70c}
com/google/android: {com/google/android, 73ee8d6b82223153ebef5f5f1b39b5bf}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
kotlin/concurrent: {kotlin/concurrent, 6a614850559066b303bfafd588e232c4}
kotlin/jdk7: {kotlin/jdk7, 1f3424d22bf7081b247818c1fb2eebaf}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, b416342b3a0ab436d4df9dc5e8ce1a54}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/arch/core: {androidx/arch/core, c45109435860333e3fb9a1df7b9f72b4}
_COROUTINE: {_COROUTINE, cda218f6ca68fa7c07a4065e0df7787b}
kotlin/properties: {kotlin/properties, 414b132da5783db8e7e9fd104d8e6d04}
androidx/viewpager2: {androidx/viewpager2, ffcb38c9fb3276804a7793cf5e2b8c7f}
androidx/legacy/content: {androidx/legacy/content, 6aaaf26997950d8416bb1ce1ae77d7aa}
androidx/savedstate: {androidx/savedstate, 2b7067d9ba78b3f01fc88edbc77a898a}
androidx/documentfile: {androidx/documentfile, 16b1384202835cf81a742a79dab145c4}
androidx/print: {androidx/print, c0e31b284aef4dbde53598be2cc054ff}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, c2fe9085984a4f1a7f6a5f4e6af4ef7b}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
io/github/oshai: {io/github/oshai, b4237ca675fc4afb801f179f8c49d322}
com/patrykandpatrick/vico: {com/patrykandpatrick/vico, 049c6609ace97ebb91bb67fcba558341}
androidx/tracing: {androidx/tracing, 0f887924f48d4afdcf30c8192e4ed459}
org/koin/androidx: {[org/koin/core, org/koin/androidx, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, ac734e2207a6d4128600b66cd9d15d56}
androidx/recyclerview: {androidx/recyclerview, 074efd773634c5dfda4a8f82282b9ca5}
androidx/gridlayout: {androidx/gridlayout, f470fc2377059bd1b5e1384fdd32c38a}
kotlin/comparisons: {kotlin/comparisons, aaa5f82d71bde421396dbfddd0bdaef2}
androidx/window: {androidx/window, 9f4bdca4815f58f77ae52545f16a0f92}
androidx/annotation: {androidx/annotation, c0fce04979ed66e39ebb3a3868016a75}
co/touchlab/stately: {co/touchlab/stately, 6f81e65431fc059a2aa38f4341741ebc}
androidx/dynamicanimation: {androidx/dynamicanimation, 9033a97d9834a0f8f8d5873e7be88459}
kotlin/jvm: {kotlin/jvm, 3f85dfb90dd95e8f7d05f3dbf49886eb}
