androidx/appcompat: {androidx/appcompat, 1f9f3d8101aea68baa54a99fff7bc077}
androidx/compose/runtime: {androidx/compose/runtime, 79dbe9f40e91082297d65ecf6b52aa64}
org/bouncycastle/jcajce: {org/bouncycastle/jcajce, c7774b58015b66d4dffb7dc35991ff2d}
androidx/activity: {androidx/activity, 23cb43dc742d4a1b39fd6f2284310953}
androidx/coordinatorlayout: {androidx/coordinatorlayout, f6ed7668b34523eb067628e5755b236b}
androidx/compose/foundation: {androidx/compose/foundation, 0a9a4ef27867a487e44a76c10e71e426}
androidx/compose/material3: {androidx/compose/material3, 2de4cf6a9820c83e716d2f83d783ce3d}
androidx/compose/animation: {androidx/compose/animation, 266369ddaaddc55dd7d9130c5146577f}
androidx/autofill: {androidx/autofill, 725a706aea14f5e6d3752de8e475db35}
androidx/constraintlayout/core: {androidx/constraintlayout/core, da508c7a351366b91e54f5a2ae00d403}
androidx/core: {androidx/core, 53f26021fb7e98fcd96f903e40ee685b}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 1244295b4856538f2494f90305588303}
androidx/collection: {androidx/collection, 902d988f5d76c2e218cabfa3126134c0}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 72e8a77f710b61be3b7c18f0cdf562ce}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 02e099f02546e256dc86f580fb0454b2}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cardview: {androidx/cardview, 85c890156a0bee6a3de2c26008e22c5b}
androidx/compose/material: {androidx/compose/material, c2a19fe2e11b8a59671c3d0c2921fbf1}
androidx/arch/core: {androidx/arch/core, c45109435860333e3fb9a1df7b9f72b4}
_COROUTINE: {_COROUTINE, cda218f6ca68fa7c07a4065e0df7787b}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, e4f649d7543e8a846fa74d4e0bb15871}
androidx/concurrent/futures: {androidx/concurrent/futures, 5cba4788ed1954ea0695daf3c79b909c}
androidx/compose/ui: {androidx/compose/ui, 02293924f0936215837851ebc980557f}
androidx/annotation: {androidx/annotation, c0fce04979ed66e39ebb3a3868016a75}
