androidx/appcompat: {androidx/appcompat, b515a5031da0caf863ea22974726a0ab}
com/larswerkman/holocolorpicker: {com/larswerkman/holocolorpicker, 2861902cc3ddf2ca6b27e7d8ff3c9b25}
androidx/arch/core: {androidx/arch/core, 9aa1570055395c7af213a390788165e4}
androidx/room: {androidx/room, 0ab6e613f1fdb231832bb7ed3b776ef3}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, 31cfb265d7cb2a6594ade9befb65976c}
androidx/profileinstaller: {androidx/profileinstaller, 9ee157cc890c45bfc5807fdcfd5fd01b}
androidx/coordinatorlayout: {androidx/coordinatorlayout, d5a1e5443addcce15af80f753100b22f}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/preference: {androidx/preference, 33fcab1fbf6d64e66077fff30e00d4e6}
androidx/sqlite/db: {androidx/sqlite/db, 06176e50cf197863870d2f4aa9c407c4}
androidx/lifecycle: {androidx/lifecycle, 14370f17afb06e5f37b5f214b99d299d}
androidx/fragment: {androidx/fragment, 340372a74d9ffbce13f924bc6995e3c5}
androidx/loader: {androidx/loader, aed5822d68f924b6a47f292a9b7977e9}
androidx/vectordrawable: {androidx/vectordrawable, 912031bc2b6c94802587504a882ffa11}
androidx/recyclerview: {androidx/recyclerview, 27ddb404af68dbc007acd223873f5403}
com/google/android: {com/google/android, df2295c2565631ffe9f765c90ab4595a}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/versionedparcelable: {androidx/versionedparcelable, 1471491a59f2af3cc21701e791fbabd3}
androidx/core: {androidx/core, 5a867da6b7861f491cd23bbc31d56974}
com/meisolsson/githubsdk: {com/meisolsson/githubsdk, 0126fcb98fe1850bc11509a031b53a24}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, fa4f578a184506ccb36e2acfd87c9666}
androidx/collection: {androidx/collection, d7acaf6a0404f7a397d3a120f75f21c4}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 69b7f657930c2c802f0dbaa2586b8713}
androidx/sqlite/util: {androidx/sqlite/util, dc36e5095094c262154e59fb03db07a2}
com/gh4a: {com/gh4a, ee51fb3d4979ec48f035221b0632c719}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
androidx/slidingpanelayout: {androidx/slidingpanelayout, b282431fb7e7d2d323dd8625c8817131}
androidx/cardview: {androidx/cardview, 7b1821b8a0bd47873e961bc80ec4efd5}
androidx/drawerlayout: {androidx/drawerlayout, d4acad24cf36aa1489e08b004b25cbbe}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/viewpager: {androidx/viewpager, d7053719d5f34a8a8eb6bafb88521bc6}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/emoji2: {androidx/emoji2, 649df505fb8eeaea1da7096ed8e060d0}
androidx/work: {androidx/work, 6b34d2e6822255ea68d99958478a4757}
io/reactivex/subjects: {[io/reactivex/subjects, io/reactivex/functions, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/browser: {androidx/browser, 122266efbeafd935bb42e7e8927bf42c}
androidx/transition: {androidx/transition, 46a5d51dfeb0a85a8f18fc95902a5b23}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 1be96ac8dd099daede375a01cbd1ee14}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/viewpager2: {androidx/viewpager2, 08d09314c476ed0737383db85d00ddec}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, 7c7bd1b2cf79a99611724c47a4dab9a3}
androidx/documentfile: {androidx/documentfile, 62e89da186f7f9c66ba97b71e4681dff}
androidx/print: {androidx/print, f1e3706763f8eb7a7311b229b6d69a41}
android/support/customtabs: {android/support/customtabs, a7a8a717a4746b3fb3f58d916ae4e08b}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 3c05cc1f4892a6065cdccec1f1b36ccf}
com/caverock/androidsvg: {com/caverock/androidsvg, 70d90bd05fef10042b9a249f92b52d6c}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, d92808e3b1d24e0a95faa3506158e8ee}
androidx/tracing: {androidx/tracing, fb0699389e8e0a864f6b1a098db35809}
androidx/startup: {androidx/startup, 178d2614007cd9bd9ed92f7166865dac}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 357b62c513c11dbdf15da41446a83347}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/customview: {androidx/customview, f4b77b43d342e403ab5fa699174c5987}
androidx/window: {androidx/window, 309d2b47c857759f27c4ff9d27d4d076}
androidx/annotation: {androidx/annotation, ce1e62409ea897c18535670dc8e2d6ad}
androidx/dynamicanimation: {androidx/dynamicanimation, c088dee57aaa297b903272698d7ed6ca}
