a6: {a6, 1629cfbf1d8ac8b088f1f2557e880fc6}
p2: {p2, 6effeba856309a1d9cc1e8a38ba1775d}
t0: {t0, 3386d44c81edf2c970f90712096b7edf}
j: {j, ab5567e3f05d091f79544046355ab501}
c1: {c1, 14acf902fb1b3578550fba1cde082c0c}
android/view: {android/view, e079f4fb8febf5b63effbb6583d13a90}
q4: {q4, b10098e84d799ddb9cde1720463a3358}
androidx/activity: {androidx/activity, b6d1d172c7461f5182ce525397aa78e9}
x6: {x6, 0a653396045e471bff02322c9f1ddd93}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 2881f95adffb3857617902e2edb90fbb}
l1: {l1, 5f8b994bfcb87d867001cfbfe361a923}
androidx/preference: {androidx/preference, ad663a4eebece552763f5567d3830d1b}
i4: {i4, 8f847461a0b579bf01b8ce4858e156b0}
androidx/core/widget: {androidx/core/widget, f568873ee82536c2ecfb095f2e221197}
g6: {g6, 26cf5be8700167d00766c75dee88971d}
o0: {o0, f4877f5fb63614adff8ef633f799c7ca}
b5: {b5, fbaa2ed68206c29570a49e8ff1324c76}
com/google/android: {com/google/android, 09926f2914b2f73b98c1d972af074a24}
v2: {v2, d0af63d32b8703ec284c977c61ace494}
z1: {z1, e9373bd9eb9e4c2388d4097f5a0e8d23}
m6: {m6, d9b60710f50923ddd27ba7b908341f42}
t2: {t2, 5236bc9b45f3accda2c179914e380acd}
w0: {w0, 26d87ee133dfc8cee27580c81e119db0}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 4a6816acab21b37baea0ba83287303ef}
r1: {r1, 8a2fd40100b91ba9a7474597df751c5e}
e6: {e6, 191d27321cf597d1e35c5a2ca56e4587}
j5: {j5, 062db646eaa026583bc9d4a8d3176111}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
androidx/appcompat/widget: {androidx/appcompat/widget, d74a7ec27090b61a5cffc74012469c78}
y: {y, d78da85730d3d034d704707d59b62cfb}
f4: {f4, c1e0022baeb96114a217b488702e7422}
b: {b, 362a1ad5ba49f5b3d0d2e7e00166bc9b}
k1: {k1, 09af0cacd2bd5fafcee6e3c749b2360b}
k: {k, 0cfd3b805dc68b6150d056f65e311c31}
g1: {g1, 13bd6289adcf749529f16e30d0a4fdb6}
c0: {c0, 8695ffb82c3aca7d1b72f8a7a3669064}
a5: {a5, f90d14615bfd56a46532bf356f59f864}
p3: {p3, a88c64037a0b53cd10cd44a7f748c808}
android/telephony: {android/telephony, d5b1091f8787f99bda974cda9593bb64}
e5: {e5, 0bb83095554de5bedefc6c4c0c0e3d5f}
b2: {b2, 63e82b71c3319ee22749685fcf1a7f64}
q3: {q3, 4caaecbb51dd7bab9f6e854e20a5bc2f}
d6: {d6, 4e436ee0c29d80bd5913cf9ed4a46bf4}
l2: {l2, a241e93130aeeaa0865349a1ccb04a91}
i3: {i3, e0e55daa73990ef5c0d239e6fe27a7fb}
android/media: {android/media, e079f4fb8febf5b63effbb6583d13a90}
androidx/core/graphics: {androidx/core/graphics, 4cc5af5ac6ec9492d92d0942d7250b17}
o3: {o3, e0f8754e9fee96cfae8afaa93580029f}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 9508da5a5c0dd8270433c5b6eb86bb41}
androidx/savedstate: {androidx/savedstate, b56bd09377d4f617dfa479ed87ad74c8}
m5: {m5, 823c7792b77f6add58ae7d153c63efa1}
t3: {t3, ed1b43c44cc7f687089cd1fcffde2710}
j2: {j2, 3d6199a1caa5ef4cde67dfe99146068a}
v3: {v3, 909b4e55842486e35d80f97abf7dfb5e}
f7: {f7, b325b654e651333f54b2d3453c1e1285}
h2: {h2, d9762281b4b9e968b8bd0729fc964a66}
n5: {n5, 5744003c4e6d7b17addc9a4a5f437c91}
u3: {u3, 66d04f4c5eba839ba8e6b945f551b475}
r: {r, 26cdda23478dd077a53d60265dad76e1}
z6: {z6, 765f6f305da73c5a1bd449a0df2c4077}
f5: {f5, f9cee1bfe2afb7f938c76cbd267bad29}
androidx/appcompat/view: {androidx/appcompat/view, ebeeb9f0a3cb69d50e3b48d745a63f35}
androidx/navigation/fragment: {androidx/navigation/fragment, 1af4678e68f66c13af1bda9d5b25a7eb}
z: {z, 901e068e17cd5ca151af81ebf52eceef}
d1: {d1, 486baef43ec474ad8c465c036dce8d98}
c: {c, ccefab7cce5d893ce44dabbc27b4a304}
k0: {k0, 9be7e765adbadb992206efb3eee49531}
g0: {g0, d2c098b2ba9f4c7b4eb9a157be1cb683}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 359d35646220e525dde5ce0f5407d17c}
x0: {x0, 89e1c0d404557e192afcca176ae11a69}
b3: {b3, 408fd66334cbb61aebaa251ec091fb34}
androidx/room: {androidx/room, 069cdb710880d9bf5d0584e1f0bc49a5}
w2: {w2, ce8f841a232c5ca8687851ad05e9b083}
q2: {q2, 020c4745b33c9114a8728607a9ee3991}
e4: {e4, 395eec14d24b024e3b40c3095dd49828}
o2: {o2, 599eab5c2d6f02ebed159e71ebf8645c}
m3: {m3, 50a5802a4be614697bf9e48308118604}
i2: {i2, 5d1f2e673d7e746f674cc0959f9af1de}
androidx/lifecycle: {androidx/lifecycle, 8d9caa80b221f6ecae80bb4e1385f53c}
c3: {c3, feef490ee5a875c10642ff96e4d0d93e}
a4: {a4, a32f17c2b769b3eb37aeebddc9f5e905}
h4: {h4, 7543536237edaa333b695e86947884a6}
t: {t, ab16b04bf3433bba6eb3b60655d81a43}
androidx/media: {androidx/media, 6768d5b42e19b9e59fbe347a3d20774d}
j3: {j3, fef92e6b55d7d3d7cce60510ec30243a}
m4: {m4, 9f3605857a5c70cfa9fdffa09588b05e}
t4: {t4, b0e7690a4d823c9752ff0ff085ef7040}
u2: {u2, 43b84c4fb5b31298c3ff81f6526d39b3}
s: {s, 487e4cf734c17ede82ed0bac55acb188}
d: {d, db9a307758fba178d8887b96eff73064}
androidx/startup: {androidx/startup, 08c5775df7901f348750f14f4def3be5}
h3: {h3, 57540cc358043f993bdc99e734362c38}
n2: {n2, def36e17ed025f775b08895b1f24c808}
k3: {k3, 0f8f7c7a078d759b24b09d6263e42100}
p4: {p4, e599862f68b42c605dee2636c9ff5765}
l: {l, 0d2861fa1ec21cdcc9810c865544f63b}
y0: {y0, 415700b0c8bb50aa4975d50d9777c124}
f2: {f2, cc9a52317d14e61964484318386bc8be}
v0: {v0, 5d634436b899d9c7709ab9d17f5ab6c1}
d2: {d2, db79f767dee78a2b46525cb5504efe1c}
q1: {q1, ff119fdf66ea4b736e36f8787944a8c1}
x1: {x1, 8c54e13836ec28f587092961075aac42}
g3: {g3, dd373d603c2f2eb24a32ee0315255b40}
r4: {r4, c476ef62ce7a0d536abd4e5fb16a79b7}
b0: {b0, 6d0879116e3953b403fd3b11401b9c81}
y5: {y5, 663ed66998d8bdee1ba18065a7fed6e1}
m2: {m2, 8246eb9d1edee41bb94a79f4f1ba5c89}
s4: {s4, 2629403c24a4b1947bd492fb58521a7e}
d7: {d7, 4423203cd38457616ee6d077f3d0cb1a}
o5: {o5, af51c505c5d9ff3c181de60f1eaa7c86}
h5: {h5, 80d53fbc94ce7f884f3f2810d1b7d5e4}
w5: {w5, 9709c29ff1b5b16ee670aba363a900ea}
c2: {c2, f923b20bf183f39a599fdac07070c6b7}
u: {u, edecdd9406825513442eec2082d3c52f}
z4: {z4, cc0de9b27d4c16a8c0acede473f761af}
androidx/fragment/app: {androidx/fragment/app, 1b55417ac10250ddd37f83ef0f34cf59}
t5: {t5, 972ef090d6f7ddb7f9e3587ae2d7464d}
j0: {j0, 5bd900474076d63b1041d1bf9b075e98}
l3: {l3, 6b10192fb342e0276089273dd06c130e}
n3: {n3, 83f91a9240618a2dabef6088b553be27}
u1: {u1, 2255497009381412ed333a6bc9e3f684}
e: {e, c05f2e445b3999ad277df3e427f1503e}
p5: {p5, 1fc40e44791469de1c485b1fbe1baae7}
d3: {d3, 1e08810745852db0cb840bd8cd2ff1f0}
l0: {l0, 8a2e0f4ec6e582c7d221b0409cc35fec}
f3: {f3, 39b316bb180f97f1570be3878fbaf4b9}
k2: {k2, 0cdb98e15729008e2c3ef96b1635c49b}
m: {m, 19b7928610b654a9b38ad3e90272a569}
e3: {e3, 5262a1d11389f7448623ce851b5d79d6}
v1: {v1, d1a8276f22c15758ebd5185ac7a40a9c}
android/app: {android/app, de1c2b92945417ecd988923d07abfa41}
y4: {y4, ac1d22cbc15970e79f84aad21cc5efe4}
q0: {q0, 64c65c5443ffe067f8bb6c9303a3ba63}
f0: {f0, 637d9b3013949163dc47503274407a6a}
