androidx/appcompat: {androidx/appcompat, 43fde509a077056439778f4ba55a75b3}
kotlin/collections: {kotlin/collections, ba23f1c22b71b5f144b85213b9fe6f2b}
kotlin: {kotlin, d2becfab41af59c455558d1d78add00d}
com/balysv/materialripple: {com/balysv/materialripple, 92397f68f8d2bc0e97d2277cecb3ab22}
kotlin/internal: {kotlin/internal, 2ecba4b40f5d2842143b0168407146ba}
androidx/activity: {androidx/activity, 72e9af5c342589ee94a8366c5a511c01}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
kotlin/sequences: {kotlin/sequences, 4a50b4daaf945fa05ca82a0bc3e88cc4}
androidx/core: {androidx/core, 650bf949cee1ceb1ebef4ba576de3629}
androidx/preference: {androidx/preference, e7d2b9d4d30b6904ef81cb1516e3dba6}
androidx/customview/widget: {androidx/customview/widget, 7efa0e35b254c95b2c62d9f5abf0b3a6}
androidx/lifecycle: {androidx/lifecycle, 282e1fdc7237d1348e7fe23510fd9894}
androidx/fragment: {androidx/fragment, 02bcd0f3892b40f046b76f45aa0473f9}
androidx/loader/app: {androidx/loader/app, 3d54e00d2f51c28a85b6bd60ed677889}
com/perflyst/twire: {com/perflyst/twire, 6f5bd874dd30d81aba8ddaf62af962f4}
com/techyourchance/threadposter: {com/techyourchance/threadposter, c68b57ad0112e8d91138c6caaa5dbd3f}
kotlin/coroutines: {kotlin/coroutines, a438503c65f4c7b63d7f4946bd663ba5}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 86968f0cc3982deb80e9273cf0ccf037}
kotlin/text: {kotlin/text, 70e85f221649dd4e0017518523e56c3e}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
androidx/versionedparcelable: {androidx/versionedparcelable, e1569ec411605eaf25f1151a422b9523}
okhttp3: {okhttp3, 039f904a829e11fc89a53d77c1a17dad}
androidx/constraintlayout/core: {androidx/constraintlayout/core, ad699638a9d1e60667cd1502b32b07f3}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 997dd5c8cf8c6e08c51ecfd365ac1cd4}
androidx/collection: {androidx/collection, 20dfea3b60bd76a2eb878e3bea7ab981}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 144f700b7c00c8d0e77f323e427089fa}
androidx/transition: {androidx/transition, 4f907c9d733d802654b34503006ffb6e}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
com/rey/material: {com/rey/material, f252e05f5a601d3dbb3a9627db0fb70b}
com/github/stephenvinouze: {com/github/stephenvinouze, 365075cbeb50717245c5f5b3087f518b}
androidx/palette/graphics: {androidx/palette/graphics, fe3e71131b914a63463086844a34640a}
androidx/cardview: {androidx/cardview, 720b64a4fdb2901b792a907dc80ac357}
io/codetail/widget: {io/codetail/widget, b06129876c21dd2a7fdb1c895936ee00}
com/google/gson: {com/google/gson, b92b31fba87feb0a8a58c9425e4a2bee}
j$/util/stream: {[j$/util/function, j$/util/stream, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/media: {androidx/media, ce455cbf3a376a835e1df9c5011982ca}
androidx/browser/customtabs: {androidx/browser/customtabs, 7c5f2a7eee768e0229b6a5e3c2f2da52}
androidx/viewpager/widget: {androidx/viewpager/widget, 3520be3f0b9379cdb6b5b0381f30dffa}
com/google/android: {[com/google/android, com/google/common, ], 1a86460f57270412cd2dfd4d3284f9fe}
androidx/customview/poolingcontainer: {androidx/customview/poolingcontainer, 4fc6632377b181724d9fa8df6ebbdaa7}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 8c51eaf9e45cc79808f23c61d48db1c0}
androidx/arch/core: {androidx/arch/core, 10778bb0afdb647b549d52ab0ea692f1}
io/codetail/animation: {io/codetail/animation, c1c37363ce199e32e5f6408888ed4756}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, db27550138902be245f40311f25d2653}
androidx/viewpager2: {androidx/viewpager2, 5943dbf7f551655c45034bdf16dbf3e0}
androidx/exifinterface/media: {androidx/exifinterface/media, fc083159ddbc06b22eebc0e6cf780b82}
androidx/savedstate: {androidx/savedstate, c52f0b032b29f930b096ab947e7e8789}
okhttp3/internal: {okhttp3/internal, e7a5a5490a8369af65364ea154ef60ce}
com/bumptech/glide: {com/bumptech/glide, add8b6d21a83b4505330376e76e17e00}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 246d330558a62d099806e40435d89372}
kotlin/ranges: {kotlin/ranges, 8d5559ddf0c2ddbcbaedee4a1f9bd31d}
androidx/tracing: {androidx/tracing, acff8b6406b400d7d9dd134708d5ae37}
androidx/recyclerview: {androidx/recyclerview, 9712d9336e1c511201823057cdfd788a}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 97039a020c66be8947f2ee36427c0ead}
okio: {okio, f0846c877e093193b2717b08c8da31e0}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
kotlin/jvm: {kotlin/jvm, 83998a03a85bc73c353218b9ee6ee768}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, 686140bfabf4ddebe23ba903a163cb57}
