androidx/appcompat: {androidx/appcompat, 1a021ec987e9f7446c366939cd7e2354}
kotlin/collections: {kotlin/collections, 7b65b8af5d958a6a4261a93cfde8fbb7}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 0882bfe7904e328bfe66192e77050659}
kotlin: {kotlin, 8a5459ec0d2aef32edc26fdf5a40bf47}
org/ocpsoft/prettytime: {org/ocpsoft/prettytime, 7c18525f306f2bc7d63690567a2c739a}
com/obsez/android: {com/obsez/android, ba3fe802f899c2a6b93118023d134e41}
kotlin/internal: {kotlin/internal, 2ecba4b40f5d2842143b0168407146ba}
androidx/activity: {androidx/activity, fcf3bad0a90f8b6e71253016ecbe5b11}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 41ba3f8434e2ccd51f7815b942032d3e}
androidx/preference: {androidx/preference, 62d9f86d41ebe70b4d021358111fc6d3}
androidx/customview/widget: {androidx/customview/widget, 2dab15f9c0ac8142a526b07d4ea53917}
androidx/lifecycle: {androidx/lifecycle, 973ad2811256a5b84a11c2d1321fc21b}
androidx/fragment: {androidx/fragment, 62bde039e43441d3dda00ee0b1a408bb}
j$/time/format: {[j$/time/format, j$/time/temporal, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, a6e7419f5fbabbedc1d503954e3bb416}
com/bumptech/glide: {com/bumptech/glide, 028bb77a44b0251c4ddfaae047c1a681}
org/schabi/newpipe: {org/schabi/newpipe, 85eb8367ff1442ad418ca42e36090cca}
me/zhanghai/android: {me/zhanghai/android, 52a0641b26109f6b08c53832e2bcf7ff}
com/google/android: {com/google/android, 38c49acf580f508f5649bb041aeeca35}
kotlin/text: {kotlin/text, 6ba3f217b6cc96a10c7c42a4fde3f789}
androidx/viewbinding: {androidx/viewbinding, 8d02b9bbe485adc3f85448f2789940bd}
com/mikepenz/iconics: {com/mikepenz/iconics, 9c9f615b03d901a804e9bbc8dd6195b9}
androidx/versionedparcelable: {androidx/versionedparcelable, 4e605f734343b59cce2b1e078611bb33}
okhttp3: {okhttp3, df9e5c49a615ef827f1c162a4a44cc52}
org/mozilla/javascript: {[org/mozilla/classfile, org/mozilla/javascript, ], 40c9dae33e3e676eca222871c3c06c60}
com/grack/nanojson: {com/grack/nanojson, bb89149aa7e681c127486fd18d1d48b6}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 48f9f10f3a4c29152866fdb7c86e9096}
androidx/core: {androidx/core, 30ea42cdd62d43d37f646cb78158cc6a}
androidx/collection: {androidx/collection, e9d03b612c14ac2b86e38334b9b53a9f}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 956005d7ebd1aabf7e49f1af1fa20804}
androidx/transition: {androidx/transition, 1a4d9b451162a353f652568e9f29a941}
androidx/interpolator/view: {androidx/interpolator/view, 561c23e33a4b5f7c33faf68878d12ac4}
com/google/api: {com/google/api, 4ad9371c3f6a6236360d80a964c5838c}
androidx/multidex: {androidx/multidex, 472f8e35e75a0226aa313dab23ae31dc}
com/google/gson: {com/google/gson, 4464dff255290a1906a1d8da44bd95af}
androidx/savedstate: {androidx/savedstate, 0c9ba61c18f3e975bf389d3a56cdce41}
androidx/arch/core: {androidx/arch/core, 732828c5a576aa4e61e3d0f0066b66d7}
org/slf4j: {org/slf4j, 0b0a7363ee12f38a3ee904fb23c7b39d}
androidx/media: {androidx/media, b219ea54d97f5bf0ffc06d6bd725639e}
androidx/viewpager/widget: {androidx/viewpager/widget, 4d0bd4d709c555c81ba29505c55f396c}
com/github/skytube: {com/github/skytube, 19b7767b10a46773bd98e5700fa9a35d}
hollowsoft/slidingdrawer: {hollowsoft/slidingdrawer, b4528ca528753ba5ea6e8242982cc234}
io/reactivex/rxjava3: {io/reactivex/rxjava3, b5d6598e51cf112e118fab184e1078ce}
