androidx/appcompat: {androidx/appcompat, 66bdd281344d204b193a45662774cd49}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
rnet: {rnet, e080575b6dd479d95bf5606bc7b1795a}
androidx/activity: {androidx/activity, d619187d442c796d949f8c0588283832}
kotlin/sequences: {kotlin/sequences, 83c98a0724aed124dd0d2288fd43014a}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, 1d88f900042ca8d9ba6c7d77116d57cb}
androidx/preference: {androidx/preference, 58553bb174ac6a467be9276bfa82d663}
com/celzero/bravedns: {com/celzero/bravedns, 1d03a5578b2b7671699a9cf9673840df}
kotlin/math: {kotlin/math, 9f7cb41637863369750e9b76ae728de6}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 81224de539ff76eb911cc835c3469a9b}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 7fdce51ce9ee59efb3a6f22846df538c}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, f8ce048720318268772e29f167d98b81}
kotlin/random: {kotlin/random, 69ef8b3bd794156a28fcca28c20552f4}
android/window: {android/window, e079f4fb8febf5b63effbb6583d13a90}
androidx/cardview: {androidx/cardview, 622cfe24fe2581312341111d20effadb}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, f57eab252d4be5cfe405bb434fd0a916}
by/kirich1409/viewbindingdelegate: {by/kirich1409/viewbindingdelegate, aea71f2938e5a254e69b8c9c91557e56}
com/google/common: {com/google/common, 80aa1cebd5b50ac9555502121c892768}
androidx/savedstate: {androidx/savedstate, 37c13d5fadf4cee71076a7c63f7a752d}
org/koin/ext: {org/koin/ext, 7610e3f8cb09b05749ce90a6f760d30c}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 332583fc1f5cd3fc614278edabf64a9d}
okhttp3/internal: {okhttp3/internal, cfcb48977618e9dfbf52dbe72df0eed6}
androidx/startup: {androidx/startup, 45e16f8e2bbd8b4b308a07227dbc588f}
com/journeyapps/barcodescanner: {com/journeyapps/barcodescanner, 4491ec1e6aa4b9492337187241e0c6a8}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], 2664f93cd3beb49706204844e056adc9}
androidx/loader/app: {androidx/loader/app, 88db4f356622a85023515694938dfcc8}
