androidx/appcompat: {androidx/appcompat, cec7c09230b1ddfe37955d8416620347}
kotlin: {kotlin, ad45ab2e9dffaad3610bfe1d2a06c333}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, c3887c2acc6ce1b6f56994a39e466fe2}
androidx/profileinstaller: {androidx/profileinstaller, 56e264b0aacfe9d185fa2dd0f1d30eba}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 26c1c81ebcfa607e14f5e7372582f16b}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/test/espresso: {androidx/test/espresso, fdfa39a47498f9e4456f82998ee28fa7}
androidx/lifecycle: {androidx/lifecycle, 481723cc11eb586c59e0ac6a779f8e68}
androidx/fragment: {androidx/fragment, 2d5df543acafefc3f8bb2b9fe02435f1}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/navigation: {androidx/navigation, 9016a9f3a74d99e6c4691b060685809d}
androidx/loader: {androidx/loader, cf5b07bc079d10903e89e42a9ddbe74d}
androidx/vectordrawable: {androidx/vectordrawable, 69d3f31d010a05bb75c2c6c003a5048b}
androidx/customview: {androidx/customview, c88efddac4efa2e6d4a285a1957dbce1}
com/google/android: {com/google/android, 93e3d659ae33c609ae1c69f1f18a20de}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 5163508e56521830a4454d24092b6de0}
androidx/core: {androidx/core, a482118b08e46fb595ab1561e2aaae0a}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 68b6b7cd9f7794226a85814ec4dd01c2}
androidx/collection: {androidx/collection, 002f6626006954dfb679acc8f7e4f4b7}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 212afb512b0f35c7dafa0cdb92a3ed1d}
androidx/transition: {androidx/transition, b032e95268cd23e66fc214eae113dd7d}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 5eb9a92116f57a5d2877679bf599c44b}
androidx/cardview: {androidx/cardview, 8638456dbc08541c4528854eed91d17e}
androidx/drawerlayout: {androidx/drawerlayout, 987e4ee6a3ff40904c8285b1897fbb51}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
in/digistorm/aksharam: {in/digistorm/aksharam, 854b36b868d22bdea8c8a8f3a273bb74}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
androidx/viewpager: {androidx/viewpager, 02cbe8e336f7b04509987e6a69bfee8f}
com/fasterxml/jackson: {com/fasterxml/jackson, 581f6490bb78528915a30b3575631dab}
kotlinx/coroutines/flow: {[kotlinx/coroutines/channels, kotlinx/coroutines/flow, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/emoji2: {androidx/emoji2, 1974c4013f2174f6dbd16b79a0e3af2a}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/legacy/app: {androidx/legacy/app, 0ce703508e0e2ea7f9a977858f898a97}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, a22b0d1d9c5868b05d3511cb6d43735a}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
kotlin/annotation: {kotlin/annotation, 21df8e441d5d3d9a41990a382884260a}
androidx/viewpager2: {androidx/viewpager2, a656d6f7d121fe0a71228476f33d05ae}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, d81e89465de8c2fd23376893a9e58a11}
androidx/documentfile: {androidx/documentfile, 2c6f2600d5fec5372b08bd634a4e9835}
androidx/print: {androidx/print, e261ca456bbbb6e99177e5d4f1599fe4}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 481125355970f8d4a7712f57c19bbdf3}
androidx/tracing: {androidx/tracing, ac1c138f12866d9ca29cf68dba999565}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 711c66226de69911aa29f061c9b53a68}
androidx/recyclerview: {androidx/recyclerview, 59ef579f29c12a2d0eb06671d0219057}
androidx/gridlayout: {androidx/gridlayout, d75bbddadbe532694e2e20338acaa558}
androidx/window: {androidx/window, f8628a3f422955c878cc98e974a9e9f2}
androidx/annotation: {androidx/annotation, 89bbdc285a7755ef31c2bd010e40f482}
androidx/dynamicanimation: {androidx/dynamicanimation, 20f96d09e72abe2920cbc1935effdba5}
androidx/databinding: {androidx/databinding, 8128378a75163c92c664f865ebaf1294}
