androidx/appcompat: {androidx/appcompat, f12002af062604c996f1221fa07b9a1d}
kotlin/collections: {kotlin/collections, 8f8042e86a1ea876c296e8407fadced6}
kotlin: {kotlin, aec7c4bc495e17017da0602d7af3d2ec}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, bd249e509cfb8aadaafa452b8ec0bdae}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, 3e10bb270872335fa2eab63b17a53c7a}
androidx/recyclerview: {androidx/recyclerview, 59ef579f29c12a2d0eb06671d0219057}
kotlin/annotation: {kotlin/annotation, 21df8e441d5d3d9a41990a382884260a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, f3b63439f69b169b5ec5a82863e30091}
androidx/sqlite/db: {androidx/sqlite/db, a3cd2360e1207a4827cd38ac8ed6e73a}
androidx/lifecycle: {androidx/lifecycle, f2d1dc941bbc04c20cb744541cabc926}
androidx/fragment: {androidx/fragment, fe40b5f90d99f734ddaec93974897b77}
androidx/concurrent/futures: {androidx/concurrent/futures, a747627292a6de1bb8fd3e1d71f7ae31}
androidx/loader: {androidx/loader, cf5b07bc079d10903e89e42a9ddbe74d}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/vectordrawable: {androidx/vectordrawable, 69d3f31d010a05bb75c2c6c003a5048b}
androidx/customview: {androidx/customview, c88efddac4efa2e6d4a285a1957dbce1}
androidx/viewpager: {androidx/viewpager, 02cbe8e336f7b04509987e6a69bfee8f}
androidx/sqlite/util: {androidx/sqlite/util, 3e6119397cc758ad6a0cf1a3077e021d}
com/google/android: {com/google/android, 93e3d659ae33c609ae1c69f1f18a20de}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/versionedparcelable: {androidx/versionedparcelable, 35d15b808d818dae4ead63913a1bd71d}
android/view: {android/view, 7aa8c35990c28990830b17b804d0341e}
androidx/core: {androidx/core, 096332b35d286587ac062c706c53e283}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 68b6b7cd9f7794226a85814ec4dd01c2}
androidx/collection: {androidx/collection, 2528789832a953d3709973c77f9d01ed}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 212afb512b0f35c7dafa0cdb92a3ed1d}
curtains: {curtains, 2143b45b9b1557b747bc893842b21ab3}
androidx/transition: {androidx/transition, b032e95268cd23e66fc214eae113dd7d}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, f70b0bfe455d900d7aa0350915fdc2be}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 2ed9ca4765f3aef6029d321ca5c2b130}
androidx/cardview: {androidx/cardview, 8638456dbc08541c4528854eed91d17e}
androidx/drawerlayout: {androidx/drawerlayout, 6cc797f37af815bcc6984400de7c22dc}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, e97521e81a9f1d37da0597160bf5ab00}
curtains/internal: {curtains/internal, 15ea1612b7c72dd5c5b61d3d83bf9ecc}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 5163508e56521830a4454d24092b6de0}
androidx/exifinterface: {androidx/exifinterface, 7ac92ad40df903019dd1fee39bab6dad}
com/squareup/curtains: {com/squareup/curtains, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/emoji2: {androidx/emoji2, 1974c4013f2174f6dbd16b79a0e3af2a}
androidx/work: {androidx/work, 43de319220028ba4068e1d9f43d8860e}
androidx/legacy/app: {androidx/legacy/app, 0ce703508e0e2ea7f9a977858f898a97}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, a22b0d1d9c5868b05d3511cb6d43735a}
androidx/arch/core: {androidx/arch/core, 23e79d65469d82e26353bc325581681a}
com/github/chrisbanes: {com/github/chrisbanes, c5f6a6ae08eaf8bd8a6df58bb032a163}
io/reactivex/rxjava3: {io/reactivex/rxjava3, 6aa6bcb972b94c0d958d1e207efd1ff0}
androidx/viewpager2: {androidx/viewpager2, a656d6f7d121fe0a71228476f33d05ae}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/savedstate: {androidx/savedstate, 91f5bef72b5ac371f22280af220d44ff}
androidx/documentfile: {androidx/documentfile, 2c6f2600d5fec5372b08bd634a4e9835}
androidx/print: {androidx/print, e261ca456bbbb6e99177e5d4f1599fe4}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 481125355970f8d4a7712f57c19bbdf3}
com/squareup/leakcanary: {com/squareup/leakcanary, 68bceb59693fa2f00c71ed0b515280c6}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
androidx/tracing: {androidx/tracing, ac1c138f12866d9ca29cf68dba999565}
co/rh/id: {co/rh/id, 68309a9c8d3a5f4c2c4fdfe7fcc63ed2}
androidx/startup: {androidx/startup, 86fcc9acd3be58c7de92432067895bf4}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 34144ead163e927e1ad8e3934eb55f0b}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 26c1c81ebcfa607e14f5e7372582f16b}
androidx/gridlayout: {androidx/gridlayout, d75bbddadbe532694e2e20338acaa558}
androidx/annotation: {androidx/annotation, ed9f67e5ed6a73479f4a08cc73aa55f1}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/dynamicanimation: {androidx/dynamicanimation, 20f96d09e72abe2920cbc1935effdba5}
