a6: {a6, fcf7f3ed74b83b614e7c5c7168f940f9}
p2: {p2, ed268f1cbcd4766034233a41c7677cc4}
t0: {t0, b8cc9ff1abf2257ccb9160014705ae9b}
j: {j, 3a685fc642af66eee220255cb6c7b299}
c1: {c1, 27b72197f2c059f6e62a6704393e1699}
q4: {q4, 51aadcbee3fd7eb54a3c2f88e28128d3}
androidx/activity: {androidx/activity, d91962f627d9998f2fd47eaa7abb61eb}
x6: {x6, 87d914b80c2d363ec4164b4a2bf03de7}
l1: {l1, 6a06d325d004ec6037fdfe38d63797a9}
androidx/preference: {androidx/preference, a120f6d34f5f1f2c44e2040d6534ca46}
i4: {i4, 6c37a319a178d3c950748b9ae052fe95}
androidx/core/widget: {androidx/core/widget, 8077c03658f6654bfb8036601c2d69a6}
g6: {g6, a71faa390db853a2d1a36575ce8e6ed6}
o0: {o0, 91c97e437a5d9d3786a89efba648e857}
android/util: {android/util, bcd1e092f17df46a7d2aca17234dcf08}
android/content/res: {android/content/res, 2735a737aa59051fd66801fca7548c50}
y0: {y0, f33131216c60d45c6540f2281cddb06c}
com/google/android: {[com/google/android, com/google/common, ], 8404b1afbeea2dad36a37585f3a2f87a}
android/os: {android/os, ce0a6465b11f4986572fa4af99f70820}
v2: {v2, 4ead0a2cf412b9a6db894cb385348b15}
z1: {z1, 70b97c477dbae4cea659c76563116351}
m6: {m6, 8d14e2389ee20ba1251d1443468a620e}
t2: {t2, 01f338d217b004697a18511e1d9ec50e}
w0: {w0, 3504dd4ce01a429f2f4b093226033b36}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, f173f5961f209abef34689a77bc44850}
r1: {r1, 4efc0e591ceebd5614ed81bb785546b2}
e6: {e6, 7c9677453a8c2df0d1f67adc0170e2ae}
com/canhub/cropper: {com/canhub/cropper, 6d09ca08c5302d55e8f32ba784800c12}
j5: {j5, 815fefb7fc3e4bc7137f55c4045182fd}
d0: {d0, c7fca9a59d47360e1a9d3023c2361da1}
