org/joda/time: {org/joda/time, c17b8884de954b108c3714ec7e3104fe}
c/d/e: {c/d/e, 085347e91754087f07ad0df7175cc01c}
butterknife: {butterknife, dae355472e3e3612d2a5461297c6afe3}
c/b: {c/b, f4fd2694131e1f686586c873b995a83d}
com/mikepenz/materialdrawer: {[com/mikepenz/materialize, com/mikepenz/a, com/mikepenz/materialdrawer, com/mikepenz/iconics, ], 526c67a5770c674e7494ffdcaed5044a}
com/android/vending: {com/android/vending, 7c1a4a6f4ee2a7d3000d7dfaa4cec35f}
com/github/mikephil: {com/github/mikephil, 8b1c20de30a059b83def35dfeab0c238}
c/a/a: {c/a/a, 170166f4591097ad0592d04cb0f46d15}
com/github/johnkil: {com/github/johnkil, 1493c4f53b3a6c8cd7be39dfdb057793}
me/zhanghai/android: {me/zhanghai/android, 89e1b12dbc8fb8f706e92b745901d7bb}
com/rengwuxian/materialedittext: {com/rengwuxian/materialedittext, e0008f007f96a7957c314947f67ecfbc}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 650a523d5a4eb16f6bb46280a644d186}
c/f: {c/f, 2514f0e60e3c4a257490b76f21d97946}
c/h: {c/h, 58e7e10fa76c01be3e59df184036c9fe}
org/a/a: {org/a/a, f06283ee204bc0375ab1203ea64bf628}
com/mikepenz/material_design_iconic_typeface_library: {com/mikepenz/material_design_iconic_typeface_library, bedc4a49104551be7d16b3e36b08c8d5}
b: {b, 93d4919bf5e98ef09d0ca96f6f97206f}
android/support/v7: {android/support/v7, de115798b587c1e567dde4966c4d3edf}
butterknife/a: {butterknife/a, 8f6633053360fa79091ff0828b3881bf}
c/a/b: {c/a/b, 481782ab3c3c3041dad52f2f839e1a3f}
a/a/a: {a/a/a, cc6706bda842ae8ccb31b6947b72de7a}
c/e: {c/e, 06f07fa61e6cc67edd04e14569151fd3}
c/c: {c/c, 34206cb7bd984b8316cf764121c360b1}
app/outlay: {app/outlay, 5bbe09d0ac26f46f2d9e8a3a0e3babf2}
c/d/c: {c/d/c, 815070cfdb00baa184772a04a30b98ee}
com/b/a: {[com/b/a, com/b/b, ], 8109b4e5fcbc6f1d27eba77dbd748815}
uz/shift/colorpicker: {uz/shift/colorpicker, e5a7261b93ada8863feaa8e4cb027a33}
com/google: {com/google, 54b614f37056c1620e99c186977f389d}
com/a/a: {com/a/a, a7511b6608889303f6b9842161e01ba5}
com/b/c: {com/b/c, d50795fbb0ca48c7c88ff9c9241e58dd}
c/d/d: {c/d/d, a3b18e7a218fa301581ecf9140a20128}
android/support/design: {android/support/design, 39ccd8a631b5fa5a577c6fc94e1c4d85}
b/a: {b/a, b811bdd946cad3ebe3e9c7c422e04f01}
android/support/a: {android/support/a, 01f6e7e8c5870f7a8ebc25e71716e6a9}
fr/castorflex/android: {fr/castorflex/android, 63f9f2238ff420fe60a75b23fa83e393}
javax/a: {javax/a, acf7ef943fdeb3cbfed8dd0d8f584731}
c/g: {c/g, ba8a2b72f146969b0bf71221b19b7888}
c/d/a: {c/d/a, 55ae61f236541206d587fa8333580175}
c: {c, 52e9a92cd17df39dd2e196c4838c53d8}
c/d/b: {c/d/b, a7e7ed340b106611b8e0131f08877c68}
