androidx/appcompat: {androidx/appcompat, 328d7b214bce29496bd328af7462895a}
kotlin/collections: {kotlin/collections, 78bde4ff91836a08529f67c12ebb6160}
kotlin/jvm/functions: {kotlin/jvm/functions, 3c12fc6b8f55fab0318e6b22ba73f244}
kotlin: {kotlin, b3cae5d0688067a873bd69d6db9651f0}
androidx/room: {androidx/room, 2b64782642129d39abcc1985635bc006}
androidx/activity: {androidx/activity, 82b7f59782ad99af7d1b71711ef18ba5}
androidx/profileinstaller: {androidx/profileinstaller, 33a27ffbb8799a6b4bb4094d05fed644}
androidx/customview/widget: {androidx/customview/widget, d6096709ec6e34050b07adc46f355ea7}
androidx/core: {androidx/core, 1bc3f36ac595cf34dbd9216a4450af01}
androidx/preference: {androidx/preference, 83c0b7501304a246e6ccfd8a6bc09956}
androidx/emoji2/text: {androidx/emoji2/text, a3060ed528e7548233e674a292e645b7}
org/equeim/bencode: {org/equeim/bencode, 4aae1e8413984231542211c391389c02}
androidx/lifecycle: {androidx/lifecycle, 61c3913b233945aa47b437497d805b65}
androidx/fragment: {androidx/fragment, 18ddb211a0dfcdb44713c0c5b8d873c8}
kotlin/enums: {kotlin/enums, 3ea805ce4b34511347c45720c7b8b744}
timber/log: {timber/log, 4195604a32fa7cc6f7d958445cdef39e}
androidx/navigation: {androidx/navigation, a269d8dbc111912c4b96453223e14651}
androidx/loader/app: {androidx/loader/app, b5e4c879479f2dfa5f41edd6329eec0c}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 7cd9370a2c2fc28a23f33edfc3242699}
kotlin/reflect: {kotlin/reflect, fcfce6b46f15eb1690939b3db0e198b6}
kotlin/coroutines: {kotlin/coroutines, 2079da5404caf2d1bd050a1750b8bf3d}
com/google/android: {com/google/android, 3394c4c97363ae5d35fd83b94d37197a}
kotlin/text: {kotlin/text, a20889af69be1c4592b744e021e07b8f}
androidx/viewbinding: {androidx/viewbinding, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/versionedparcelable: {androidx/versionedparcelable, 3532e34ffad3dde66a7128fa016dd2be}
okhttp3: {okhttp3, d2e808ebda641fca83ca6fba945639d0}
androidx/startup: {androidx/startup, a979c549305e1e8d1a2f20d6d0c8299c}
androidx/coordinatorlayout: {androidx/coordinatorlayout, f86fc931cdcbb02fa30519f7be081d4d}
androidx/collection: {androidx/collection, 937e41e9e7f780c88dd14ad178984d1e}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 6a514edc3bf30610ebb7fe50ae4e8481}
androidx/sqlite/util: {androidx/sqlite/util, ae36d459df95c9763d65f45fe1a5f732}
androidx/transition: {androidx/transition, aec0b0fe6684699745f970b6267eff43}
kotlin/random: {kotlin/random, 51c78109a641832159c5031230347d1e}
androidx/interpolator/view: {androidx/interpolator/view, cc57d3a01f94754f7d9dd360d6d916c8}
kotlin/internal: {kotlin/internal, e2d483157e321ec203c2f7e36ca749af}
kotlinx/serialization: {kotlinx/serialization, 9b5fd1850273c6746cdb4106427948bd}
androidx/cardview: {androidx/cardview, 3cf571af199abba667e783085cb11bc5}
kotlin/jvm/internal: {kotlin/jvm/internal, a57af78be7c8e60b0956e2eb16b99483}
androidx/arch/core: {androidx/arch/core, d2d8bb01dcce93ad1f0e429cb17c7503}
com/jakewharton/threetenabp: {com/jakewharton/threetenabp, a29c48fc7e935f3771838498d362f376}
kotlinx/coroutines: {kotlinx/coroutines, 4bd25214671f528ca1d5530a6daf9b39}
com/l4digital/fastscroll: {com/l4digital/fastscroll, 6450569a7f5ddd0da59b92cc9b0439b3}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, 38b33f1d1a96d24ba38d4bbf219ef75f}
kotlin/sequences: {kotlin/sequences, 87661d3396554197c4e454b63770b54d}
androidx/customview/view: {androidx/customview/view, d6f75e8041c2e0d7ea59bc3abe2a4eb1}
android/app: {android/app, e079f4fb8febf5b63effbb6583d13a90}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
org/equeim/tremotesf: {org/equeim/tremotesf, 459515b70cfcfae62b519d0d40487b1d}
kotlin/time: {kotlin/time, 3f3db85eb2f59cb6c210cac9bf7ebae4}
androidx/work: {androidx/work, db5762919c43f24c3d1aec46618310e2}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 1bb91144fbd3c42c77c5fa69223ad888}
androidx/viewpager2: {androidx/viewpager2, 27062433bc0865cf46d0be2b7b293c8e}
androidx/savedstate: {androidx/savedstate, e086d2d9a875f04e052e30b6af088769}
okhttp3/internal: {okhttp3/internal, 5f3af4bf3f52d5236eef20918e1d3ac4}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 150b019d36a076aa8f551e73a45a8b4b}
androidx/sqlite/db: {androidx/sqlite/db, f6856b54b503fd6b41febab75ee2b082}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 4fb2769475557517b246f5dba00d75e9}
kotlin/ranges: {kotlin/ranges, 26bd6c8a95e0ae5e28b3a3a679db8bdf}
androidx/tracing: {androidx/tracing, 942de4e2dbc4dbb185247ec83fc14a6b}
org/threeten/bp: {org/threeten/bp, 7aee17fc19506241ef56a2a0dc98f6b5}
okio/internal: {okio/internal, 526448245d2978afd2e389261e5171f0}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, ffcf30a16739a94ef598b6a2b5ba841e}
