androidx/appcompat: {androidx/appcompat, 5a145208be3d9be049ce1c4ec9346b85}
kotlin/collections: {kotlin/collections, 36f185c7130528e7ffa4d4baeadc5fde}
kotlin: {kotlin, 14f74614acfafe62f5557bd55ac0c288}
kotlin/io: {kotlin/io, a8a33973ce8725de2124e584473f45db}
me/saket/bettermovementmethod: {me/saket/bettermovementmethod, c78151ae166e36e9d8e09ebc402afb10}
kotlin/internal: {kotlin/internal, a4f03c848ee3740d9df4768a681801ad}
androidx/activity: {androidx/activity, a74de581e5c54d1294ea986eafeb4b00}
kotlin/sequences: {kotlin/sequences, ddf11adce7cdd0add549eab818c5442f}
androidx/core: {androidx/core, d8a0be1e8f0dd4e899da01b5fe2699f0}
androidx/preference: {androidx/preference, b1d2e7c7b536c692fd426a2ed7277662}
androidx/customview/widget: {androidx/customview/widget, dbfd0d4077f126cca1c6edd5bd088057}
org/ligi/snackengage: {org/ligi/snackengage, d67e3f475349b5dc6262b2e34e1b60b0}
androidx/lifecycle: {androidx/lifecycle, 2bc91862871b93f6b989a7a1011583b0}
androidx/fragment: {androidx/fragment, 5c783fc848c5f704ecdbbc0cdf1b4323}
androidx/loader/app: {androidx/loader/app, f0d668826bc992956a5175c21027df6e}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, 0b9949568eda4141c1e85bad3e2b98b3}
kotlin/coroutines: {kotlin/coroutines, ec2394c279293d2eac98bb663b7138a5}
com/google/android: {com/google/android, fe4833de9c93e1ad928e318d73610bba}
kotlin/text: {kotlin/text, d981b0e777d913ca934e121349959b0f}
nerd/tuxmobil/fahrplan: {nerd/tuxmobil/fahrplan, 11db24b675f9c3eb7ecdb4797e49f6bb}
androidx/versionedparcelable: {androidx/versionedparcelable, 8ecbbb762778868035b8a50aa7b08001}
okhttp3: {okhttp3, b44e7f302c11e2dd476f98c2bb7e584d}
androidx/viewpager/widget: {androidx/viewpager/widget, bad9aa14541106ea0f1853ca94e73a36}
androidx/constraintlayout/core: {androidx/constraintlayout/core, c5d5aff8e9087cbb93bf9caadb1b4e65}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 294cdb5e0c18a60def0befb351b2e0b5}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 4d175f651c278a16290ab3fe34e33ebb}
androidx/collection: {androidx/collection, bfa303a1e1b6002144a6599b5b7602d4}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 04eb0e2069076e632771b9a1defe18ed}
androidx/transition: {androidx/transition, 09bccebc771fc96447fbed9bad430e83}
kotlin/random: {kotlin/random, af435efc57a7fef7fb2e83a9e9719110}
androidx/interpolator/view: {androidx/interpolator/view, 4e2f8fdaa8dc2c56837403429e0cded4}
androidx/cardview: {androidx/cardview, 5cbe75961b0933ba37f19fc00973aae3}
org/ligi/tracedroid: {org/ligi/tracedroid, 60f7883ae22faffe260821306b8d1fcb}
androidx/dynamicanimation/animation: {androidx/dynamicanimation/animation, 6e5b0b0ec43132f7b3380ced60b51749}
de/cketti/mailto: {de/cketti/mailto, 033e6ca2e3b81e2d860f86102eafc15b}
kotlinx/coroutines: {kotlinx/coroutines, 112e3dbf18c1ebd517ce613dd2392456}
info/metadude/kotlin: {info/metadude/kotlin, 9fbba7056fa008543c44a3c6cc9f7819}
com/squareup/moshi: {com/squareup/moshi, dfdcd50f78059eec6c12f2b8bea9a7be}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, decbe10a3f0336dc956805076105e213}
androidx/arch/core: {androidx/arch/core, 88633b15e3e20a63614d95818171f42d}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 2c9a27998f25c544afda7964bed9f1fe}
androidx/viewpager2: {androidx/viewpager2, cdb778b41080d0e5296bb8433aeb6b65}
androidx/legacy/content: {androidx/legacy/content, 63006038118614eb3131bc2f972f4b35}
androidx/savedstate: {androidx/savedstate, b514f181a8627d046c247a1209cb2e98}
okhttp3/internal: {okhttp3/internal, 47f8b8daca69cc0cf59697150b326371}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 6b52b7091126a92fc88214219d12ebd4}
org/commonmark: {org/commonmark, e420f0129cf8dc6c95b3e68ec3616d59}
kotlin/ranges: {kotlin/ranges, 510c14592a22d543ae68185b61245cad}
androidx/tracing: {androidx/tracing, 51ae78ed779db0d7975c162bad136cbf}
org/threeten/bp: {org/threeten/bp, 697662115bbce187f2ffbd1d746965de}
okio/internal: {okio/internal, d1a2bc8765588aad23751c2c0366e76b}
kotlin/comparisons: {kotlin/comparisons, 6839ce50b25edcf0eb43344c1137f45c}
okio: {okio, 396887af6d2f10dea2f8c143e9a0728d}
androidx/recyclerview: {androidx/recyclerview, 1d1a2296f77ed5da5761ed455bb98bcd}
androidx/customview/view: {androidx/customview/view, b5cdfa065e3a3b75a289919ef247c136}
info/metadude/android: {info/metadude/android, c50bf0e5c34da3c9d221633efcb982c7}
io/noties/markwon: {io/noties/markwon, 9fe31d1362033045c364e3b889576524}
kotlin/jvm: {kotlin/jvm, 31acf1fef231146910c460be2f273749}
androidx/drawerlayout/widget: {androidx/drawerlayout/widget, bde73431dfa2ea68cda5bb8ea3a60906}
