androidx/appcompat: {androidx/appcompat, 8ef314aa18f2ccaa71ed0d659a602cdd}
kotlin/collections: {kotlin/collections, e161894ccc5479b24e3528658e4d4f35}
kotlin/experimental: {kotlin/experimental, dfbe392b0c2a27f18e6927ec524f8462}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
kotlin: {kotlin, 004b4a72462d4d7e56374a7348668b4f}
kotlin/io: {kotlin/io, 0d1918e9773ce6ce111819294fdb6423}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, 10509e3225293c060d272e6e7e4a08b6}
androidx/activity: {androidx/activity, 2a0c4b406fece4cdf6cbe3a96df92d9d}
kotlin/contracts: {kotlin/contracts, 9fd3b4e8fa5f4d904edc67b3ae889ff5}
kotlin/sequences: {kotlin/sequences, cbc1017e2d0000eaa8ce6ac5dc14b7fe}
kotlin/annotation: {kotlin/annotation, 27a89864425155d3f81778ed8c9f7390}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 4b9c71fce5359e3f565417eb9e01471e}
androidx/preference: {androidx/preference, 3ae42b2b3e73d9e495683157fdadf409}
androidx/sqlite/db: {androidx/sqlite/db, 6d1c94d68c3bf52284d4d7b0a9665d49}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 7702b2c51af466a0de5350404ca1be39}
com/yausername/youtubedl_android: {com/yausername/youtubedl_android, e8409fce2f7c0ee57ddf6b09c142de5f}
androidx/lifecycle: {androidx/lifecycle, 673d43d45c6d6245bce93b3c1f45c890}
androidx/fragment: {androidx/fragment, f9b4a868138fe23db688bd113b0a9bfd}
androidx/navigation: {androidx/navigation, 31b41a186a84ecd17583645fd45fc3c6}
androidx/loader: {androidx/loader, 28e655cee0fa8610edae07b8d8081806}
androidx/vectordrawable: {androidx/vectordrawable, 6f3776bf4705a9943b379f215336ad17}
androidx/viewpager: {androidx/viewpager, 15630c150d035fbf1e32de16a8342be9}
kotlin/reflect: {kotlin/reflect, f612186c16bbad93d48ea29f512a1d78}
kotlin/coroutines: {kotlin/coroutines, 5e96df5296860222fcbf630a69bf264d}
kotlin/math: {kotlin/math, 2f8214569ffed6074ad68863f94e3bb1}
androidx/interpolator: {androidx/interpolator, 9520954530ce7215903ebf692e2215c5}
com/google/android: {com/google/android, 07a57739b2666af4dfdc3f47821f6c7f}
androidx/versionedparcelable: {androidx/versionedparcelable, 63ce5ae081b48eff7a9e22ee2b258f46}
okhttp3: {okhttp3, 81b736d10b32e1dbb0f8aee84b7cb3c8}
androidx/core: {androidx/core, 59b0d06252ff4b022bef7232f47691a3}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 551ca1f042e7539449a9840c2184f4e5}
androidx/collection: {androidx/collection, dd912295780c59d09dc20e23d4d68ee2}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, f99cedbc9c2be2f94c2b1a2bca970c4a}
androidx/transition: {androidx/transition, c51eb8c15eb63c5d0a5ee94f7e9ff8a7}
androidx/legacy/app: {androidx/legacy/app, 062cdfa6acbd2876b4c02bb6b6404f04}
kotlin/random: {kotlin/random, eaf3f62b28a4101fa499d931bd493130}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
kotlin/internal: {kotlin/internal, 6bb4bc8f7ba3d1688e183729105bba4b}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 88b7cc7356d6fbb96889f553a5b0fa46}
androidx/cardview: {androidx/cardview, ecb8fed853ed83279858740eedc802f3}
androidx/drawerlayout: {androidx/drawerlayout, 29bdddf287f944d631273bdbb4765971}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/media: {androidx/media, 954f39e20d9c6da2da02c41921a57a95}
kotlinx/coroutines: {kotlinx/coroutines, 642b9259b44dbb1086c0b8fc0f2514a6}
androidx/exifinterface: {androidx/exifinterface, 0225db11f6e323a06e62a01461a01d94}
com/fasterxml/jackson: {com/fasterxml/jackson, 75b2fe0f5908a43154205a4e1f99294a}
kotlin/js: {kotlin/js, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/work: {androidx/work, 0fd899245cb391f4c620b17593861a58}
kotlin/concurrent: {kotlin/concurrent, be46e54d1e6e6287363afededf1636f1}
kotlin/jdk7: {kotlin/jdk7, c01eb30731af9c7f20a08f9240b0384c}
kotlin/text: {kotlin/text, bad3a4057d19794a771abb504e0e3f4d}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 77d50fd712484aa67c31adb51fab0b32}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
kotlin/time: {kotlin/time, 382bbd0c5eb74a7affe534d154192f07}
androidx/arch/core: {androidx/arch/core, 4aedd1b836e501b0e82521ff6824fb7f}
kotlin/properties: {kotlin/properties, b97d55cc9f6ca7e7b115a49f2f5b16fa}
androidx/viewpager2: {androidx/viewpager2, 241007484c91118719bf951d03848d93}
androidx/legacy/content: {androidx/legacy/content, 46c777a429636fee0368ee13639ad43d}
androidx/savedstate: {androidx/savedstate, 0d20415b8f4cd0ce45958b64671cc2cc}
androidx/documentfile: {androidx/documentfile, 0abddce32fb23eaf16d5ba98aa268b58}
androidx/print: {androidx/print, dfb95ec0f32cf95f9de078074e9ec4b5}
kotlin/system: {kotlin/system, df2009cf378fcc5b9c10e4c3622086b6}
com/yausername/youtubedl_common: {com/yausername/youtubedl_common, 319dfaebc3fcc79f3c98c1f08941b321}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 5c721084ea72cc09eca700ca3c9782d3}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, d845a9f7784b29351cba5bd155fabc66}
okhttp3/internal: {okhttp3/internal, db64d53b2cefc555cebc83f2a96ccb6b}
kotlin/ranges: {kotlin/ranges, 3820b7e887dc110ea2a92753aeca0743}
com/yausername/ffmpeg: {com/yausername/ffmpeg, c795746a385568f5e416a737278b2d5d}
kotlinx/android/parcel: {kotlinx/android/parcel, 8dd422c7dd8b046709138bebf7749d79}
androidx/recyclerview: {androidx/recyclerview, 849b1147276b36b2b3e5af1674b30b20}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 62d3e6ca6649528aafdeaf725aefde95}
com/squareup/picasso: {com/squareup/picasso, 33821655bcbb882e162e42411e9f45f0}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 11f5d4535855864e60781d295e410ff4}
androidx/customview: {androidx/customview, 0daf75bf7a003fc8adced99c1d088231}
kotlin/comparisons: {kotlin/comparisons, 51c22f629d3992bbcfe3a5e804646dc5}
androidx/annotation: {androidx/annotation, 8c32c1f05f70f004e187bbab685b6cf7}
androidx/dynamicanimation: {androidx/dynamicanimation, dba3a0c157d14015afcbb378d9c6d526}
kotlin/jvm: {kotlin/jvm, 8f4c64215cd6dfa933b2dbc5a3126723}
kotlinx/android/extensions: {kotlinx/android/extensions, 5dc1eda4ef81e7539ba23f229c385358}
