a6: {a6, 6015427ff94a38658e2e5ed6ae31006b}
p2: {p2, 65a6a6ef30e0e3e5ef8f082de9e8d6b4}
d8: {d8, 92b86a5ea0679a9a0c541c6d5f5434d8}
android/icu/text: {android/icu/text, 0c248c7ad95169e1412945fd6b802162}
j: {j, a245c191f2788ff8d98febb890e58c56}
c1: {c1, 0daeae0d5d9c016e757c02bab9443217}
z7: {z7, 5ed350b75e589922b1792c12dfab2f23}
q4: {q4, 278e879303e542dd416fa5127528f03c}
androidx/activity: {androidx/activity, 54cf686187f0b66763c2fa4abefa74a9}
x6: {x6, 70c897704dc28c9402ef0d9c16e3be71}
l1: {l1, 57fa3c9467696d3d3d7c1e1bea31a5d9}
i4: {i4, b539d25748851ef55dfb7ece7da62b11}
androidx/core/widget: {androidx/core/widget, 7d1abc58ac5a473f34f6aa1b41a32c47}
k8: {k8, 98cf560c70de1c70c0f42ee2c30731b3}
g6: {g6, b65fe7d80f905632b97d3c396584f78a}
o0: {o0, dcdfc90dbfc036c417e4b880de612f33}
b5: {b5, 8c77f341ea97b1038d1e557b7ca1eab1}
android/os: {android/os, bb2c27625a4f90a1694c52158e63b310}
v2: {v2, 124ca8ff25a32f4179c3403ed2637622}
z1: {z1, 8c4765130b8ee62ea9ac1331f1660467}
m6: {m6, 648bb8cc8cd488b2094123c0cc298fd7}
t2: {t2, 5555836750107d3520c4bcdb426ad3f2}
w0: {w0, dff3081a11f04032709cc58b96c41b0c}
r1: {r1, 95babeccec1dfe808ef231dc1bbf228f}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, af5974aa384029dfb5a06fd9b4676f10}
j5: {j5, 861ca7d4f8ebd57dd5f3410b58b0650a}
l: {l, 6adee7e6e1b84bfa2f4566168b403c77}
androidx/appcompat/widget: {androidx/appcompat/widget, 5bf1fdb893570e99d00aae9c693bc197}
y: {y, de90210d4f92429e85c59d580a79ba94}
f4: {f4, e22fa6e73955fffd8e62bd25213cd7f6}
b: {b, 964b26a9bbb9f3378bbd753e7bf44454}
k1: {k1, d833c94bbf3583c0f6731aaed49b9621}
androidx/savedstate: {androidx/savedstate, 0ef030f80dfe9d4473b1cef9df710d0a}
x7: {x7, d44fac1eaa27d369a0ce1841edf0e0df}
g1: {g1, 85441acdf840e88b78c3d142318280e6}
c0: {c0, 5fa53d5b62f7424298ce1dd9a94b8363}
a5: {a5, 88c09d74cb0133790fccb4d643a6b915}
p3: {p3, 4044d89de5fe10fe01e79ad9db5afcc5}
android/telephony: {android/telephony, f3cab5e8757d223105e2f6e506491ffd}
e5: {e5, dfcb6f69761139568eb6907886eee416}
y7: {y7, 99919fe8c12899572481bb70238ad9c9}
q3: {q3, 8040ff20d9870e94aa97270ff465ebb9}
d6: {d6, f7207262abac02486c4399124510d4bd}
l2: {l2, 6c0924e59839bd8e6af23c7740f8ed90}
androidx/browser/browseractions: {androidx/browser/browseractions, 3a683c9ce8ce141ff2dc7a90ad57e143}
i3: {i3, 49b5a5f0373c6bf96caf368cbf3bbc0b}
android/media: {android/media, d3a753263d9d5aafafe78a61c0b7b819}
androidx/core/graphics: {androidx/core/graphics, 339bdda3d78f9e3266f2bfa1a2c789a7}
o3: {o3, d3bf6621e1a8518b8e145b8a914619da}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 1723c9c855f205d53cf81720675b26d3}
o8: {o8, 8268cfdb4f7c544a41790a70567c5b51}
m5: {m5, 7c92fb7a26373a97631b24569193b6c9}
j2: {j2, 61be930e19bdebb3f9d7250bd90695e0}
v3: {v3, 039cdcf51344ff6323a8a9087aa5e051}
f7: {f7, acf7ef943fdeb3cbfed8dd0d8f584731}
h2: {h2, c7e4cee6118a3ce7dafcd70935799571}
n5: {n5, 8f3ef3706c4cd7fa080de6b91110025e}
u3: {u3, 37da152f2decca630706ebfb0b74cec0}
r: {r, 6231a720ce42f53261c3fa34a1533333}
d2: {d2, 207b0c3dc48723ede39134023164fa12}
