androidx/appcompat: {androidx/appcompat, ffeea98718be4b6101d767daaebb06d7}
kotlin/collections: {kotlin/collections, c9a69dee96ef9eead18bb4cbdf88cfb3}
kotlin: {kotlin, 4e0f4c196a39b7304696018db55a753f}
kotlin/io: {kotlin/io, 321c766a6748c842538dc083b7de4b6c}
com/github/anastr: {com/github/anastr, de93571bf5627e95254a4598c6b4b45c}
kotlin/ranges: {kotlin/ranges, 6cb17fdb7fd993117f89e03881cba8bf}
com/google/errorprone: {com/google/errorprone, 490aec19a7c612fd9bfafffb9dacde26}
androidx/activity: {androidx/activity, 85c75837d2a6a5367b24f5aaba575d60}
androidx/profileinstaller: {androidx/profileinstaller, 1b4bffda384c732774498ad56acb1639}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 9a99aa05e4d65027d1ab167216a73e02}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 65e7bccacc9368b24cb944e382ed91a6}
androidx/preference: {androidx/preference, dbd538dc5c84e013072e356b40c54e61}
androidx/lifecycle: {androidx/lifecycle, e8a10c4e5f0a410fdf1f8e9517f5e7ca}
androidx/fragment: {androidx/fragment, 9ee182732e1e594a13760f61e616d283}
kotlin/enums: {kotlin/enums, 21621550778ec3e6c2f36981a361ca68}
androidx/loader: {androidx/loader, aed5822d68f924b6a47f292a9b7977e9}
androidx/vectordrawable: {androidx/vectordrawable, cccca658050925abd3955ec9d31e9b11}
androidx/recyclerview: {androidx/recyclerview, f556c6f69d4bc2d047f9abf027c4f088}
com/google/android: {com/google/android, 59adfc2c49dafde1345f599a90c3ef06}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/versionedparcelable: {androidx/versionedparcelable, 27faefa6f38bb1285e4431a3b9ad7f24}
org/intellij/lang: {org/intellij/lang, 72031a0fa55a4d161f71e493a97c6296}
androidx/tvprovider: {androidx/tvprovider, 8281eb8c643be579380cfc2b08be13ff}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 1959db73aa1bf74cc023d7ac85e080e4}
androidx/core: {androidx/core, dae2bab3540e80b9a6a732ae935d674c}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, c206a733b0a991e4fd8ee1bd81b3853d}
androidx/collection: {androidx/collection, 65f2938ff95dab312e1bd56ed4854f31}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, a7fd8575741cee52e78697e7ec64736a}
info/guardianproject/netcipher: {info/guardianproject/netcipher, 25dd17b4a599c5c72b6c8aaf2251232f}
androidx/transition: {androidx/transition, 501b446aebed9efdfe06e1002bca38e0}
androidx/cursoradapter: {androidx/cursoradapter, e4b6904182097e12ad2b34a05994d750}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, 8f460011ea59255f7b61d71fd382efdb}
androidx/slidingpanelayout: {androidx/slidingpanelayout, fcaea00ca07e35c558eac1de3d11d185}
androidx/multidex: {androidx/multidex, 1394daa1622a9a39af206b07b62e6fd6}
androidx/cardview: {androidx/cardview, 11878daf73ac7fa51487fbd522e16b5a}
androidx/drawerlayout: {androidx/drawerlayout, af849e0b868dcc5df0ae92f8b200563f}
androidx/legacy/coreutils: {androidx/legacy/coreutils, 73459e05781063da65dda8c716b44d0f}
androidx/viewpager: {androidx/viewpager, 5205a606a5a1160fb743cb8cc58a8d79}
androidx/exifinterface: {androidx/exifinterface, f429e9788aa9028620ed70c3fa3a71cf}
org/jetbrains/annotations: {org/jetbrains/annotations, b7296e3ac2cd29aea17c5745fa1b4187}
androidx/emoji2: {androidx/emoji2, 66afb633bdc91b03611763aa90ae5244}
ru/yourok/torrserve: {ru/yourok/torrserve, 35114bf8336fd832e43ac25db67f0571}
kotlin/sequences: {kotlin/sequences, 7758723881670e264128a23601760623}
android/system: {android/system, c4e9eeb25e17c46354752ac4239a9772}
kotlin/text: {kotlin/text, d841668d155b6af9ecde82dcbb4e59bd}
com/topjohnwu/superuser: {com/topjohnwu/superuser, 2072e9a5996a59786feeccd5a25928d3}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 85407e64b630d61a32b34dbc21c2eb3b}
androidx/arch/core: {androidx/arch/core, a59cadfb1f89c065a19cfef41c8e88ed}
androidx/palette: {androidx/palette, 116c0e9e2683af197d9db2a6d650b40b}
kotlin/time: {kotlin/time, 0ad212a1c6e9152fafd53e4277b03282}
_COROUTINE: {_COROUTINE, 969e426354e9bf7a21a6f4cc2ba3b6be}
kotlin/annotation: {kotlin/annotation, 34c21cedf71d54206f73f583adbced80}
androidx/viewpager2: {androidx/viewpager2, 948d5fa0465e2fd7e04ed8e683cb6c9c}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 99dd0918cf9f0bf9829f1bb7c13401e3}
androidx/savedstate: {androidx/savedstate, 1600335fabd41c70805ec0962a283164}
androidx/documentfile: {androidx/documentfile, 52fec1f1c8b873521185f3066601ee23}
androidx/print: {androidx/print, 08659da03238ca6ff4a201ddfe59801c}
com/bumptech/glide: {com/bumptech/glide, d273d1b5859d4a81a490c28eae05032d}
org/jsoup: {org/jsoup, 72e154c3be3077e312083e5c40ee6ff2}
androidx/legacy/content: {androidx/legacy/content, 07faabcafda309b615198d4b582b9cb3}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
kotlinx/coroutines: {kotlinx/coroutines, b35e22f6d7098132e16b4feae5a4c60f}
androidx/tracing: {androidx/tracing, 21df476db17f4210aea5b821133d51e5}
androidx/startup: {androidx/startup, 53d0e3d6f93384a3e10a3ad1f634fc94}
com/google/gson: {com/google/gson, e8980f03baa3d4c297adc8485a597c68}
androidx/concurrent/futures: {androidx/concurrent/futures, 3c772953e3b56a6236452c70b314a7e2}
androidx/customview: {androidx/customview, d554b567ed82f933fcd37c44fd4ee5bc}
androidx/window: {androidx/window, ae25dc2ec3bad67475ae1225903e8e34}
androidx/annotation: {androidx/annotation, ce1e62409ea897c18535670dc8e2d6ad}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/dynamicanimation: {androidx/dynamicanimation, 0557d226e6e3fa994221987cf9b5fbbc}
kotlin/jvm: {kotlin/jvm, 87963a58fa8f8d939782ec761c9debd0}
