androidx/appcompat: {androidx/appcompat, af6be4e9a617f17fa20acb9a2e1d9e37}
kotlin/collections: {kotlin/collections, 97ed28aae488b6557b8fc8c357e7f9c0}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
kotlin: {kotlin, 5ec2d8b1a23b531fbacb86b585c4a7c9}
kotlin/io: {kotlin/io, 0b3c269314cfecb9aa7928f221515ae9}
androidx/room: {androidx/room, 8b5a0258df4b92a0e2a97493de0e44e9}
okhttp3/internal/http: {[okhttp3/internal/http, okhttp3/internal/connection, ], 6c1198b7e4a9f19d36d84534c903ffe6}
androidx/activity: {androidx/activity, dac20db52b9aa002142e803827d81141}
kotlin/sequences: {kotlin/sequences, 322e28d7f81d4e7f763b15ae485e00f9}
kotlin/annotation: {kotlin/annotation, 9c84b6b379832b459364b2001ca18a6a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 416fc851cce054a5445f13b7d7d74f2d}
kotlinx/parcelize: {kotlinx/parcelize, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/sqlite/db: {androidx/sqlite/db, f32aa63bfd675ed841b24c0ba873bdba}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 8e19b38b65d33d97f2c12d01b48841d7}
androidx/lifecycle: {androidx/lifecycle, 6761845dd69464aa517c8fa79f8f2ea4}
androidx/fragment: {androidx/fragment, 8337264f91e632007388f7a1fedef1d8}
androidx/concurrent/futures: {androidx/concurrent/futures, 545abb1aed1b0f5be5c504018e2271be}
androidx/loader: {androidx/loader, fde4ed2a5810b8d4f79983b9b01647b8}
androidx/vectordrawable: {androidx/vectordrawable, 467ffef8ce9a8d1ccaef5eb715537f8c}
androidx/recyclerview: {androidx/recyclerview, 3b6a40936ef2b807f3c17f81e8e19ec4}
javax/mail: {javax/mail, 9d4f006fab229ba2db6f82fe63d4b9be}
com/google/android: {com/google/android, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
androidx/versionedparcelable: {androidx/versionedparcelable, 8f35a69caa7c8771cf3096494e80f2b1}
okhttp3: {okhttp3, 81fbf07a777f2a9775a2467bff3bfb7f}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 52c6919aaf5e70a3e8a6ecb99b66e9de}
androidx/core: {androidx/core, fde0318ef77552625790574592b81f14}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, 3af32e239c2835ac2bd0c7386fe79949}
androidx/collection: {androidx/collection, 66a3ff7f1be35d6ec2d21b9808a499dc}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 73c2cb47460e3502028996884afe048f}
androidx/transition: {androidx/transition, f04ffbe366021cbc982006ebea1df242}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
kotlin/coroutines/jvm: {kotlin/coroutines/jvm, 8f460011ea59255f7b61d71fd382efdb}
androidx/inspection/work: {androidx/inspection/work, 542dd9699021b2a489ba6c7d8f6e4a23}
androidx/multidex: {androidx/multidex, 903f2bd691859506bb806c968dd4e463}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
kotlin/reflect/full: {[kotlin/reflect/jvm, kotlin/reflect/full, ], 8273b17d8b56093f34de0d069010b8e5}
com/google/gson: {com/google/gson, 8dd175675a23269098907311815de3a2}
androidx/drawerlayout: {androidx/drawerlayout, 6b14bc737854edd87f4885706f23fb5d}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
androidx/viewpager: {androidx/viewpager, 5c6a428df6532f6761d17e9f5809e324}
androidx/exifinterface: {androidx/exifinterface, 21e5280f4877c77c904a3e01d0497239}
org/intellij/lang: {org/intellij/lang, 08fcc9fe620b2a07273a23f0194df8ee}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
com/fasterxml/jackson: {com/fasterxml/jackson, 83038595456cc0ea9b7b831a9f8510a6}
