rx/observables: {rx/observables, 2c10d7d5a0340dc3cfd698a1da958f07}
rx/functions: {rx/functions, f484483539ace4d6d87c2097bcac63af}
com/nispok/snackbar: {com/nispok/snackbar, a4f4c55d1fbea2d12bfda6796061a693}
rx/subjects: {rx/subjects, 97e045f0863894944768807fb0965d74}
rx: {rx, 529f8a4b5cf254a5e214944f74c59987}
io/fabric/sdk: {io/fabric/sdk, 917e18104667a05a5c1686872f51ba6f}
rx/subscriptions: {rx/subscriptions, c0dd85ea6fc83ee92787a97d79bac6ae}
com/ogaclejapan/qiitanium: {[com/ogaclejapan/rx, com/ogaclejapan/qiitanium, ], bca64ba23ee57e2ccc78cadfface9ecd}
timber/log: {timber/log, 44a2176684ce6e0e9f4d122c2bddc6cd}
android/support/annotation: {android/support/annotation, 2f98f4fd60829d2567feda6a980af495}
rx/schedulers: {rx/schedulers, b2051de177816cd90ffac02dc799c5f4}
rx/observers: {rx/observers, 2d5e45c7479ddbe81c6682ac9e364f9e}
android/support/v13: {android/support/v13, 13340da45dfadacf28844913a5674273}
dagger/internal: {dagger/internal, 95793ac80c227e9affddc608cf4a610f}
dagger: {dagger, af4dad70cfe8454196a39b279d3507de}
android/support/v7: {android/support/v7, 47a12c15bebf6235cfb6d12caa0ed311}
rx/internal: {rx/internal, fa8e430fe8288f06ecc68a4cdf2272b4}
com/twotoasters/jazzylistview: {com/twotoasters/jazzylistview, e7fbf5a3bcced0c1fb0ad0cf168c5ea9}
com/ogaclejapan/smarttablayout: {com/ogaclejapan/smarttablayout, 1cf6c1d961c0c276727a67e46b5e5fef}
com/makeramen/roundedimageview: {com/makeramen/roundedimageview, 3de0e587aefc9fb036116be7dc55a1aa}
rx/exceptions: {rx/exceptions, 767e36f53546787b2a31c02264c59575}
com/norbsoft/typefacehelper: {com/norbsoft/typefacehelper, 91b2f22a23850772f5f022a55ed9b53f}
org/jsoup: {org/jsoup, 0a769fcb1284fc11681820325a9de41b}
javax/inject: {javax/inject, 9c6c0b66d6c47154da14ad4cd741c190}
rx/plugins: {rx/plugins, fbca1ca49425c9365ce7ba8c347f69bb}
com/ogaclejapan/arclayout: {com/ogaclejapan/arclayout, 703036d1db069eb4b7fe4da638839aa9}
com/crashlytics/android: {com/crashlytics/android, 86d9f2af8e20b00799d39f3324e8b772}
com/squareup/leakcanary: {com/squareup/leakcanary, 1c606634535730d3a0c87a9fda9191a4}
com/google/gson: {com/google/gson, 957b9ca9064226164ac2f18d75b7d117}
com/squareup/picasso: {[com/squareup/okhttp, com/squareup/picasso, ], 01a1fd3725a6b5d6f56bcd89b1858141}
com/sothree/slidinguppanel: {com/sothree/slidinguppanel, 38317c32c1f33f59ed86681e305c91e2}
okio: {okio, 3e6f76ce9d89454bab66328e51915834}
