kotlin/collections: {kotlin/collections, 66ba83a71b94e32f6af06a1ec1e3c0fe}
android/support/v13: {android/support/v13, 4239ea3567c9d2b02f37946913d637e4}
kotlin/experimental: {kotlin/experimental, 182585c3458d700187699e2ae5989a66}
com/google/auto: {com/google/auto, 9c6c0b66d6c47154da14ad4cd741c190}
androidx/browser/browseractions: {androidx/browser/browseractions, 4953a361ef7974f467b65157e3d07768}
kotlin/io: {kotlin/io, df68f53c5549a46b92f0fd2af0f054dd}
org/joda/time: {org/joda/time, ae6e0f7a8b96819145c4852d736bca98}
android/support/v7: {android/support/v7, 73a069729a0270da03c6f310f2f1c78b}
kotlin/internal: {kotlin/internal, 9be78c3ede7a26d02c7cbc132a34caa9}
kotlin/sequences: {kotlin/sequences, fa9a08c502c604db305bf8e88d8bcc31}
kotlin/annotation: {kotlin/annotation, 5ceefce2e30f15116573e0539c5d1608}
kotlin: {kotlin, 038dd0aede9d8e96f36b2015c9ae5a2d}
android/support/fragment: {android/support/fragment, 2bf41454f63b2e0fadbeaac191681f40}
android/support/annotation: {android/support/annotation, e091e134bfdf6e3b83362c951c47705e}
org/tanrabad/survey: {org/tanrabad/survey, 8097929bd639e8baefbf2cede4439121}
android/support/coreui: {android/support/coreui, 2bf41454f63b2e0fadbeaac191681f40}
kotlin/reflect: {kotlin/reflect, 3a934e1e408250b243de6e5ac1cde570}
kotlin/concurrent: {kotlin/concurrent, 02d541c6bfbba9790c1854d9934ecef6}
me/piruin/spinney: {me/piruin/spinney, 643b6a706d94d6fbbe0e539178068a83}
okhttp3: {okhttp3, 6a9f402ed94219323ce621921570d0fc}
net/jcip/annotations: {net/jcip/annotations, acf7ef943fdeb3cbfed8dd0d8f584731}
net/openid/appauth: {net/openid/appauth, 1849293adb6c4be822fbe53c5b985be6}
net/frakbot/jumpingbeans: {net/frakbot/jumpingbeans, 23efb76bed9eccfe5b00e1d5f38163a7}
kotlin/comparisons: {kotlin/comparisons, 10a9a1bcb732e7b3b27bf2200dcabc36}
android/support/transition: {android/support/transition, 36d21bde5bf39cefc2e10459fa4b13a3}
uk/co/chrisjenx: {uk/co/chrisjenx, cc8e067e49350434ec7ed308e5542ee7}
cat/ereza/customactivityoncrash: {cat/ereza/customactivityoncrash, 17beae49aa82bfcce8cfe9ae9b76aa33}
info/debatty/java: {info/debatty/java, 92e09d864067e744c0b3ab3fd1c19f70}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, a338e0a834b11c0dafefd0ff80401acf}
com/crashlytics/android: {com/crashlytics/android, 56f5b5c27ab1f6fadf6e97b0a695b0ff}
com/google/gson: {com/google/gson, 27734afbb6fdb8ead26b80ef08ea03b8}
android/support/compat: {android/support/compat, f0c897d148a7bdd3648bed4c8604463d}
android/support/percent: {android/support/percent, a617ee2c641b2d387dac637b6cbe18a2}
org/intellij/lang: {org/intellij/lang, 2dec1adfa53189f66a49f5ff580f2804}
com/fasterxml/jackson: {com/fasterxml/jackson, f0cf87d52994ca1ae7bf32d01fb96143}
okio: {okio, 30b9a72927bd084c82f30238e5bc04df}
it/sephiroth/android: {it/sephiroth/android, 1a70fa4f92e8ad7026af5ba5453a74d0}
android/support/coreutils: {android/support/coreutils, f0c897d148a7bdd3648bed4c8604463d}
android/support/v14: {android/support/v14, 41ecb1fc6e65fab3e6ebaf7b29357bd8}
kotlin/text: {kotlin/text, abf07964f76ad51858b95eb1d30c4142}
android/support/graphics: {android/support/graphics, 5695eaf65015d97b6b70c418b6b537cf}
