androidx/appcompat: {androidx/appcompat, 5519de7761c082d764dfa803178fa914}
retrofit2/http: {retrofit2/http, 084c6c1a83e4f48381cdfa6517fbf60b}
androidx/activity: {androidx/activity, 65dc436b6ee1f9653ab4e79f1fc86e4a}
kotlin/sequences: {kotlin/sequences, 322e28d7f81d4e7f763b15ae485e00f9}
kotlin/annotation: {kotlin/annotation, 9c84b6b379832b459364b2001ca18a6a}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, e1ef9585227a573269c7b880c4330f84}
androidx/preference: {androidx/preference, 8160909873b4631eafbc31c1409132b3}
androidx/vectordrawable: {androidx/vectordrawable, a8cfe26f8a8407a15ebf8af1b1bbbe45}
com/google/android: {com/google/android, e9305498d505ce7917886a72fd4550b8}
androidx/tvprovider: {androidx/tvprovider, 1cf50d44e0e2ccdd9f7b810f6f3531aa}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 6ba1004dbe1c6ccc0161e153020bc9a1}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, 73c2cb47460e3502028996884afe048f}
androidx/constraintlayout/motion: {androidx/constraintlayout/motion, 453ba57d2c43020db4ac3443f17d7fd6}
androidx/cardview: {androidx/cardview, 74ebf48089f5668f00fd35daf374fb0a}
org/jetbrains/annotations: {org/jetbrains/annotations, b0a74309ee391d554cae699bd2538bf5}
androidx/emoji2: {androidx/emoji2, a68241bab3c1c3bc4e9cd6bd285c85d2}
androidx/resourceinspection/annotation: {androidx/resourceinspection/annotation, a4bd91c515d62e517c2896e81b40cc24}
com/google/common: {com/google/common, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/palette: {androidx/palette, 39e6a931a8b1436440e1e02e1fe9eb97}
androidx/savedstate: {androidx/savedstate, 8a8898fabd619eda1b1bef1c680f17ac}
androidx/constraintlayout/widget: {androidx/constraintlayout/widget, 77c2092f67ce63bab9035aafdbd84572}
kotlinx/coroutines: {kotlinx/coroutines, cd7bd59a60d8d3bf9990bc3d97d65ec8}
androidx/startup: {androidx/startup, 914797f3e24a11526a9bd3440847489e}
androidx/window: {androidx/window, 09ae0217e0d17b9ae0a438abede86695}
androidx/annotation: {androidx/annotation, 46e2f5a1d16153c1d9399ef5f5556de5}
androidx/databinding: {androidx/databinding, 94b1e9f0a2660780f8d7b1ab81c0cead}
androidx/room: {androidx/room, 2d391e1314683490ed2e2b6039bc7869}
okhttp3/internal/http: {okhttp3/internal/http, 7df00a59d7bb1738ac7cfd87089174bf}
androidx/sqlite/db: {androidx/sqlite/db, 041cfa5d55606f2946e58ee424047234}
androidx/lifecycle: {androidx/lifecycle, dbdceb68db5e3e3de67c60834bad847c}
kotlin/text: {kotlin/text, b6c5ec1d7c55d78045b99c44857db7de}
androidx/viewbinding: {androidx/viewbinding, 68bbcc46ece24dd0a1e3607c393ec27a}
androidx/versionedparcelable: {androidx/versionedparcelable, 41f52e31f83c68b8e06685ef9e6b8736}
okhttp3: {okhttp3, f8696f3e14cb736563672fe0fda8dd75}
androidx/core: {androidx/core, 315d1cddbfa33243a0908135487e85e1}
androidx/collection: {androidx/collection, 4438cdce3995bd433f6611815f6544ff}
androidx/transition: {androidx/transition, a23990ea5b96e4302963f19b3fb8c33b}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, da87e1309ecf1a175c5c0a8df067da38}
androidx/cursoradapter: {androidx/cursoradapter, 383d520a11b62a6e28bfcf6810337e95}
androidx/multidex: {androidx/multidex, 7a68c34f61e41ff8624bb49764f1953c}
kotlin/reflect/full: {[kotlin/reflect/jvm, kotlin/reflect/full, ], 45dc7116f06f8dc9510a459e62ce75de}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/media: {androidx/media, c463ef32c2523884a755364c45cbce71}
androidx/legacy/preference: {androidx/legacy/preference, 5a3008d4897319d7a83b3e58203b47b1}
org/intellij/lang: {org/intellij/lang, 08fcc9fe620b2a07273a23f0194df8ee}
androidx/viewpager2: {androidx/viewpager2, e2ef8ce83f267e7c6d623499c509fe1a}
androidx/documentfile: {androidx/documentfile, 9ac8d69c6cfce1a1dda4fe359af7e028}
org/videolan/moviepedia: {[org/videolan/resources, org/videolan/moviepedia, ], fc555b96e482ad0932ce8b29d7c9d729}
androidx/recyclerview: {androidx/recyclerview, 2534b5d431f0d65fd2b05bde8cd8bb0f}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, be7b95b5e936d11ecd049cd3794356cb}
androidx/dynamicanimation: {androidx/dynamicanimation, 047e7e5665f7a5933aeddeba5a9fa38d}
kotlin/jvm: {kotlin/jvm, 95c19573e8bed053b675a9b4a639b9ee}
okhttp3/internal/cache: {[okhttp3/internal/io, okhttp3/internal/cache, ], 020eb29b524d7ba672d9d48bc72db455}
kotlin/io: {kotlin/io, f87b86cdbe6c0eee3276a2be991bb7ae}
kotlinx/parcelize: {kotlinx/parcelize, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/loader: {androidx/loader, 44a8f919d508659d6f36a7776c184093}
org/videolan/tools: {org/videolan/tools, 2ad1d19b18c2e385110ff2d8923456db}
androidx/interpolator: {androidx/interpolator, e32effd5aad27dabdd49bfe10025a181}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 647ac94efd6effb15b0f18fbb4eea173}
