androidx/appcompat: {androidx/appcompat, 3ee0b6918d90c78eb8f923a3d10fb870}
io/codetail/widget: {io/codetail/widget, d212c9f2e5e217be0049d89f9d073a2a}
com/nispok/snackbar: {com/nispok/snackbar, 9074c1ba3bd4f3105fb7df10a5f6ad7a}
lb/library: {lb/library, 074567986916d8428ea9d5d28ce98153}
org/bouncycastle/gpg: {[org/bouncycastle/gpg, org/bouncycastle/openpgp, org/bouncycastle/util, org/bouncycastle/bcpg, org/bouncycastle/jcajce, org/bouncycastle/i18n, org/bouncycastle/jce, org/bouncycastle/math, org/bouncycastle/crypto, org/bouncycastle/asn1, org/bouncycastle/x509, ], e26facb2171567fd522ac28ad0b82930}
me/dm7/barcodescanner: {me/dm7/barcodescanner, ce8a41d5cf8917c98ea68c05d6dd7569}
com/segment/backo: {com/segment/backo, 4402fe241e316d380c96704244fdbec3}
androidx/activity: {androidx/activity, 8d8e7a670ba1cd8b0f92c7cf06bf8211}
butterknife: {butterknife, 272eeaa66c859af68ad711c232698ccd}
fr/castorflex/android: {fr/castorflex/android, 8f614380a135f1d0da5e2d5404f55ea6}
androidx/core: {androidx/core, e5a5f633e92e60452bd817135479c455}
androidx/preference: {androidx/preference, 80f124db5d09afd5df3b5654ae872d24}
androidx/sqlite/db: {androidx/sqlite/db, e3c0a425ec2c47b67599a8ff5554c565}
androidx/lifecycle: {androidx/lifecycle, 58c86719b10f2cc2716da322496cd25e}
androidx/fragment: {androidx/fragment, 5d091e0da4cf4ebad9c21eb3e5b9b917}
io/requery/android: {io/requery/android, bd492192200389d3d2094fb70dcc5b23}
androidx/cursoradapter/widget: {androidx/cursoradapter/widget, d1ddce913d78fe56abebd69aa7e62f3b}
com/bumptech/glide: {com/bumptech/glide, e628772dfd5eb547720e8c0d7f002a92}
me/zhanghai/android: {me/zhanghai/android, 85302939cbea4df8ec9eeb9c9fbc870c}
com/google/android: {com/google/android, f7e4282d2cd1619a130975bdd49449c8}
kotlin/text: {kotlin/text, d5aab3c95122477dd56e9156be1bf6d0}
androidx/exifinterface/media: {androidx/exifinterface/media, 6a11153a2ceebc94132934d20ea34be1}
org/jxmpp/util: {org/jxmpp/util, d50f5a45e044161573b8f1079e10d8a1}
androidx/versionedparcelable: {androidx/versionedparcelable, 8ecbbb762778868035b8a50aa7b08001}
com/car2go/maps: {com/car2go/maps, ec32911ffe7760ff7f1115a2355beee0}
org/osmdroid/events: {[org/osmdroid/views, org/osmdroid/tileprovider, org/osmdroid/util, org/osmdroid/events, org/osmdroid/api, ], 3e530ed1a080860c9850ef2887140bf6}
com/github/clans: {com/github/clans, 85740dffcf63ddd2b0b18af8285ee8d0}
org/bouncycastle/apache: {org/bouncycastle/apache, 09cff8f57ca8cd4192d0992f4cc06543}
org/minidns: {org/minidns, 8eb2555083d6c3ffa5f480d5cf831737}
androidx/collection: {androidx/collection, d6cb20e559d5816a8138f0cd0ecc80e0}
org/jxmpp/jid: {org/jxmpp/jid, 2078e4d08631c3c6ad9182a46bdff2b7}
info/guardianproject/netcipher: {info/guardianproject/netcipher, dd100b36101d08674f4d463c4397f6da}
androidx/transition: {androidx/transition, dacaf4e02f12c9b764f8c5af17fbc505}
androidx/viewpager2/adapter: {androidx/viewpager2/adapter, 34749f922a03629622427547485c401f}
com/google/zxing: {com/google/zxing, c5d5b9480425e2dafef2d18f459a86f9}
androidx/interpolator/view: {androidx/interpolator/view, 4e2f8fdaa8dc2c56837403429e0cded4}
org/greenrobot/eventbus: {org/greenrobot/eventbus, f5f5fdd36a7f04e32778f9e64e87d288}
com/amulyakhare/textdrawable: {com/amulyakhare/textdrawable, 9bb802a827796f8713642076886f6ed0}
androidx/multidex: {androidx/multidex, ee779ad4f287dd777cecff072cb1435b}
androidx/cardview: {androidx/cardview, 54199db5697098cefb6ccf42ef0c6375}
org/metalev/multitouch: {org/metalev/multitouch, fea5c9f9e821b489dcf67924280974a3}
androidx/legacy/widget: {androidx/legacy/widget, 39a72f6a06cbb34c791cb6a06b7a6bc6}
org/osmdroid/config: {org/osmdroid/config, ab633ba8828b0c1bb9b0b8ce4ed71000}
androidx/media: {androidx/media, 52ce83e498130a807731cf66af386f20}
androidx/viewpager/widget: {androidx/viewpager/widget, 6bee68bfe4fdb03fccb366d085d38a64}
butterknife/internal: {butterknife/internal, a81635551d62e337d0c493c78dc65219}
androidx/loader/content: {androidx/loader/content, 4a328ceecfcfa80f3a8f8a6ecfd017b7}
org/xmlpull/v1: {org/xmlpull/v1, 66f9fcc07d10f6885616d3a434c28933}
androidx/paging: {androidx/paging, 5f1ee81781b356782f2dd1185b29594b}
org/kontalk: {org/kontalk, c2efbc1eeb3c9b8686c9235ae0711478}
kotlin/jvm/internal: {kotlin/jvm/internal, 950bac086014bc59064005f1af144954}
com/getkeepsafe/taptargetview: {com/getkeepsafe/taptargetview, add29778a425c35de316c384d6acf4ee}
androidx/localbroadcastmanager/content: {androidx/localbroadcastmanager/content, 8f988236459d195b98f4546137a54721}
com/vanniktech/emoji: {com/vanniktech/emoji, 3a1f08c1dbccfc8860af0473a10a0305}
com/afollestad/materialdialogs: {com/afollestad/materialdialogs, 183889df9c9f711f169c60e295ea8777}
androidx/arch/core: {androidx/arch/core, d5dc171f95146a475993a984077a7252}
org/bouncycastle/cert: {[org/bouncycastle/util, org/bouncycastle/operator, org/bouncycastle/math, org/bouncycastle/crypto, org/bouncycastle/asn1, org/bouncycastle/cert, ], baf1c6bbeb4677243f9b65bb3c9e2644}
io/codetail/animation: {io/codetail/animation, 41e109f7dd8e972c9c79e07d717c9b79}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, 0ad29942331661b524acabd5d1704551}
org/jivesoftware/smackx: {[org/jivesoftware/smackx, org/jivesoftware/smack, ], bf74f63b7aeaffc8086a0187546094ad}
kotlin/jvm/functions: {kotlin/jvm/functions, acf7ef943fdeb3cbfed8dd0d8f584731}
androidx/savedstate: {androidx/savedstate, 725caed86fceac9f2ac6766e894e3849}
com/android/contacts: {com/android/contacts, 3302e6054209342e0254cadbe5507f57}
de/hdodenhof/circleimageview: {de/hdodenhof/circleimageview, c1dd4bb68ce92bc3be3ff2d904393a07}
pub/devrel/easypermissions: {pub/devrel/easypermissions, 336c4d2bfd528cdfe2586aa75c85a618}
kotlin: {kotlin, 95b4bf0fe04a078c7e7074130cb5e2ab}
me/leolin/shortcutbadger: {me/leolin/shortcutbadger, b0e5ff5cbeb094022de39f4574981ba1}
com/instacart/library: {com/instacart/library, ad9c682f022ddd07393354b9dcf71804}
com/google/i18n: {com/google/i18n, 751d66c74c459e9eac9a34dad2cc779d}
androidx/customview/widget: {androidx/customview/widget, f9c35e7d381e2623241e28806b031368}
androidx/swiperefreshlayout/widget: {androidx/swiperefreshlayout/widget, b9d3fe6e7030450528db0aa52efe7656}
androidx/recyclerview: {androidx/recyclerview, 9cad6005c36866cfef45a00f3ece4410}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 051e037a1428449fa5918e39d516a361}
androidx/gridlayout: {androidx/gridlayout, b23f92ca48bd9941858e332cdbba1ee2}
org/bouncycastle/pqc: {[org/bouncycastle/pqc, org/bouncycastle/crypto, org/bouncycastle/util, org/bouncycastle/math, org/bouncycastle/asn1, ], d0daedd323e97bddd7efdfafc46e16e2}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
com/android/providers: {com/android/providers, 2d7ad34528f04289d4d2a3fcb895317a}
org/jxmpp/stringprep: {org/jxmpp/stringprep, af95c9531d9123ac0c0cdb07592c2bb4}
androidx/loader/app: {androidx/loader/app, a01d6a97eee3095764dd1cbf57c5d8a7}
