androidx/appcompat: {androidx/appcompat, a224cfaf1e0edcbe12b8e70b943d7ad8}
androidx/legacy/v4: {androidx/legacy/v4, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
androidx/constraintlayout/helper: {androidx/constraintlayout/helper, c2b013af36c676e018e044cbfda7ff84}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/activity: {androidx/activity, a19eafd94e41c95a409b77ae8e8f3f7f}
butterknife: {butterknife, fdbd61da81fc6b4c5d638413deda5c73}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 32f960e38e4844c0006b1c14664c521f}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, cc7f387f9a2f5303691fc6c534f3ce10}
androidx/preference: {androidx/preference, 8f526c581b09d9eb9b62484c92e76e11}
androidx/lifecycle: {androidx/lifecycle, 063da5871c7a6f1086f8a9142309a739}
androidx/fragment: {androidx/fragment, c3e4031eb90ecddb52b7307dedd1bc46}
ch/imvs/sdes4j: {ch/imvs/sdes4j, 5d4024bab759ee75846fe140dcb4ec37}
androidx/loader: {androidx/loader, 302ee6ba6f034b12223cd5187065d4b2}
androidx/vectordrawable: {androidx/vectordrawable, 62c34e2cd158c1d2889377229946379f}
androidx/recyclerview: {androidx/recyclerview, 02d27758f59dbe824ded49838fbd958c}
androidx/viewpager: {androidx/viewpager, fe298e9280ce9d69a6359f1940519b88}
com/google/android: {[com/google/android, com/google/common, ], c79c512de0a44e4bf8dfdcbdc14ca5d4}
androidx/interpolator: {androidx/interpolator, 77ee116dbda5d427e46b7a8d165d8c62}
androidx/viewbinding: {androidx/viewbinding, 320e4a218483379fe56d033b368fe113}
androidx/versionedparcelable: {androidx/versionedparcelable, 337e8d35dfd742be7af53eaf22efb792}
androidx/constraintlayout/core: {androidx/constraintlayout/core, 11818a050d86f6926e466ccaa04f134c}
androidx/core: {androidx/core, 4f1c1e7f30484626e8ec8812a72e5e77}
androidx/constraintlayout/utils: {androidx/constraintlayout/utils, c64c3914c972f76006dc69d5eb0d8226}
androidx/collection: {androidx/collection, ac64e328b50e2538bf70a182eecc54be}
butterknife/internal: {butterknife/internal, 659feed39fb038a9f4aa3f6a8625acbc}
androidx/transition: {androidx/transition, f2a1d2bb7d4fffce85c80f6fc5eb79b0}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, ae81c8811638219ae1ead8149f8a4af6}
androidx/cursoradapter: {androidx/cursoradapter, 4e912372fa31a306349975319fd049b1}
androidx/slidingpanelayout: {androidx/slidingpanelayout, 31c67b9ae2ee0f815126c1745b97bb9a}
androidx/cardview: {androidx/cardview, 85c890156a0bee6a3de2c26008e22c5b}
androidx/legacy/v13: {androidx/legacy/v13, e0f7a4ed6dfc7d0e3cfaf295ba204dfb}
