androidx/appcompat: {androidx/appcompat, 73246996d3d169c239a86466cbec7cf2}
com/nineoldandroids/view: {com/nineoldandroids/view, 05377565ab8df9cdbc927a8289683d6f}
com/jakewharton/rxbinding2: {com/jakewharton/rxbinding2, 54bbb44621e3867853f7fe844d3cc31c}
androidx/legacy/widget: {androidx/legacy/widget, 82049910e9994fb88dab5c38292b7abd}
androidx/room: {androidx/room, a04a0902a43421d9e3f4eaba48784f0d}
android/preference: {android/preference, d6c7ff3fb08601fe90eae102ea3e7edd}
androidx/activity: {androidx/activity, 10872ae102385fa14af735fb3c5d5f0e}
butterknife: {butterknife, 3d695f527e7f93fcbf69e610712246f1}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 3051f47f874ef84d953bd368049624ea}
androidx/localbroadcastmanager: {androidx/localbroadcastmanager, 2d2b767027d23038ad0422958c69b04f}
com/getbase/floatingactionbutton: {com/getbase/floatingactionbutton, 8052214e5762bfe578a743b64d5be054}
androidx/sqlite/db: {androidx/sqlite/db, 563a66f8bafa4af0a3c0b8192a8e84fd}
com/danielstone/materialaboutlibrary: {com/danielstone/materialaboutlibrary, 37f66e3faab3d899d562b4b98f3696ac}
androidx/lifecycle: {androidx/lifecycle, 91e3495abdfe9b3bcaca6eb3d2f8af35}
androidx/fragment: {androidx/fragment, 261b6505724f6c3c8bf3bcfe85c89f07}
com/umeng/umzid: {com/umeng/umzid, 24e8a6b05d720236b93a6b7ca2b41443}
com/tencent/bugly: {com/tencent/bugly, 78b3bca3e3e387225a0c93f6b166d37c}
androidx/loader: {androidx/loader, 61f16f21daa753e3e3bbea9dca132ed1}
androidx/vectordrawable: {androidx/vectordrawable, 61cdd422b030e764df756b147229eacb}
com/nineoldandroids/animation: {[com/nineoldandroids/util, com/nineoldandroids/animation, ], dbf0ab1aac6e3187066d6bb57ade75ff}
androidx/viewpager: {androidx/viewpager, 0717b497e1030e3197e7eb6587bf1d6a}
sp/phone/mvp: {[sp/phone/param, sp/phone/mvp, ], 020eb29b524d7ba672d9d48bc72db455}
com/zhouyou/view: {com/zhouyou/view, c81b63c6db76c859ca661f191e531793}
com/umeng/vt: {com/umeng/vt, b1f0cb0cf08d71ef2e6c84df54c322d7}
androidx/interpolator: {androidx/interpolator, 0c69a79d8fafa699f045df9a3a7a429c}
com/alibaba/android: {com/alibaba/android, 25ddcae8fcc5b0d7ca19804f83175e62}
androidx/versionedparcelable: {androidx/versionedparcelable, 6110a380116b690736806520e7e64e7f}
es/dmoral/toasty: {es/dmoral/toasty, e8888cd018ad33de64b15d7657021c9c}
androidx/core: {androidx/core, 5eb873b8aa7c4bfbc248c8325e1c10dc}
androidx/collection: {androidx/collection, 270cdce23536c9255c28f59fb6bfb365}
butterknife/internal: {butterknife/internal, d373849008f28d72dc0b939ff0edb039}
androidx/transition: {androidx/transition, 95028e41d0609407fa5c225076d2b9b4}
com/google/j2objc: {com/google/j2objc, c10afa19a0d0c613890e6239886b5e59}
androidx/asynclayoutinflater: {androidx/asynclayoutinflater, cb88db17463f6bd25608b89b0f3849ed}
androidx/cursoradapter: {androidx/cursoradapter, ce8528297b2cf5afea04c5619fc90479}
androidx/slidingpanelayout: {androidx/slidingpanelayout, be4ddd168d918b117b2dedb80e56ae31}
gov/anzong/androidnga: {gov/anzong/androidnga, bd8d3c756e84bba6e318448e8f1a39fa}
androidx/cardview: {androidx/cardview, dff8d98896c35974b8c1b434057e39b8}
com/trello/rxlifecycle2: {com/trello/rxlifecycle2, c1042e6aa79a494878098a57be2c0315}
androidx/drawerlayout: {androidx/drawerlayout, ae0a09a4f65450a3a75469094dadb1f3}
androidx/legacy/coreutils: {androidx/legacy/coreutils, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/justwen/androidnga: {com/justwen/androidnga, a696be5208b5defe5127fdcefbd707cd}
androidx/legacy/coreui: {androidx/legacy/coreui, f5649c67bb0f45aebcffe7a7a3f8e869}
androidx/media: {androidx/media, 0539a49e0e8e06af1ad129f34a9e0696}
com/github/moduth: {com/github/moduth, 459570b03eaf55433e3a548659abe0ae}
androidx/exifinterface: {androidx/exifinterface, 56bd37c02c6ee29b47eede5a626c58b9}
com/google/errorprone: {com/google/errorprone, fb38b95097bc1e8400862c93925cd20e}
com/google/android: {com/google/android, 3c16564e53f4b9cce36cacde4aa9a5a6}
butterknife/runtime: {butterknife/runtime, da1c5c0e9e4d4de1ee6852a39fa1fee1}
com/google/thirdparty: {com/google/thirdparty, fe608191687d6b8bda44797ca92d4830}
androidx/legacy/app: {androidx/legacy/app, 60fa7d407afd60692ccbabb4d7d8b973}
com/tbruyelle/rxpermissions2: {com/tbruyelle/rxpermissions2, 9b6595a95282b073ab0644d24f56afc8}
androidx/arch/core: {androidx/arch/core, f42d7bec12e6778df17b05091f072e58}
com/github/chrisbanes: {com/github/chrisbanes, 91c35299c1e0c2b74526dc639a5ed141}
com/nshmura/recyclertablayout: {com/nshmura/recyclertablayout, f5fdfd26cf646a1c4cbfb2dd0bc8391c}
com/alibaba/fastjson: {com/alibaba/fastjson, 089ca6872911b47324c4b0811ad4048c}
androidx/viewpager2: {androidx/viewpager2, 935c6f61a84bff8105d1362bd57764dd}
androidx/savedstate: {androidx/savedstate, 0d20415b8f4cd0ce45958b64671cc2cc}
androidx/documentfile: {androidx/documentfile, c4d6088aa201ba86656b690fdff5422e}
androidx/print: {androidx/print, d4d9f4edf8a77f97573022ad7fc970de}
com/bumptech/glide: {com/bumptech/glide, 7ef755935ba0be7b75c38bd1a286f7e6}
androidx/legacy/content: {androidx/legacy/content, 7cad5a450f4ae8c92f752bf8c87ba91d}
io/reactivex: {io/reactivex, 3bc1183eb664e9e8939cf18e80d6d6bc}
androidx/legacy/v4: {androidx/legacy/v4, f5649c67bb0f45aebcffe7a7a3f8e869}
com/umeng/analytics: {[com/umeng/analytics, com/umeng/commonsdk, com/umeng/common, ], 48f3bc99cd3ff6f97f8ff918cb06eb82}
sp/phone/task: {[sp/phone/task, sp/phone/param, ], 020eb29b524d7ba672d9d48bc72db455}
androidx/recyclerview: {androidx/recyclerview, 9e947f856ca53773718340d9f8430d52}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, 9ee389c1427c79abb3086dfd987991d8}
androidx/customview: {androidx/customview, 9f206c35134902ab323fac37f06c9458}
androidx/annotation: {androidx/annotation, cfc066700186533cf7b61803232eae65}
com/google/common: {com/google/common, 7001aadddc4b6a40f0a1ba92824e46f6}
com/umeng/tunnel: {com/umeng/tunnel, 15452c8093e2cb8598de6301d3fe3b93}
